ticker,B5MB11.SA,IB5M11.SA,IMAB11.SA
B5MB11.SA,1.0,0.19708370043784487,0.9220931845544684
IB5M11.SA,0.19708370043784487,1.0,0.09945423077322812
IMAB11.SA,0.9220931845544684,0.09945423077322812,1.0
