data,periodo,regime_confirmacao_1m,regime_confirmacao_2m,regime_confirmacao_3m,NG=F,ZC=F,GC=F,USDBRL=X,EURBRL=X,JPYBRL=X,IMAB11.SA,B5MB11.SA,IB5M11.SA,BOVV11.SA,FIND11.SA,MATB11.SA,CDI,retorno_bruto_MODELO_BASE_4_ATIVOS,turnover_MODELO_BASE_4_ATIVOS,custo_MODELO_BASE_4_ATIVOS,retorno_liquido_MODELO_BASE_4_ATIVOS,retorno_bruto_MODELO_SELECIONADO_5_ATIVOS,turnover_MODELO_SELECIONADO_5_ATIVOS,custo_MODELO_SELECIONADO_5_ATIVOS,retorno_liquido_MODELO_SELECIONADO_5_ATIVOS,retorno_bruto_BENCHMARK_5_ATIVOS,turnover_BENCHMARK_5_ATIVOS,custo_BENCHMARK_5_ATIVOS,retorno_liquido_BENCHMARK_5_ATIVOS,peso_selecionado_NG=F,peso_selecionado_ZC=F,peso_selecionado_GC=F,peso_selecionado_USDBRL=X,peso_selecionado_EURBRL=X,peso_selecionado_JPYBRL=X,peso_selecionado_IMAB11.SA,peso_selecionado_B5MB11.SA,peso_selecionado_IB5M11.SA,peso_selecionado_BOVV11.SA,peso_selecionado_FIND11.SA,peso_selecionado_MATB11.SA,peso_selecionado_CDI
2020-01-31,TREINO,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,-0.1324222530151464,-0.0261813537675597,0.0383076578642589,0.0562457199465453,0.0420650004191165,0.0544411373557007,0.0028660919043843,0.025336476003539,-0.0032191607285998,-0.0407683973464987,-0.0554493307839379,-0.0300000164959873,0.0037663336752904,-0.005731535720348759,1.0,0.001,-0.0067258041846284256,-0.0019323879620930945,1.0,0.001,-0.0029304555741309635,-0.005000930382222671,1.0,0.001,-0.005995929451840465,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2020-02-29,TREINO,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,-0.0852797115562489,-0.0386885245901633,-0.0118769654041066,0.0571873013974646,0.0542429645851239,0.050012811364211,4.440892098500626e-16,-0.0294401106880816,0.0078133140607463,-0.0841276366030269,-0.0538461662014483,-0.1161883574034464,0.002937286315555,-0.02084925675324798,0.021470028971918333,2.1470028971918332e-05,-0.02087027914807338,-0.011334639525726789,0.013849070996338073,1.3849070996338073e-05,-0.0113483316224956,-0.019019522671032366,0.020086350401376116,2.0086350401376114e-05,-0.019039226988636915,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2020-03-31,TREINO,EXPANSAO_INFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,-0.0261282833522666,-0.0702592087312405,0.0123393959013997,0.1578442893995921,0.161089495743832,0.1751430276323506,-0.0750845174933443,-0.1452014486364589,-0.1230101487353408,-0.3010599197751664,-0.3311938164621636,-0.1976670455908648,0.0033836914846629,-0.06359901500830596,0.024040813639708565,2.4040813639708566e-05,-0.06362152684987821,-0.03680593241111842,0.017200207945147514,1.7200207945147515e-05,-0.036822499549372445,-0.05844649912423143,0.02301099436094807,2.301099436094807e-05,-0.05846816520653064,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2020-04-30,TREINO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_DESINFLACIONARIA,0.1884146450939532,-0.0858400586940567,0.0636604302157408,0.0273653128073669,0.0132224425213043,0.0411768572348962,-0.007865134587025,0.0610820266016003,0.053630401321997,0.1036885831108966,0.0405629956116582,0.0990176218023806,0.0028492490278402,0.04984301025339271,0.07104176995762118,7.104176995762118e-05,0.04976842754776656,0.031045505763171704,0.05117528293205461,5.117528293205461e-05,0.030992741717698502,0.04622810554373482,0.06816481082993354,6.816481082993354e-05,0.046156789602835424,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2020-05-31,TREINO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,-0.0513083754709727,0.0457463884430187,0.0312908649626313,0.0128965382736307,0.0315473887353219,0.0031375372138198,0.0389297851608276,0.0142544199041538,-0.0071596307642725,0.0856541414844245,0.0393506758515871,0.1290668823373175,0.0023580961930711,0.031117218010957313,0.02146635607935158,2.146635607935158e-05,0.03109508368159597,0.019613569283802826,0.019536941514019246,1.9536941514019245e-05,0.019593649153132775,0.02890497787111991,0.021478260321438535,2.1478260321438535e-05,0.028882878782159116,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2020-06-30,TREINO,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,-0.0530015855029117,0.0391404451266315,0.0322989088591116,-0.0002776167073367,0.015040635311132,0.0003386357572798,0.0279330027089084,0.0270270270270274,0.0251267983879845,0.0902975516088846,0.1310932592419071,0.0421152605104246,0.0021233217736713,0.03142769352742026,0.014851657801243506,1.4851657801243506e-05,0.03141237511626915,0.019705944825920675,0.012960358215620478,1.2960358215620479e-05,0.019692729071601134,0.02917351108482419,0.014896440402670755,1.4896440402670755e-05,0.029158180062952344,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2020-07-31,TREINO,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,0.0274128936519058,-0.0664697193500737,0.0947016446336452,-0.0459450835354313,0.0069972699899409,-0.0195363707301123,0.0503710935761791,0.0727368806537831,0.08078696639838,0.0824009736393767,0.0978033328803054,0.0969309827255997,0.0019434641302638,0.03984923871112489,0.014365763658281676,1.4365763658281676e-05,0.0398343004827213,0.02847750633686656,0.09310286533427987,9.310286533427988e-05,0.028381752134094773,0.0369334098972125,0.014132166613183741,1.4132166613183743e-05,0.03691875578149717,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.3
2020-08-31,TREINO,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,0.4619233341810744,0.1028481012658228,0.0024454486643601,0.0458099135200109,0.0482480797448408,0.0370889330663726,-0.0106006607841498,-0.0305171278441224,-0.0283738519635227,-0.0351656778526355,-0.0833730372028046,0.1080332878317076,0.0015988959789294,0.051530561885579515,0.023784473787217604,2.3784473787217603e-05,0.051505551784493786,0.036551062113584484,0.021348103505836,2.1348103505836e-05,0.03652893371422139,0.0476896645081449,0.023530774804840136,2.3530774804840136e-05,0.047665011558583936,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.3
2020-09-30,TREINO,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,-0.0391635587642843,0.0875179340028695,-0.040709481896636,0.0446196621993484,0.0309137209869638,0.0436162260071208,-0.0246173503522019,-0.0293522412581268,-0.0370525526649014,-0.048162662017678,-0.0597713116674375,0.0069999694824223,0.0015696620595304,-0.005430137161878425,0.041068154713815364,4.106815471381536e-05,-0.005470982310879169,-0.0033301973954557775,0.03290171518543258,3.290171518543258e-05,-0.003362989541434991,-0.0048916910679239,0.03893505747824676,3.893505747824676e-05,-0.0049304356671291405,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.3
2020-10-31,TREINO,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,0.3272655945283924,0.0514511873350929,-0.0053509804428802,0.0261611309065188,0.0203643429464523,0.037176698975913,0.0125539305498638,-0.0034411035016052,0.0244565217391308,-0.0069429418226945,-0.0101713454945908,0.0600794949598271,0.0015696620595304,0.044466877556618364,0.02017775116378067,2.0177751163780672e-05,0.0444458025638641,0.03159771290749197,0.014955006774371803,1.4955006774371803e-05,0.03158228535670715,0.04116709174915005,0.018906896013257832,1.8906896013257833e-05,0.041147406511213847,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.3
