data,retorno_estrategia,retorno_benchmark,indice_estrategia,indice_benchmark,diferenca_indice
2024-01-31,-0.036361902829802784,-0.036361902829802784,96.36380971701972,96.36380971701972,0.0
2024-02-29,-0.01339091363892897,-0.01339091363892897,95.07341026318092,95.07341026318092,0.0
2024-03-31,0.010189042687505978,0.010189042687505978,96.04211729879924,96.04211729879924,0.0
2024-04-30,0.0034681689774123114,0.0034681689774123114,96.37520759053993,96.37520759053993,0.0
2024-05-31,0.0246071677606714,0.0246071677606714,98.74672849168988,98.74672849168988,0.0
2024-06-30,0.0058243053484094975,0.0058243053484094975,99.32185959058198,99.32185959058198,0.0
2024-07-31,-0.0023407964483594945,-0.0023407964483594945,99.08936733440787,99.08936733440787,0.0
2024-08-31,0.03015099923971043,0.03015099923971043,102.07701077357099,102.07701077357099,0.0
2024-09-30,0.0348513573918412,0.0348513573918412,105.63453315753154,105.63453315753154,0.0
2024-10-31,-0.005067958747348111,-0.005067958747348111,105.09918170119379,105.09918170119379,0.0
2024-11-30,0.021558389328377947,0.021558389328377947,107.36495077840206,107.36495077840206,0.0
2024-12-31,0.008777011737469698,0.008777011737469698,108.30729421157696,108.30729421157696,0.0
2025-01-31,-0.004819120183739423,-0.004819120183739423,107.78534834399576,107.78534834399576,0.0
2025-02-28,0.009585790539839989,0.009585790539839989,108.81855611648498,108.81855611648498,0.0
2025-03-31,0.03139106828707061,0.03139106828707061,112.234486842438,112.234486842438,0.0
2025-04-30,0.0018481848339033657,0.0018481848339033657,112.44191691886112,112.44191691886112,0.0
2025-05-31,0.0026695951450079747,0.0026695951450079747,112.74209131436311,112.74209131436311,0.0
2025-06-30,-0.005869135813032722,-0.005869135813032722,112.08039266859377,112.08039266859377,0.0
2025-07-31,-0.024111287239924062,-0.024111287239924062,109.37799012699783,109.37799012699783,0.0
2025-08-31,0.01376371998623438,0.01376371998623438,110.88343815576293,110.88343815576293,0.0
2025-09-30,0.02281032891500323,0.02281032891500323,113.41272585132232,113.41272585132232,0.0
2025-10-31,0.035068753091554994,0.035068753091554994,117.38996873164255,117.38996873164255,0.0
2025-11-30,0.033128289666545685,0.033128289666545685,121.27889761973117,121.27889761973117,0.0
2025-12-31,0.007147137651054791,0.007147137651054791,122.14569459518756,122.14569459518756,0.0
2026-01-31,0.08682466700421876,0.08682466700421876,132.75095385441372,132.75095385441372,0.0
2026-02-28,-0.009776145550937976,-0.009776145550937976,131.45316120750712,131.45316120750712,0.0
2026-03-31,-0.01765031780119941,-0.017650317801199522,129.13297113622232,129.1329711362223,2.842170943040401e-14
2026-04-30,-0.007437550215881217,-0.007437550215881217,128.17253817887072,128.1725381788707,2.842170943040401e-14
2026-05-31,0.0010347119279168204,0.0010347119279168204,128.30515983295578,128.30515983295575,2.842170943040401e-14
