indicador,count,min,max,mean,median,std
CDI_MENSAL_PCT,272.0,0.052531000000000105,1.6528535842331271,0.8666962392946064,0.8961729664728524,0.31036956968620144
IPCA_MENSAL_PCT,270.0,-0.68,1.62,0.4583333333333333,0.44,0.32553616054374257
IPCA_12M_PCT,259.0,1.8774877402777834,12.13148113237592,5.614409251882233,5.218653638475956,2.089924901478323
IPCA_VARIACAO_3M_PP,256.0,-4.71813328555868,2.860621671850084,-0.033742915199033024,0.01020458494594978,1.0256254381080627
IBC_BR,269.0,68.92338,117.8089,95.04595211895911,96.55048,9.391959262513536
IBC_BR_VARIACAO_12M_PCT,257.0,-13.897298627177236,16.20899221814678,1.8690642850567107,1.8620645487246623,4.059420286903783
IBC_BR_DESSAZONALIZADO,269.0,72.46389,111.03587,95.0533029739777,96.78176,8.964534998005474
IBC_BR_VARIACAO_MENSAL_PCT,268.0,-9.109403116421399,4.647075649570409,0.1659772310955605,0.1683657350879164,1.140372669557238
IBC_BR_DESSAZONALIZADO_VARIACAO_12M_PCT,257.0,-13.205533231214496,16.00412048641393,1.864863714102205,1.8434463273863777,3.8843182795893387
IBC_BR_MEDIA_MOVEL_3M,267.0,73.25979,110.83465666666666,95.07715282147315,96.68550333333333,8.807126764312825
IBC_BR_TENDENCIA_3M_PCT,264.0,-11.348033025170567,8.82386297611073,0.4786180609976662,0.585064809844793,1.8586987933781134
