ano,quantidade_meses,retorno_portfolio_bruto,retorno_portfolio_liquido,retorno_benchmark_bruto,retorno_benchmark_liquido,diferenca_liquida,portfolio_superou_benchmark,ano_completo
2020,12,0.22014399857551004,0.21853717059406153,0.22014399857551004,0.21853717059406153,0.0,False,True
2021,12,0.04319417489199062,0.04290558582122417,0.04319417489199062,0.04290558582122417,0.0,False,True
2022,12,0.05569881789256037,0.05533300804905217,0.05569881789256037,0.05533300804905217,0.0,False,True
2023,12,0.001080241081309552,0.0008235792167194944,0.001080241081309552,0.0008235792167194944,0.0,False,True
2024,12,0.08331582898773404,0.08307294211576921,0.08331582898773404,0.08307294211576921,0.0,False,True
2025,12,0.12801329265574668,0.12776979135474864,0.12801329265574668,0.12776979135474864,0.0,False,True
2026,5,0.050560930854654185,0.05042719891341063,0.050560930854654185,0.05042719891341063,0.0,False,False
