candidato,meses_confirmacao,quantidade_mudancas_regime_treino,peso_cdi_expansao_desinflacionaria,peso_cdi_expansao_inflacionaria,peso_cdi_estagflacao,peso_cdi_recessao_desinflacionaria,peso_cdi_medio,peso_cdi_maximo,excesso_retorno_anualizado_vs_benchmark,quantidade_meses,retorno_total_bruto,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,quantidade_janelas_12m,proporcao_janelas_12m_positivas,media_excesso_12m,mediana_excesso_12m,pior_excesso_12m,melhor_excesso_12m,respeita_limite_turnover
conf_1m_cdi_00_00_00_00,1,8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.06%,48,34.52%,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,0.051505551784493786,-0.06362152684987821,2.20,4.58%,0.22%,134.22,37,37.84%,0.06%,-0.39%,-1.46%,3.05%,True
conf_1m_cdi_00_00_00_10,1,8,0.00%,0.00%,0.00%,10.00%,2.50%,10.00%,-0.46%,48,32.56%,32.25%,7.24%,8.34%,0.87,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.36,4.92%,0.24%,132.25,37,32.43%,-0.34%,-0.39%,-1.46%,1.02%,False
conf_1m_cdi_00_00_00_20,1,8,0.00%,0.00%,0.00%,20.00%,5.00%,20.00%,-0.86%,48,30.62%,30.29%,6.84%,8.18%,0.84,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.54,5.30%,0.25%,130.29,37,16.22%,-0.74%,-0.79%,-2.04%,0.62%,False
conf_1m_cdi_00_00_00_30,1,8,0.00%,0.00%,0.00%,30.00%,7.50%,30.00%,-1.26%,48,28.70%,28.35%,6.44%,8.04%,0.80,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.73,5.69%,0.27%,128.35,37,10.81%,-1.14%,-0.98%,-3.80%,0.61%,False
conf_1m_cdi_00_00_00_40,1,8,0.00%,0.00%,0.00%,40.00%,10.00%,40.00%,-1.66%,48,26.81%,26.44%,6.04%,7.92%,0.76,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.92,6.09%,0.29%,126.44,37,10.81%,-1.53%,-0.98%,-5.54%,0.60%,False
conf_1m_cdi_00_00_00_50,1,8,0.00%,0.00%,0.00%,50.00%,12.50%,50.00%,-2.06%,48,24.93%,24.54%,5.64%,7.82%,0.72,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.11,6.49%,0.31%,124.54,37,10.81%,-1.92%,-1.02%,-7.26%,0.59%,False
conf_1m_cdi_00_00_10_00,1,8,0.00%,0.00%,10.00%,0.00%,2.50%,10.00%,0.03%,48,34.98%,34.67%,7.72%,8.48%,0.91,-8.93%,58.33%,0.051505551784493786,-0.06362152684987821,2.35,4.89%,0.23%,134.67,37,48.65%,0.17%,-0.29%,-1.46%,3.05%,False
conf_1m_cdi_00_00_10_10,1,8,0.00%,0.00%,10.00%,10.00%,5.00%,10.00%,-0.37%,48,33.02%,32.68%,7.33%,8.31%,0.88,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.51,5.23%,0.25%,132.68,37,43.24%,-0.23%,-0.29%,-1.46%,1.02%,False
conf_1m_cdi_00_00_10_20,1,8,0.00%,0.00%,10.00%,20.00%,7.50%,20.00%,-0.77%,48,31.07%,30.72%,6.93%,8.16%,0.85,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.69,5.61%,0.27%,130.72,37,27.03%,-0.63%,-0.82%,-2.04%,1.00%,False
conf_1m_cdi_00_00_10_30,1,8,0.00%,0.00%,10.00%,30.00%,10.00%,30.00%,-1.17%,48,29.15%,28.78%,6.53%,8.02%,0.81,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.88,6.01%,0.29%,128.78,37,24.32%,-1.03%,-0.98%,-3.80%,0.99%,False
conf_1m_cdi_00_00_10_40,1,8,0.00%,0.00%,10.00%,40.00%,12.50%,40.00%,-1.57%,48,27.24%,26.85%,6.13%,7.89%,0.78,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.08,6.41%,0.31%,126.85,37,21.62%,-1.42%,-0.98%,-5.54%,0.98%,False
conf_1m_cdi_00_00_10_50,1,8,0.00%,0.00%,10.00%,50.00%,15.00%,50.00%,-1.97%,48,25.36%,24.95%,5.73%,7.79%,0.74,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.27,6.80%,0.33%,124.95,37,21.62%,-1.81%,-1.02%,-7.26%,0.96%,False
conf_1m_cdi_00_00_20_00,1,8,0.00%,0.00%,20.00%,0.00%,5.00%,20.00%,0.12%,48,35.45%,35.11%,7.81%,8.46%,0.92,-8.93%,58.33%,0.051505551784493786,-0.06362152684987821,2.54,5.29%,0.25%,135.11,37,48.65%,0.29%,-0.08%,-1.46%,3.05%,False
conf_1m_cdi_00_00_20_10,1,8,0.00%,0.00%,20.00%,10.00%,7.50%,20.00%,-0.28%,48,33.48%,33.12%,7.41%,8.29%,0.89,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.70,5.63%,0.27%,133.12,37,43.24%,-0.12%,-0.14%,-1.46%,1.38%,False
conf_1m_cdi_00_00_20_20,1,8,0.00%,0.00%,20.00%,20.00%,10.00%,20.00%,-0.68%,48,31.53%,31.15%,7.01%,8.13%,0.86,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.89,6.01%,0.29%,131.15,37,27.03%,-0.52%,-0.86%,-2.04%,1.37%,False
conf_1m_cdi_00_00_20_30,1,8,0.00%,0.00%,20.00%,30.00%,12.50%,30.00%,-1.08%,48,29.59%,29.20%,6.61%,7.99%,0.83,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.08,6.41%,0.31%,129.20,37,27.03%,-0.91%,-0.98%,-3.80%,1.36%,False
conf_1m_cdi_00_00_20_40,1,8,0.00%,0.00%,20.00%,40.00%,15.00%,40.00%,-1.48%,48,27.68%,27.27%,6.21%,7.87%,0.79,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.27,6.81%,0.33%,127.27,37,21.62%,-1.31%,-0.98%,-5.54%,1.35%,False
conf_1m_cdi_00_00_20_50,1,8,0.00%,0.00%,20.00%,50.00%,17.50%,50.00%,-1.88%,48,25.79%,25.36%,5.81%,7.77%,0.75,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.46,7.20%,0.35%,125.36,37,21.62%,-1.70%,-0.98%,-7.26%,1.34%,False
conf_1m_cdi_00_00_30_00,1,8,0.00%,0.00%,30.00%,0.00%,7.50%,30.00%,0.20%,48,35.91%,35.54%,7.90%,8.44%,0.94,-8.93%,60.42%,0.051505551784493786,-0.06362152684987821,2.73,5.69%,0.27%,135.54,37,56.76%,0.40%,0.27%,-1.46%,3.05%,False
conf_1m_cdi_00_00_30_10,1,8,0.00%,0.00%,30.00%,10.00%,10.00%,30.00%,-0.20%,48,33.94%,33.55%,7.50%,8.27%,0.91,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,2.90,6.03%,0.29%,133.55,37,51.35%,-0.00%,0.03%,-1.46%,1.76%,False
conf_1m_cdi_00_00_30_20,1,8,0.00%,0.00%,30.00%,20.00%,12.50%,30.00%,-0.60%,48,31.98%,31.57%,7.10%,8.11%,0.88,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.08,6.41%,0.31%,131.57,37,37.84%,-0.40%,-0.90%,-2.04%,1.75%,False
conf_1m_cdi_00_00_30_30,1,8,0.00%,0.00%,30.00%,30.00%,15.00%,30.00%,-1.00%,48,30.04%,29.62%,6.70%,7.97%,0.84,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.27,6.81%,0.33%,129.62,37,35.14%,-0.80%,-0.96%,-3.80%,1.74%,False
conf_1m_cdi_00_00_30_40,1,8,0.00%,0.00%,30.00%,40.00%,17.50%,40.00%,-1.40%,48,28.12%,27.68%,6.30%,7.85%,0.80,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.46,7.21%,0.35%,127.68,37,32.43%,-1.20%,-0.98%,-5.54%,1.73%,False
conf_1m_cdi_00_00_30_50,1,8,0.00%,0.00%,30.00%,50.00%,20.00%,50.00%,-1.80%,48,26.22%,25.76%,5.90%,7.74%,0.76,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.65,7.60%,0.36%,125.76,37,29.73%,-1.58%,-0.98%,-7.26%,1.72%,False
conf_1m_cdi_00_00_40_00,1,8,0.00%,0.00%,40.00%,0.00%,10.00%,40.00%,0.29%,48,36.38%,35.98%,7.99%,8.42%,0.95,-8.93%,60.42%,0.051505551784493786,-0.06362152684987821,2.92,6.09%,0.29%,135.98,37,59.46%,0.51%,0.62%,-1.46%,3.05%,False
conf_1m_cdi_00_00_40_10,1,8,0.00%,0.00%,40.00%,10.00%,12.50%,40.00%,-0.11%,48,34.39%,33.98%,7.59%,8.25%,0.92,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.09,6.43%,0.31%,133.98,37,54.05%,0.11%,0.16%,-1.46%,2.13%,False
conf_1m_cdi_00_00_40_20,1,8,0.00%,0.00%,40.00%,20.00%,15.00%,40.00%,-0.51%,48,32.43%,32.00%,7.19%,8.09%,0.89,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.27,6.81%,0.33%,132.00,37,40.54%,-0.29%,-0.94%,-2.04%,2.12%,False
conf_1m_cdi_00_00_40_30,1,8,0.00%,0.00%,40.00%,30.00%,17.50%,40.00%,-0.91%,48,30.49%,30.03%,6.79%,7.95%,0.85,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.46,7.21%,0.35%,130.03,37,37.84%,-0.69%,-0.96%,-3.80%,2.11%,False
conf_1m_cdi_00_00_40_40,1,8,0.00%,0.00%,40.00%,40.00%,20.00%,40.00%,-1.31%,48,28.56%,28.09%,6.39%,7.83%,0.82,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.65,7.60%,0.37%,128.09,37,35.14%,-1.08%,-0.98%,-5.54%,2.10%,False
conf_1m_cdi_00_00_40_50,1,8,0.00%,0.00%,40.00%,50.00%,22.50%,50.00%,-1.71%,48,26.66%,26.17%,5.98%,7.73%,0.77,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.84,8.00%,0.38%,126.17,37,32.43%,-1.47%,-0.98%,-7.26%,2.09%,False
conf_1m_cdi_00_00_50_00,1,8,0.00%,0.00%,50.00%,0.00%,12.50%,50.00%,0.38%,48,36.85%,36.42%,8.07%,8.40%,0.96,-8.93%,60.42%,0.051505551784493786,-0.06362152684987821,3.11,6.49%,0.31%,136.42,37,59.46%,0.63%,0.98%,-1.46%,3.05%,False
conf_1m_cdi_00_00_50_10,1,8,0.00%,0.00%,50.00%,10.00%,15.00%,50.00%,-0.02%,48,34.85%,34.41%,7.67%,8.23%,0.93,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.28,6.83%,0.33%,134.41,37,54.05%,0.22%,0.27%,-1.46%,2.51%,False
conf_1m_cdi_00_00_50_20,1,8,0.00%,0.00%,50.00%,20.00%,17.50%,50.00%,-0.42%,48,32.88%,32.42%,7.27%,8.07%,0.90,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.46,7.21%,0.35%,132.42,37,40.54%,-0.18%,-0.96%,-2.04%,2.50%,False
conf_1m_cdi_00_00_50_30,1,8,0.00%,0.00%,50.00%,30.00%,20.00%,50.00%,-0.82%,48,30.93%,30.45%,6.87%,7.93%,0.87,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.65,7.60%,0.36%,130.45,37,37.84%,-0.58%,-0.96%,-3.80%,2.49%,False
conf_1m_cdi_00_00_50_40,1,8,0.00%,0.00%,50.00%,40.00%,22.50%,50.00%,-1.22%,48,29.00%,28.51%,6.47%,7.81%,0.83,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.84,8.00%,0.38%,128.51,37,35.14%,-0.97%,-0.98%,-5.54%,2.48%,False
conf_1m_cdi_00_00_50_50,1,8,0.00%,0.00%,50.00%,50.00%,25.00%,50.00%,-1.63%,48,27.09%,26.58%,6.07%,7.71%,0.79,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,4.03,8.40%,0.40%,126.58,37,35.14%,-1.36%,-0.98%,-7.26%,2.47%,False
conf_1m_cdi_00_10_00_00,1,8,0.00%,10.00%,0.00%,0.00%,2.50%,10.00%,-0.35%,48,33.17%,32.80%,7.35%,8.13%,0.90,-8.29%,58.33%,0.051505551784493786,-0.05699505428457319,2.80,5.83%,0.28%,132.80,37,21.62%,-0.39%,-0.51%,-1.55%,1.20%,False
conf_1m_cdi_00_10_00_10,1,8,0.00%,10.00%,0.00%,10.00%,5.00%,10.00%,-0.73%,48,31.23%,30.89%,6.96%,7.95%,0.88,-8.29%,58.33%,0.046512900945293145,-0.05699505428457319,2.63,5.48%,0.26%,130.89,37,0.00%,-0.78%,-0.68%,-1.55%,-0.11%,False
conf_1m_cdi_00_10_00_20,1,8,0.00%,10.00%,0.00%,20.00%,7.50%,20.00%,-1.13%,48,29.31%,28.95%,6.56%,7.79%,0.84,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,2.79,5.82%,0.28%,128.95,37,0.00%,-1.17%,-1.01%,-2.88%,-0.11%,False
conf_1m_cdi_00_10_00_30,1,8,0.00%,10.00%,0.00%,30.00%,10.00%,30.00%,-1.53%,48,27.41%,27.04%,6.16%,7.64%,0.81,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,2.98,6.20%,0.30%,127.04,37,0.00%,-1.56%,-1.09%,-4.83%,-0.11%,False
conf_1m_cdi_00_10_00_40,1,8,0.00%,10.00%,0.00%,40.00%,12.50%,40.00%,-1.93%,48,25.53%,25.14%,5.77%,7.51%,0.77,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,3.17,6.60%,0.32%,125.14,37,0.00%,-1.95%,-1.09%,-6.77%,-0.11%,False
conf_1m_cdi_00_10_00_50,1,8,0.00%,10.00%,0.00%,50.00%,15.00%,50.00%,-2.33%,48,23.68%,23.26%,5.37%,7.40%,0.73,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,3.36,7.00%,0.34%,123.26,37,0.00%,-2.34%,-1.09%,-8.68%,-0.11%,False
conf_1m_cdi_00_10_10_00,1,8,0.00%,10.00%,10.00%,0.00%,5.00%,10.00%,-0.25%,48,33.63%,33.28%,7.45%,8.10%,0.92,-8.29%,58.33%,0.051505551784493786,-0.05699505428457319,2.63,5.48%,0.26%,133.28,37,40.54%,-0.26%,-0.25%,-1.55%,1.20%,False
conf_1m_cdi_00_10_10_10,1,8,0.00%,10.00%,10.00%,10.00%,7.50%,10.00%,-0.64%,48,31.69%,31.36%,7.06%,7.92%,0.89,-8.29%,58.33%,0.046512900945293145,-0.05699505428457319,2.46,5.13%,0.25%,131.36,37,13.51%,-0.65%,-0.67%,-1.55%,0.27%,False
conf_1m_cdi_00_10_10_20,1,8,0.00%,10.00%,10.00%,20.00%,10.00%,20.00%,-1.04%,48,29.76%,29.42%,6.66%,7.76%,0.86,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,2.63,5.47%,0.26%,129.42,37,13.51%,-1.05%,-0.96%,-2.88%,0.27%,False
conf_1m_cdi_00_10_10_30,1,8,0.00%,10.00%,10.00%,30.00%,12.50%,30.00%,-1.43%,48,27.85%,27.50%,6.26%,7.61%,0.82,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,2.81,5.85%,0.28%,127.50,37,13.51%,-1.44%,-1.09%,-4.83%,0.27%,False
conf_1m_cdi_00_10_10_40,1,8,0.00%,10.00%,10.00%,40.00%,15.00%,40.00%,-1.83%,48,25.97%,25.59%,5.86%,7.48%,0.78,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,3.00,6.25%,0.30%,125.59,37,13.51%,-1.83%,-1.09%,-6.77%,0.27%,False
conf_1m_cdi_00_10_10_50,1,8,0.00%,10.00%,10.00%,50.00%,17.50%,50.00%,-2.23%,48,24.10%,23.71%,5.46%,7.37%,0.74,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,3.19,6.65%,0.32%,123.71,37,13.51%,-2.21%,-1.09%,-8.68%,0.27%,False
conf_1m_cdi_00_10_20_00,1,8,0.00%,10.00%,20.00%,0.00%,7.50%,20.00%,-0.16%,48,34.09%,33.72%,7.53%,8.08%,0.93,-8.29%,58.33%,0.051505551784493786,-0.05699505428457319,2.78,5.80%,0.28%,133.72,37,51.35%,-0.15%,0.11%,-1.55%,1.20%,False
conf_1m_cdi_00_10_20_10,1,8,0.00%,10.00%,20.00%,10.00%,10.00%,20.00%,-0.55%,48,32.14%,31.79%,7.15%,7.90%,0.90,-8.29%,58.33%,0.046512900945293145,-0.05699505428457319,2.62,5.45%,0.26%,131.79,37,24.32%,-0.54%,-0.71%,-1.55%,0.61%,False
conf_1m_cdi_00_10_20_20,1,8,0.00%,10.00%,20.00%,20.00%,12.50%,20.00%,-0.95%,48,30.21%,29.84%,6.75%,7.73%,0.87,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,2.78,5.79%,0.28%,129.84,37,24.32%,-0.93%,-0.96%,-2.88%,0.61%,False
conf_1m_cdi_00_10_20_30,1,8,0.00%,10.00%,20.00%,30.00%,15.00%,30.00%,-1.35%,48,28.29%,27.92%,6.35%,7.58%,0.84,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,2.96,6.17%,0.30%,127.92,37,24.32%,-1.33%,-1.08%,-4.83%,0.61%,False
conf_1m_cdi_00_10_20_40,1,8,0.00%,10.00%,20.00%,40.00%,17.50%,40.00%,-1.75%,48,26.40%,26.00%,5.95%,7.45%,0.80,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,3.15,6.57%,0.32%,126.00,37,24.32%,-1.72%,-1.09%,-6.77%,0.61%,False
conf_1m_cdi_00_10_20_50,1,8,0.00%,10.00%,20.00%,50.00%,20.00%,50.00%,-2.15%,48,24.53%,24.12%,5.55%,7.34%,0.76,-8.29%,58.33%,0.045073387682071475,-0.05699505428457319,3.34,6.97%,0.33%,124.12,37,24.32%,-2.10%,-1.09%,-8.68%,0.61%,False
conf_1m_cdi_00_10_30_00,1,8,0.00%,10.00%,30.00%,0.00%,10.00%,30.00%,-0.07%,48,34.55%,34.15%,7.62%,8.05%,0.95,-8.29%,60.42%,0.051505551784493786,-0.05699505428457319,2.97,6.20%,0.30%,134.15,37,56.76%,-0.03%,0.36%,-1.55%,1.20%,False
conf_1m_cdi_00_10_30_10,1,8,0.00%,10.00%,30.00%,10.00%,12.50%,30.00%,-0.46%,48,32.59%,32.22%,7.23%,7.87%,0.92,-8.29%,60.42%,0.046512900945293145,-0.05699505428457319,2.81,5.85%,0.28%,132.22,37,32.43%,-0.42%,-0.75%,-1.55%,0.96%,False
conf_1m_cdi_00_10_30_20,1,8,0.00%,10.00%,30.00%,20.00%,15.00%,30.00%,-0.86%,48,30.65%,30.27%,6.83%,7.71%,0.89,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,2.97,6.19%,0.30%,130.27,37,29.73%,-0.82%,-0.96%,-2.88%,0.96%,False
conf_1m_cdi_00_10_30_30,1,8,0.00%,10.00%,30.00%,30.00%,17.50%,30.00%,-1.26%,48,28.74%,28.33%,6.43%,7.56%,0.85,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.15,6.57%,0.32%,128.33,37,29.73%,-1.21%,-1.08%,-4.83%,0.96%,False
conf_1m_cdi_00_10_30_40,1,8,0.00%,10.00%,30.00%,40.00%,20.00%,40.00%,-1.66%,48,26.84%,26.41%,6.03%,7.43%,0.81,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.35,6.97%,0.33%,126.41,37,29.73%,-1.60%,-1.09%,-6.77%,0.96%,False
conf_1m_cdi_00_10_30_50,1,8,0.00%,10.00%,30.00%,50.00%,22.50%,50.00%,-2.06%,48,24.96%,24.52%,5.64%,7.32%,0.77,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.54,7.37%,0.35%,124.52,37,29.73%,-1.99%,-1.09%,-8.68%,0.96%,False
conf_1m_cdi_00_10_40_00,1,8,0.00%,10.00%,40.00%,0.00%,12.50%,40.00%,0.01%,48,35.01%,34.59%,7.71%,8.03%,0.96,-8.29%,60.42%,0.051505551784493786,-0.05699505428457319,3.17,6.60%,0.32%,134.59,37,59.46%,0.08%,0.48%,-1.55%,1.31%,False
conf_1m_cdi_00_10_40_10,1,8,0.00%,10.00%,40.00%,10.00%,15.00%,40.00%,-0.38%,48,33.05%,32.65%,7.32%,7.85%,0.93,-8.29%,60.42%,0.046512900945293145,-0.05699505428457319,3.00,6.25%,0.30%,132.65,37,40.54%,-0.31%,-0.75%,-1.55%,1.31%,False
conf_1m_cdi_00_10_40_20,1,8,0.00%,10.00%,40.00%,20.00%,17.50%,40.00%,-0.78%,48,31.10%,30.69%,6.92%,7.69%,0.90,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.16,6.59%,0.32%,130.69,37,32.43%,-0.71%,-0.96%,-2.88%,1.31%,False
conf_1m_cdi_00_10_40_30,1,8,0.00%,10.00%,40.00%,30.00%,20.00%,40.00%,-1.18%,48,29.18%,28.75%,6.52%,7.54%,0.86,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.35,6.97%,0.33%,128.75,37,32.43%,-1.10%,-0.98%,-4.83%,1.31%,False
conf_1m_cdi_00_10_40_40,1,8,0.00%,10.00%,40.00%,40.00%,22.50%,40.00%,-1.58%,48,27.27%,26.82%,6.12%,7.41%,0.83,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.54,7.37%,0.35%,126.82,37,32.43%,-1.49%,-1.08%,-6.77%,1.31%,False
conf_1m_cdi_00_10_40_50,1,8,0.00%,10.00%,40.00%,50.00%,25.00%,50.00%,-1.98%,48,25.39%,24.92%,5.72%,7.30%,0.78,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.73,7.77%,0.37%,124.92,37,32.43%,-1.88%,-1.09%,-8.68%,1.31%,False
conf_1m_cdi_00_10_50_00,1,8,0.00%,10.00%,50.00%,0.00%,15.00%,50.00%,0.10%,48,35.48%,35.02%,7.80%,8.02%,0.97,-8.29%,60.42%,0.051505551784493786,-0.05699505428457319,3.36,6.99%,0.34%,135.02,37,59.46%,0.19%,0.61%,-1.55%,1.66%,False
conf_1m_cdi_00_10_50_10,1,8,0.00%,10.00%,50.00%,10.00%,17.50%,50.00%,-0.29%,48,33.50%,33.08%,7.41%,7.84%,0.94,-8.29%,60.42%,0.046512900945293145,-0.05699505428457319,3.19,6.65%,0.32%,133.08,37,40.54%,-0.20%,-0.75%,-1.55%,1.66%,False
conf_1m_cdi_00_10_50_20,1,8,0.00%,10.00%,50.00%,20.00%,20.00%,50.00%,-0.69%,48,31.55%,31.11%,7.01%,7.67%,0.91,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.36,6.99%,0.34%,131.11,37,35.14%,-0.60%,-0.91%,-2.88%,1.66%,False
conf_1m_cdi_00_10_50_30,1,8,0.00%,10.00%,50.00%,30.00%,22.50%,50.00%,-1.09%,48,29.62%,29.16%,6.61%,7.52%,0.88,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.54,7.37%,0.35%,129.16,37,32.43%,-0.99%,-0.96%,-4.83%,1.66%,False
conf_1m_cdi_00_10_50_40,1,8,0.00%,10.00%,50.00%,40.00%,25.00%,50.00%,-1.49%,48,27.71%,27.23%,6.21%,7.39%,0.84,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.73,7.77%,0.37%,127.23,37,32.43%,-1.38%,-1.08%,-6.77%,1.66%,False
conf_1m_cdi_00_10_50_50,1,8,0.00%,10.00%,50.00%,50.00%,27.50%,50.00%,-1.89%,48,25.82%,25.32%,5.81%,7.28%,0.80,-8.29%,60.42%,0.045073387682071475,-0.05699505428457319,3.92,8.16%,0.39%,125.32,37,32.43%,-1.76%,-1.08%,-8.68%,1.66%,False
conf_1m_cdi_00_20_00_00,1,8,0.00%,20.00%,0.00%,0.00%,5.00%,20.00%,-0.64%,48,31.82%,31.35%,7.06%,7.78%,0.91,-8.03%,58.33%,0.051505551784493786,-0.050864032842775075,3.56,7.41%,0.36%,131.35,37,13.51%,-0.83%,-0.93%,-1.82%,0.36%,False
conf_1m_cdi_00_20_00_10,1,8,0.00%,20.00%,0.00%,10.00%,7.50%,20.00%,-1.03%,48,29.90%,29.46%,6.67%,7.59%,0.88,-8.03%,58.33%,0.046512900945293145,-0.050864032842775075,3.36,7.00%,0.34%,129.46,37,5.41%,-1.22%,-1.22%,-2.85%,0.04%,False
conf_1m_cdi_00_20_00_20,1,8,0.00%,20.00%,0.00%,20.00%,10.00%,20.00%,-1.41%,48,28.00%,27.59%,6.28%,7.41%,0.85,-8.03%,58.33%,0.04152069542759018,-0.050864032842775075,3.19,6.64%,0.32%,127.59,37,5.41%,-1.60%,-1.22%,-4.75%,0.04%,False
conf_1m_cdi_00_20_00_30,1,8,0.00%,20.00%,0.00%,30.00%,12.50%,30.00%,-1.81%,48,26.12%,25.70%,5.88%,7.26%,0.81,-8.03%,58.33%,0.04037911167132746,-0.050864032842775075,3.35,6.98%,0.34%,125.70,37,5.41%,-1.99%,-1.22%,-6.68%,0.04%,False
conf_1m_cdi_00_20_00_40,1,8,0.00%,20.00%,0.00%,40.00%,15.00%,40.00%,-2.21%,48,24.26%,23.82%,5.49%,7.12%,0.77,-8.03%,58.33%,0.04037911167132746,-0.050864032842775075,3.53,7.36%,0.35%,123.82,37,5.41%,-2.37%,-1.22%,-8.59%,0.04%,False
conf_1m_cdi_00_20_00_50,1,8,0.00%,20.00%,0.00%,50.00%,17.50%,50.00%,-2.61%,48,22.42%,21.96%,5.09%,7.00%,0.73,-8.03%,58.33%,0.04037911167132746,-0.050864032842775075,3.72,7.76%,0.37%,121.96,37,5.41%,-2.76%,-1.22%,-10.47%,0.04%,False
conf_1m_cdi_00_20_10_00,1,8,0.00%,20.00%,10.00%,0.00%,7.50%,20.00%,-0.54%,48,32.27%,31.83%,7.15%,7.75%,0.92,-8.03%,58.33%,0.051505551784493786,-0.050864032842775075,3.35,6.98%,0.33%,131.83,37,16.22%,-0.71%,-0.81%,-1.65%,0.42%,False
conf_1m_cdi_00_20_10_10,1,8,0.00%,20.00%,10.00%,10.00%,10.00%,20.00%,-0.93%,48,30.35%,29.94%,6.77%,7.56%,0.90,-8.03%,58.33%,0.046512900945293145,-0.050864032842775075,3.15,6.56%,0.31%,129.94,37,8.11%,-1.09%,-1.19%,-2.85%,0.42%,False
conf_1m_cdi_00_20_10_20,1,8,0.00%,20.00%,10.00%,20.00%,12.50%,20.00%,-1.32%,48,28.44%,28.06%,6.38%,7.38%,0.86,-8.03%,58.33%,0.04152069542759018,-0.050864032842775075,2.98,6.20%,0.30%,128.06,37,8.11%,-1.48%,-1.19%,-4.75%,0.42%,False
conf_1m_cdi_00_20_10_30,1,8,0.00%,20.00%,10.00%,30.00%,15.00%,30.00%,-1.71%,48,26.55%,26.16%,5.98%,7.23%,0.83,-8.03%,58.33%,0.04037911167132746,-0.050864032842775075,3.14,6.54%,0.31%,126.16,37,8.11%,-1.86%,-1.19%,-6.68%,0.42%,False
conf_1m_cdi_00_20_10_40,1,8,0.00%,20.00%,10.00%,40.00%,17.50%,40.00%,-2.11%,48,24.69%,24.28%,5.58%,7.09%,0.79,-8.03%,58.33%,0.04037911167132746,-0.050864032842775075,3.32,6.92%,0.33%,124.28,37,8.11%,-2.25%,-1.19%,-8.59%,0.42%,False
