confirmacao_meses,quantidade_variantes,proporcao_supera_benchmark,proporcao_supera_modelo_anterior,diferenca_media_vs_benchmark,diferenca_mediana_vs_benchmark,pior_diferenca_vs_benchmark,melhor_diferenca_vs_benchmark,retorno_volatilidade_medio,sharpe_medio_excesso_cdi
1,625,0.96,0.992,2.3910624520024757,2.399879005798823,-0.8055524243456915,5.537611351015244,2.455562267231273,-0.14328383857786176
2,625,0.872,0.912,3.0595513568410477,3.087659016804764,-2.673616798162925,8.884838580707452,2.3167284099433534,-0.10057694765980872
3,625,0.896,0.928,2.495863361829542,2.5318764319506784,-1.309575466966919,6.245943629130352,2.2827664704504316,-0.13241370474647748
