metrica,portfolio_regimes,benchmark_estatico
quantidade_meses,77.0,77.0
retorno_total,0.7221657497546323,0.7221657497546323
retorno_anualizado,0.08840593415193054,0.08840593415193054
volatilidade_anualizada,0.08330980563739532,0.08330980563739532
retorno_sobre_volatilidade,1.061170812673793,1.061170812673793
sharpe_excesso_cdi,-0.1058224318297662,-0.1058224318297662
sortino_alvo_zero,1.9936148776198441,1.9936148776198441
maximo_drawdown,-0.08933046633128816,-0.08933046633128816
calmar,0.9896504270342782,0.9896504270342782
meses_positivos,0.6103896103896104,0.6103896103896104
melhor_mes,0.08682466700421876,0.08682466700421876
pior_mes,-0.0636215268498781,-0.0636215268498781
turnover_total,2.7643518219380234,2.7643518219380248
turnover_medio_mensal,0.035900673012182124,0.03590067301218214
custo_acumulado_simples,0.0027643518219380237,0.002764351821938024
indice_final_bruto,172.69339144807861,172.69339144807861
indice_final_liquido,172.21657497546323,172.21657497546323
