ticker,EURBRL=X,JPYBRL=X,USDBRL=X
EURBRL=X,1.0,0.7739482326791912,0.8048593756342649
JPYBRL=X,0.7739482326791912,1.0,0.8161423159909943
USDBRL=X,0.8048593756342649,0.8161423159909943,1.0
