data,regime_confirmacao_1m,peso_candidato_NG=F,peso_candidato_ZC=F,peso_candidato_GC=F,peso_candidato_USDBRL=X,peso_candidato_EURBRL=X,peso_candidato_JPYBRL=X,peso_candidato_IMAB11.SA,peso_candidato_B5MB11.SA,peso_candidato_IB5M11.SA,peso_candidato_BOVV11.SA,peso_candidato_FIND11.SA,peso_candidato_MATB11.SA,retorno_bruto_candidato,turnover_candidato,custo_candidato,retorno_liquido_candidato,retorno_liquido_Benchmark_Estatico,turnover_Benchmark_Estatico,custo_Benchmark_Estatico,indice_estrategia,indice_benchmark,diferenca_indice
2024-01-31,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,-0.03634695378730368,0.015512888749533972,1.5512888749533972e-05,-0.036361902829802784,-0.036361902829802784,0.015512888749533986,1.5512888749533986e-05,96.36380971701972,96.36380971701972,0.0
2024-02-29,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,-0.013370377404342569,0.020814532744689147,2.0814532744689147e-05,-0.01339091363892897,-0.01339091363892897,0.020814532744689147,2.0814532744689147e-05,95.07341026318092,95.07341026318092,0.0
2024-03-31,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.010203107794883546,0.013923049007751154,1.3923049007751154e-05,0.010189042687505978,0.010189042687505978,0.01392304900775116,1.392304900775116e-05,96.04211729879924,96.04211729879924,0.0
2024-04-30,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0034803459333229182,0.012134722877206287,1.2134722877206288e-05,0.0034681689774123114,0.0034681689774123114,0.012134722877206287,1.2134722877206288e-05,96.37520759053993,96.37520759053993,0.0
2024-05-31,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.024623405075250217,0.015847104895792614,1.5847104895792616e-05,0.0246071677606714,0.0246071677606714,0.01584710489579263,1.584710489579263e-05,98.74672849168988,98.74672849168988,0.0
2024-06-30,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0058470299495395825,0.022592502093833927,2.2592502093833927e-05,0.0058243053484094975,0.0058243053484094975,0.022592502093833934,2.2592502093833934e-05,99.32185959058198,99.32185959058198,0.0
2024-07-31,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,-0.002327961285015163,0.012865112828899149,1.2865112828899149e-05,-0.0023407964483594945,-0.0023407964483594945,0.012865112828899156,1.2865112828899155e-05,99.08936733440787,99.08936733440787,0.0
2024-08-31,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0301743570365956,0.022673634541273587,2.2673634541273588e-05,0.03015099923971043,0.03015099923971043,0.022673634541273593,2.2673634541273595e-05,102.07701077357099,102.07701077357099,0.0
2024-09-30,EXPANSAO_INFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0348662471049372,0.014388055594306483,1.4388055594306484e-05,0.0348513573918412,0.0348513573918412,0.01438805559430649,1.438805559430649e-05,105.63453315753154,105.63453315753154,0.0
2024-10-31,EXPANSAO_INFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,-0.00503121100335454,0.03693356454988225,3.693356454988225e-05,-0.005067958747348111,-0.005067958747348111,0.03693356454988227,3.6933564549882266e-05,105.09918170119379,105.09918170119379,0.0
