ticker,GC=F,NG=F,ZC=F
GC=F,1.0,0.02325929844002481,0.08557548823107425
NG=F,0.02325929844002481,1.0,0.05343281876153293
ZC=F,0.08557548823107425,0.05343281876153293,1.0
