data,retorno_portfolio_liquido,retorno_estatica_liquido,retorno_movel_portfolio,retorno_movel_benchmark,volatilidade_movel_portfolio,volatilidade_movel_benchmark,diferenca_retorno_movel,diferenca_volatilidade_movel,portfolio_superou_janela
2020-01-31,-0.0067258041846283145,-0.0067258041846283145,,,,,,,False
2020-02-29,-0.020870279148073267,-0.020870279148073267,,,,,,,False
2020-03-31,-0.0636215268498781,-0.0636215268498781,,,,,,,False
2020-04-30,0.04976842754776656,0.04976842754776656,,,,,,,False
2020-05-31,0.03109508368159597,0.03109508368159597,,,,,,,False
2020-06-30,0.03141237511626915,0.03141237511626915,,,,,,,False
2020-07-31,0.0398343004827213,0.0398343004827213,,,,,,,False
2020-08-31,0.051505551784493786,0.051505551784493786,,,,,,,False
2020-09-30,-0.005470982310879058,-0.005470982310879058,,,,,,,False
2020-10-31,0.0444458025638641,0.0444458025638641,,,,,,,False
2020-11-30,0.014281988101870313,0.014281988101870313,,,,,,,False
2020-12-31,0.04043660321375442,0.04043660321375442,0.21853717059406153,0.21853717059406153,0.12137221394069585,0.12137221394069585,0.0,0.0,False
2021-01-31,0.015488732340832811,0.015488732340832811,0.24578970428298197,0.24578970428298197,0.11860146726742628,0.11860146726742628,0.0,0.0,False
2021-02-28,-0.0005959625459094342,-0.0005959625459094342,0.2715856068548832,0.2715856068548832,0.11275003752650553,0.11275003752650553,0.0,0.0,False
2021-03-31,0.012440824776378756,0.012440824776378756,0.3748769514605559,0.3748769514605559,0.06709727404008668,0.06709727404008668,0.0,0.0,False
2021-04-30,0.039961177362125566,0.039961177362125566,0.36203244034400206,0.36203244034400206,0.0641262964696715,0.0641262964696715,0.0,0.0,False
2021-05-31,0.0033232594001511018,0.0033232594001511018,0.325347050026942,0.325347050026942,0.0677425048628469,0.0677425048628469,0.0,0.0,False
2021-06-30,0.005163788916316969,0.005163788916316969,0.29161807107847526,0.29161807107847526,0.06963521065562503,0.06963521065562503,0.0,0.0,False
2021-07-31,-0.013001770093307163,-0.013001770093307163,0.2259883611053619,0.2259883611053619,0.07452651790842375,0.07452651790842375,0.0,0.0,False
2021-08-31,-0.0011939277259223058,-0.0011939277259223058,0.16454413153716474,0.16454413153716474,0.06634825486093518,0.06634825486093518,0.0,0.0,False
2021-09-30,0.012748599853589004,0.012748599853589004,0.1858783582025576,0.1858783582025576,0.06326275102000559,0.06326275102000559,0.0,0.0,False
2021-10-31,-0.01743953418426225,-0.01743953418426225,0.11561288213905141,0.11561288213905141,0.061505901957151714,0.061505901957151714,0.0,0.0,False
2021-11-30,-0.009211820602264553,-0.009211820602264553,0.08977194643448194,0.08977194643448194,0.06387191138551651,0.06387191138551651,0.0,0.0,False
2021-12-31,-0.004308058456961805,-0.004308058456961805,0.04290558582122417,0.04290558582122417,0.05339461103780763,0.05339461103780763,0.0,0.0,False
2022-01-31,0.038655504422512754,0.038655504422512754,0.0666978301268184,0.0666978301268184,0.063149580400634,0.063149580400634,0.0,0.0,False
2022-02-28,-0.013832315767086212,-0.013832315767086212,0.05257022134129752,0.05257022134129752,0.0658818818679244,0.0658818818679244,0.0,0.0,False
2022-03-31,0.03664300778904939,0.03664300778904939,0.07773168906087125,0.07773168906087125,0.07313368897899043,0.07313368897899043,0.0,0.0,False
2022-04-30,0.0003603838740753318,0.0003603838740753318,0.03669262819680785,0.03669262819680785,0.06342012726655698,0.06342012726655698,0.0,0.0,False
2022-05-31,0.007915635824201406,0.007915635824201406,0.041437741738344025,0.041437741738344025,0.06359912763205061,0.06359912763205061,0.0,0.0,False
2022-06-30,-0.050864032842775075,-0.050864032842775075,-0.016611989868297705,-0.016611989868297705,0.08358031095099959,0.08358031095099959,0.0,0.0,False
2022-07-31,0.030745000645739262,0.030745000645739262,0.026974764923375583,0.026974764923375583,0.08812528375404735,0.08812528375404735,0.0,0.0,False
2022-08-31,0.020202868800659246,0.020202868800659246,0.048975001699038234,0.048975001699038234,0.08972508957396949,0.08972508957396949,0.0,0.0,False
2022-09-30,-0.008966960938782909,-0.008966960938782909,0.026482667054125164,0.026482667054125164,0.09012173884061879,0.09012173884061879,0.0,0.0,False
2022-10-31,0.005285614542078543,0.005285614542078543,0.050223670366781326,0.050223670366781326,0.08746502089479272,0.08746502089479272,0.0,0.0,False
2022-11-30,0.011701792569003278,0.011701792569003278,0.07239185125758585,0.07239185125758585,0.08641222063691736,0.08641222063691736,0.0,0.0,False
2022-12-31,-0.020146814313661388,-0.020146814313661388,0.05533300804905217,0.05533300804905217,0.08988095984199712,0.08988095984199712,0.0,0.0,False
2023-01-31,-0.02380478638333139,-0.02380478638333139,-0.008130196352294727,-0.008130196352294727,0.08583286326904589,0.08583286326904589,0.0,0.0,False
2023-02-28,-0.026057705224923455,-0.026057705224923455,-0.02042627422519072,-0.02042627422519072,0.08874185054249746,0.08874185054249746,0.0,0.0,False
2023-03-31,-0.012739406476433235,-0.012739406476433235,-0.06709008728940624,-0.06709008728940624,0.07882375283328694,0.07882375283328694,0.0,0.0,False
2023-04-30,0.0075713800363650385,0.0075713800363650385,-0.06036530099362547,-0.06036530099362547,0.07973623641860639,0.07973623641860639,0.0,0.0,False
2023-05-31,-0.0014196247411030205,-0.0014196247411030205,-0.06906814718397469,-0.06906814718397469,0.07863447721381954,0.07863447721381954,0.0,0.0,False
2023-06-30,0.021937630223018312,0.021937630223018312,0.002337204031316764,0.002337204031316764,0.06565695110980393,0.06565695110980393,0.0,0.0,False
2023-07-31,-0.0018296286782200077,-0.0018296286782200077,-0.02933965383214998,-0.02933965383214998,0.05667765166621226,0.05667765166621226,0.0,0.0,False
2023-08-31,-0.012997491914005677,-0.012997491914005677,-0.060927757149364825,-0.060927757149364825,0.05177410897664913,0.05177410897664913,0.0,0.0,False
2023-09-30,0.005353434972780402,0.005353434972780402,-0.04735819309131917,-0.04735819309131917,0.05258805403780682,0.05258805403780682,0.0,0.0,False
2023-10-31,0.01599976054973462,0.01599976054973462,-0.03720511493664325,-0.03720511493664325,0.05563897422089023,0.05563897422089023,0.0,0.0,False
2023-11-30,0.013287758232956248,0.013287758232956248,-0.03569581680120881,-0.03569581680120881,0.05611780110582311,0.05611780110582311,0.0,0.0,False
2023-12-31,0.016961441723149173,0.016961441723149173,0.0008235792167194944,0.0008235792167194944,0.05594796973292239,0.05594796973292239,0.0,0.0,False
2024-01-31,-0.036361902829802784,-0.036361902829802784,-0.012050339904475349,-0.012050339904475349,0.06281091127547175,0.06281091127547175,0.0,0.0,False
2024-02-29,-0.01339091363892897,-0.01339091363892897,0.0007986271329136763,0.0007986271329136763,0.05838852034833267,0.05838852034833267,0.0,0.0,False
2024-03-31,0.010189042687505756,0.010189042687505756,0.024041487828547536,0.024041487828547536,0.05733886144579687,0.05733886144579687,0.0,0.0,False
2024-04-30,0.0034681689774120894,0.0034681689774120894,0.019871204272524645,0.019871204272524645,0.057058516669936776,0.057058516669936776,0.0,0.0,False
2024-05-31,0.0246071677606714,0.0246071677606714,0.0464529165410581,0.0464529165410581,0.061254741623559004,0.061254741623559004,0.0,0.0,False
2024-06-30,0.0058243053484094975,0.0058243053484094975,0.029953048729625786,0.029953048729625786,0.05812821189122629,0.05812821189122629,0.0,0.0,False
2024-07-31,-0.0023407964483594945,-0.0023407964483594945,0.029425604900001234,0.029425604900001234,0.05817286572420363,0.05817286572420363,0.0,0.0,False
2024-08-31,0.03015099923971043,0.03015099923971043,0.0744286937903964,0.0744286937903964,0.06149959575255739,0.06149959575255739,0.0,0.0,False
2024-09-30,0.0348513573918412,0.0348513573918412,0.10595334288566671,0.10595334288566671,0.06783316210272303,0.06783316210272303,0.0,0.0,False
2024-10-31,-0.005067958747348,-0.005067958747348,0.0830203506859657,0.0830203506859657,0.06859466066893316,0.06859466066893316,0.0,0.0,False
2024-11-30,0.021558389328377947,0.021558389328377947,0.09186015134138659,0.09186015134138659,0.06992733599529723,0.06992733599529723,0.0,0.0,False
