periodo,cenario,rotulo,quantidade_meses,retorno_total_bruto,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,diferenca_indice_vs_benchmark
TREINO,MODELO_BASE_4_ATIVOS,Modelo da Célula 7 sem CDI,48,34.52%,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,-0.30
TREINO,MODELO_SELECIONADO_5_ATIVOS,Modelo selecionado com CDI,48,38.27%,37.97%,8.38%,5.11%,1.64,-5.05%,68.75%,3.65%,-3.68%,2.15,4.48%,0.22%,137.97,3.45
TREINO,BENCHMARK_5_ATIVOS,Benchmark de pesos iguais — 5 ativos,48,34.81%,34.52%,7.70%,7.83%,0.98,-8.19%,58.33%,4.77%,-5.85%,2.13,4.44%,0.21%,134.52,0.00
AVALIACAO,MODELO_BASE_4_ATIVOS,Modelo da Célula 7 sem CDI,29,28.38%,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,-0.49
AVALIACAO,MODELO_SELECIONADO_5_ATIVOS,Modelo selecionado com CDI,29,31.96%,31.89%,12.14%,5.25%,2.31,-2.27%,79.31%,6.43%,-1.80%,0.55,1.90%,0.06%,131.89,3.09
AVALIACAO,BENCHMARK_5_ATIVOS,Benchmark de pesos iguais — 5 ativos,29,28.87%,28.80%,11.04%,7.52%,1.47,-4.42%,65.52%,8.10%,-3.28%,0.54,1.85%,0.05%,128.80,0.00
