periodo,cenario,rotulo,quantidade_meses,retorno_total_bruto,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade,sharpe_excesso_cdi,sortino_excesso_cdi,calmar,maximo_drawdown,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,diferenca_indice_vs_benchmark
TREINO,MODELO_COM_CDI,Modelo com CDI,48,0.3826982554952012,0.37972460187466717,0.08379739313768186,0.05106090500013773,1.6411262812019458,0.07592188623408497,0.11173108886827128,1.6579270285565355,-0.05054347489023059,0.6875,0.03652893371422139,-0.036822499549372445,2.152404001925343,0.04484175004011132,0.002152404001925348,137.9724601874667,3.4513738543544434
TREINO,MODELO_ANTERIOR_SEM_CDI,Modelo anterior sem CDI,48,0.34519475792903553,0.3422420049176287,0.07636038768646958,0.08510987434213857,0.8971977491060981,-0.004974061958160721,-0.007059417328602953,0.8548078927885763,-0.0893304663312885,0.5833333333333334,0.051505551784493786,-0.06362152684987821,2.196931798839291,0.04576941247581856,0.002196931798839296,134.22420049176287,-0.29688584134939333
TREINO,BENCHMARK_5_ATIVOS,Benchmark de pesos iguais,48,0.34808359327473437,0.3452108633311226,0.0769550856692296,0.07827468304609239,0.9831414535899718,-0.005291429297102464,-0.0075094614570291665,0.9392546468795645,-0.08193207872315922,0.5833333333333334,0.047665011558583936,-0.05846816520653064,2.1327304032469963,0.04443188340097909,0.0021327304032470007,134.52108633311227,0.0
TREINO,CARTEIRA_ESTATICA,Carteira estática,48,0.35750658393880785,0.35503874050596185,0.07891673127981136,0.04980009211361473,1.5846703877528872,-0.007305121896999523,-0.01036413948538748,1.5613633896601153,-0.05054347489023059,0.6875,0.03153747705339782,-0.036822499549372445,1.8190693301406602,0.037897277711263756,0.001819069330140664,135.50387405059618,0.9827877174839159
TREINO,CDI_100,100% CDI,48,0.3632486535715045,0.3618854049179334,0.08027702914095824,0.013368536348765125,6.004922831239755,-0.4999999999988012,-0.4999999999988262,,0.0,1.0,0.01174673194761211,0.0013452738652959262,1.0,0.020833333333333332,0.0010000000000000022,136.18854049179333,1.6674541586810676
AVALIACAO,MODELO_COM_CDI,Modelo com CDI,29,0.3196290824056769,0.3189022206637757,0.1213550535783392,0.05247328908241831,2.312701484897016,-0.09809666798810789,-0.16249733958449059,5.3453074548699755,-0.022703100729552173,0.7931034482758621,0.06426960049539399,-0.017951672873797175,0.5509456710095276,0.018998126586535435,0.0005509456710095288,131.89022206637756,3.0940979452348074
AVALIACAO,MODELO_ANTERIOR_SEM_CDI,Modelo anterior sem CDI,29,0.2837798425110196,0.2830515983295576,0.10864032468343088,0.08144426271556376,1.3339223790734867,-0.18166831801722916,-0.28147424672028387,2.2051831081346718,-0.04926589736819087,0.6551724137931034,0.08682466700421876,-0.036361902829802784,0.5674200230987332,0.019566207693059764,0.0005674200230987344,128.30515983295575,-0.49096428818700133
AVALIACAO,BENCHMARK_5_ATIVOS,Benchmark de pesos iguais,29,0.28865323976362456,0.28796124121142763,0.11039377441377973,0.07518524891522607,1.4682903362899347,-0.1817411580905756,-0.281581341632256,2.4985737797089094,-0.04418271547964492,0.6551724137931034,0.08104130307098978,-0.0328216019121329,0.5371319306277863,0.018521790711302975,0.0005371319306277874,128.79612412114275,0.0
AVALIACAO,CARTEIRA_ESTATICA,Carteira estática,29,0.30806829078601927,0.307558836471981,0.11735417978143636,0.04893666057508175,2.398083122189837,-0.18208095196622448,-0.28208083888840113,5.169081579622239,-0.022703100729552173,0.7931034482758621,0.05675127449959971,-0.017951672873797175,0.38954339183340914,0.013432530752876178,0.00038954339183341,130.7558836471981,1.9597595260553362
AVALIACAO,CDI_100,100% CDI,29,0.3393334023744503,0.3393334023744503,0.12851066827823998,0.0052932503285110085,24.27821476457359,4.620634699064077,inf,,0.0,1.0,0.01275732508747951,0.007883369678362895,0.0,0.0,0.0,133.93334023744504,5.137216116302284
