data,NG=F,ZC=F,GC=F,USDBRL=X,EURBRL=X,JPYBRL=X,IMAB11.SA,B5MB11.SA,IB5M11.SA,BOVV11.SA,FIND11.SA,MATB11.SA,CDI,regime_confirmacao_1m,regime_confirmacao_2m,regime_confirmacao_3m,numero_recalibracao,candidato_aplicado,meses_confirmacao_aplicada,data_final_treino_utilizada,periodo,retorno_bruto_WALK_FORWARD,turnover_WALK_FORWARD,custo_WALK_FORWARD,retorno_liquido_WALK_FORWARD,retorno_bruto_MODELO_FIXO_CELULA_9,turnover_MODELO_FIXO_CELULA_9,custo_MODELO_FIXO_CELULA_9,retorno_liquido_MODELO_FIXO_CELULA_9,retorno_bruto_MODELO_ANTERIOR_SEM_CDI,turnover_MODELO_ANTERIOR_SEM_CDI,custo_MODELO_ANTERIOR_SEM_CDI,retorno_liquido_MODELO_ANTERIOR_SEM_CDI,retorno_bruto_BENCHMARK_5_ATIVOS,turnover_BENCHMARK_5_ATIVOS,custo_BENCHMARK_5_ATIVOS,retorno_liquido_BENCHMARK_5_ATIVOS,retorno_bruto_CARTEIRA_ESTATICA,turnover_CARTEIRA_ESTATICA,custo_CARTEIRA_ESTATICA,retorno_liquido_CARTEIRA_ESTATICA,retorno_bruto_CDI_100,turnover_CDI_100,custo_CDI_100,retorno_liquido_CDI_100,peso_walk_forward_NG=F,peso_walk_forward_ZC=F,peso_walk_forward_GC=F,peso_walk_forward_USDBRL=X,peso_walk_forward_EURBRL=X,peso_walk_forward_JPYBRL=X,peso_walk_forward_IMAB11.SA,peso_walk_forward_B5MB11.SA,peso_walk_forward_IB5M11.SA,peso_walk_forward_BOVV11.SA,peso_walk_forward_FIND11.SA,peso_walk_forward_MATB11.SA,peso_walk_forward_CDI,indice_WALK_FORWARD,drawdown_WALK_FORWARD,indice_MODELO_FIXO_CELULA_9,drawdown_MODELO_FIXO_CELULA_9,indice_MODELO_ANTERIOR_SEM_CDI,drawdown_MODELO_ANTERIOR_SEM_CDI,indice_BENCHMARK_5_ATIVOS,drawdown_BENCHMARK_5_ATIVOS,indice_CARTEIRA_ESTATICA,drawdown_CARTEIRA_ESTATICA,indice_CDI_100,drawdown_CDI_100,diferenca_oficial_vs_benchmark,diferenca_oficial_vs_challenger
2024-01-31,-0.1787250806189556,-0.0548234053769105,-0.0122956753945462,0.0257351375571646,0.0005600215464109,-0.0157385868222984,0.0,0.0,-0.0119937187788934,-0.0479502398176628,-0.0464245933055784,-0.0945073044363746,0.0096669017436581,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,-0.0179414115749189,0.0104487644618172,1.0448764461817215e-05,-0.0179516728737971,-0.0179414115749189,0.0104487644618172,1.0448764461817215e-05,-0.0179516728737971,-0.0363469537873037,0.0155128887495339,1.5512888749533986e-05,-0.0363619028298027,-0.0328074264387681,0.0146563091490019,1.4656309149001984e-05,-0.0328216019121329,-0.0179414115749189,0.0104487644618172,1.0448764461817212e-05,-0.0179516728737971,0.0096669017436581,0.0,0.0,0.0096669017436581,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,98.20483271262029,-0.017951672873797175,98.20483271262029,-0.017951672873797175,96.36380971701973,-0.03636190282980267,96.7178398087867,-0.0328216019121329,98.20483271262029,-0.017951672873797175,100.96669017436581,0.0,1.4869929038335812,1.8410229956005537
2024-02-29,-0.1142856672507536,-0.0725041829336303,-0.0013180781588523,0.0034340789008791,0.0038429671859119,-0.0181639930834243,0.0,0.0,0.0014074246330528,0.0103805521956765,0.0019630938594077,0.0247992757996216,0.0080020043576818,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,-0.0048214246995328,0.0169401077289326,1.6940107728932617e-05,-0.0048382831318078,-0.0048214246995328,0.0169401077289326,1.6940107728932617e-05,-0.0048382831318078,-0.0133703774043425,0.0208145327446891,2.0814532744689147e-05,-0.0133909136389289,-0.011726348038033,0.0205506358875858,2.0550635887585824e-05,-0.0117466576900117,-0.0048214246995328,0.0169401077289326,1.6940107728932617e-05,-0.0048382831318078,0.0080020043576818,0.0,0.0,0.0080020043576818,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,97.72968992704482,-0.02270310072955184,97.72968992704482,-0.02270310072955184,95.07341026318095,-0.04926589736819054,95.5817284520355,-0.04418271547964492,97.72968992704482,-0.02270310072955184,101.7746260691218,0.0,2.1479614750093106,2.65627966386387
2024-03-31,-0.0521505387715066,0.0631389055923039,0.083932128498863,0.0046303304837789,0.0015981709870167,0.0003640216460683,0.0,0.0,-0.0044799237811131,-0.0083713157977242,0.0031348082340305,0.0306407064468852,0.008316737660555,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,0.0094485597411521,0.0095706224941436,9.57062249414368e-06,0.0094388986900595,0.0094485597411521,0.0095706224941436,9.57062249414368e-06,0.0094388986900595,0.0102031077948835,0.0139230490077511,1.392304900775116e-05,0.0101890426875059,0.0100580023999352,0.0132145584464122,1.3214558446412247e-05,0.0100446549294284,0.0094485597411521,0.0095706224941436,9.570622494143678e-06,0.0094388986900595,0.008316737660555,0.0,0.0,0.008316737660555,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,98.65215056927713,-0.013478494307228694,98.65215056927713,-0.013478494307228694,96.04211729879927,-0.03957882701200732,96.54181393189454,-0.03458186068105462,98.65215056927713,-0.013478494307228694,102.62105893463978,0.0,2.110336637382588,2.6100332704778566
2024-04-30,0.1293250387649962,-0.0056561085972842,0.033372419617131,0.0253892391111372,0.0166617858744866,-0.007518569416321,0.0,0.0,-0.0270008394824687,-0.0166538612288698,-0.0542968511581416,-0.0518581022847907,0.0088743311137577,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,0.0056379400054968,0.007398398852186,7.398398852186069e-06,0.0056304998949157,0.0056379400054968,0.007398398852186,7.398398852186069e-06,0.0056304998949157,0.0034803459333229,0.0121347228772062,1.2134722877206288e-05,0.0034681689774123,0.0038952678702794,0.011236044250596,1.123604425059608e-05,0.0038839880586267,0.0056379400054968,0.007398398852186,7.398398852186069e-06,0.0056304998949157,0.0088743311137577,0.0,0.0,0.0088743311137577,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,99.20761149269065,-0.007923885073093495,99.20761149269065,-0.007923885073093495,96.37520759053996,-0.036247924094600426,96.91678118436418,-0.03083218815635813,99.20761149269065,-0.007923885073093495,103.53175219087024,0.0,2.2908303083264627,2.8324039021506877
2024-05-31,0.2993469714105485,0.015358361774745,0.0137470547885516,0.0166307788548212,0.0276855158345978,0.0131654530864044,0.0,0.0,0.0108824214579517,-0.0299695919843063,-0.033952916205993,-0.0374131881143183,0.0083244202533836,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,0.0181038111465035,0.0103460621329935,1.0346062132993588e-05,0.0180932777812155,0.0181038111465035,0.0103460621329935,1.0346062132993588e-05,0.0180932777812155,0.0246234050752502,0.0158471048957926,1.584710489579263e-05,0.0246071677606714,0.0233696370120297,0.0148763966907229,1.4876396690722916e-05,0.0233544129593483,0.0181038111465035,0.0103460621329935,1.0346062132993588e-05,0.0180932777812155,0.0083244202533836,0.0,0.0,0.0083244202533836,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,101.0026023654388,0.0,101.0026023654388,0.0,98.74672849168991,-0.012532715083100943,99.18021571483463,-0.008197842851653703,101.0026023654388,0.0,104.3935940056762,0.0,1.822386650604173,2.2558738737488966
2024-06-30,0.0054117425440509,-0.1098039215686268,0.0020664036462711,0.057361529677457,0.0461366250064678,0.031807833959512,0.0,0.0,-0.0176729272371911,0.0155282025179765,0.005643885915306,0.0336849849332516,0.0078833696783628,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,0.0066615658410688,0.0142826724430309,1.4282672443030938e-05,0.0066471880236629,0.0066615658410688,0.0142826724430309,1.4282672443030938e-05,0.0066471880236629,0.0058470299495395,0.0225925020938339,2.2592502093833934e-05,0.0058243053484094,0.0060036714671413,0.021068649705667,2.106864970566704e-05,0.0059824763281846,0.0066615658410688,0.0142826724430309,1.4282672443030938e-05,0.0066471880236629,0.0078833696783628,0.0,0.0,0.0078833696783628,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,101.67398565424115,0.0,101.67398565424115,0.0,99.321859590582,-0.0067814040941800435,99.77355900757287,-0.002264409924271238,101.67398565424115,0.0,105.21656729927588,0.0,1.9004266466682793,2.3521260636591563
2024-07-31,-0.217224160665335,-0.0365009439899298,0.0424453541696321,0.0201072612660961,0.0303179192225298,0.0748618623054471,0.0,0.0,0.0227397065184424,0.0302645541790966,0.0297619051480704,-0.0247089935742317,0.0090712234242487,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,0.0022317125986903,0.0079960228467234,7.996022846723465e-06,0.0022236987310186,0.0022317125986903,0.0079960228467234,7.996022846723465e-06,0.0022236987310186,-0.0023279612850151,0.0128651128288991,1.2865112828899155e-05,-0.0023407964483596,-0.001451100922764,0.0119574817442011,1.195748174420113e-05,-0.0014630410529955,0.0022317125986903,0.0079960228467234,7.996022846723461e-06,0.0022236987310186,0.0090712234242487,0.0,0.0,0.0090712234242487,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,101.90007796711811,0.0,101.90007796711811,0.0,99.08936733440788,-0.009106326655921149,99.62758619474131,-0.0037241380525868673,101.90007796711811,0.0,106.17101028918012,0.0,2.272491772376796,2.810710632710226
2024-08-31,0.0446955203889458,-0.0124101894186796,0.0277354415116948,0.002958360137772,0.0251915676303506,0.0557292707869383,0.0,0.0,0.011608206773424,0.0665949254784603,0.1315441825424961,0.008444998607745,0.0086751167059184,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,0.0215746609043247,0.0144473906374436,1.444739063744366e-05,0.0215599018161334,0.0215746609043247,0.0144473906374436,1.444739063744366e-05,0.0215599018161334,0.0301743570365956,0.0226736345412736,2.267363454127361e-05,0.0301509992397104,0.0285205693188512,0.0211137763327197,2.1113776332719792e-05,0.0284988533655969,0.0215746609043247,0.0144473906374436,1.444739063744366e-05,0.0215599018161334,0.0086751167059184,0.0,0.0,0.0086751167059184,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,104.09703364314551,0.0,104.09703364314551,0.0,102.077010773571,0.0,102.46685816487361,0.0,104.09703364314551,0.0,107.09205619422404,0.0,1.6301754782718945,2.020022869574504
2024-09-30,0.3742359985136669,0.1236772486772497,0.0570615310136817,-0.0345611838935671,-0.0252636172048512,-0.0207029637617086,0.0,0.0,-0.0144761177190846,-0.0302811610717583,-0.0544405715648677,0.0431458022704858,0.0083515740937922,EXPANSAO_INFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,0.0242603779004792,0.0108676806214231,1.086768062142318e-05,0.024249246565819,0.0242603779004792,0.0108676806214231,1.086768062142318e-05,0.024249246565819,0.0348662471049372,0.0143880555943064,1.438805559430649e-05,0.0348513573918412,0.0328266568733106,0.0137973847264471,1.379738472644712e-05,0.03281240656657,0.0242603779004792,0.0108676806214231,1.0867680621423175e-05,0.024249246565819,0.0083515740937922,0.0,0.0,0.0083515740937922,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,106.6213082787285,0.0,106.6213082787285,0.0,105.63453315753155,0.0,105.8290423745785,0.0,106.6213082787285,0.0,107.98644343638666,0.0,0.7922659041499998,0.9867751211969562
2024-10-31,-0.0738967064387122,-0.0329605650382576,0.038769374221693,0.0605720641804647,0.0308316756614142,-0.0115695480077165,0.0,0.0,-0.0194357200115422,-0.0161338153824923,-0.0234622858152262,-0.0130890054098794,0.0092795757550794,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_DESINFLACIONARIA,1,conf_2m_cdi_40_40_50_30,2,2023-12-31,WALK_FORWARD_OOS,0.000693103700019,0.0244605317009467,2.446053170094677e-05,0.0006686262146331,0.000693103700019,0.0244605317009467,2.446053170094677e-05,0.0006686262146331,-0.0050312110033545,0.0369335645498822,3.693356454988228e-05,-0.0050679587473481,-0.0039303812527057,0.0347674659392456,3.476746593924565e-05,-0.0039650120692485,0.000693103700019,0.0244605317009467,2.446053170094676e-05,0.0006686262146331,0.0092795757550794,0.0,0.0,0.0092795757550794,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,106.69259808048214,0.0,106.69259808048214,0.0,105.09918170119381,-0.005067958747348,105.40942894428629,-0.003965012069248486,106.69259808048214,0.0,108.9885118187762,0.0,1.283169136195852,1.5934163792883282
