confirmacao_meses,peso_cdi_expansao_desinflacionaria,peso_cdi_expansao_inflacionaria,peso_cdi_estagflacao,peso_cdi_recessao_desinflacionaria,candidato_original_celula_9,treino_indice_final,treino_retorno_anualizado,treino_volatilidade,treino_retorno_volatilidade,treino_sharpe_excesso_cdi,treino_drawdown,treino_turnover,avaliacao_indice_final,avaliacao_retorno_anualizado,avaliacao_volatilidade,avaliacao_retorno_volatilidade,avaliacao_sharpe_excesso_cdi,avaliacao_sortino_excesso_cdi,avaliacao_drawdown,avaliacao_turnover,diferenca_indice_vs_benchmark,diferenca_indice_vs_modelo_anterior,superou_benchmark,superou_modelo_anterior
1,0.2,0.2,0.3,0.1,False,137.3741599292316,0.08262053983124984,0.06893893595846477,1.1984597482187445,0.05653960631290024,-0.07003465110731544,2.349821678442789,130.04089994892007,0.11482193016132403,0.06576119659245637,1.7460438086750925,-0.15640323813816576,-0.2442318077416159,-0.03602481857541062,0.6606629559222246,1.2447758277773175,1.7357401159643189,True,True
1,0.2,0.2,0.3,0.2,False,135.388209132377,0.07868641908018792,0.06709916887149199,1.172688431221671,0.005317844464418883,-0.07003465110731544,2.1811386485440107,129.56244216388865,0.11312282046332389,0.06517642146663746,1.7356402502280561,-0.18186197041750107,-0.2817588496891994,-0.03602481857541062,0.4847047332238528,0.766318042745894,1.2572823309328953,True,True
1,0.2,0.2,0.3,0.3,False,133.37856197616074,0.07466104774573323,0.0654332338717901,1.1410264070399472,-0.0499034132223725,-0.07003465110731544,2.3429979686055185,129.03998884686402,0.11126326645887086,0.06454876545534403,1.7237086669898394,-0.21019210701728397,-0.32286791562345657,-0.03602481857541062,0.6534699324427713,0.2438647257212665,0.7348290139082678,True,True
1,0.2,0.2,0.3,0.4,False,131.38771082005655,0.07062822000111635,0.06397220912689688,1.1040453497708111,-0.1078693959170391,-0.07003465110731544,2.5260334697338886,128.5148155824486,0.10938957804770966,0.06397484227622119,1.7098842944450474,-0.23902216553636582,-0.36427485281131033,-0.03602481857541062,0.8499496274133171,-0.2813085386941623,0.20965574949283905,False,True
1,0.2,0.2,0.3,0.5,False,129.41737299009924,0.06659156545849232,0.06273120156066794,1.0615381787975315,-0.1682159055587282,-0.07003465110731544,2.7168524265311023,127.99057169679706,0.10751472350916624,0.06346489216253734,1.6940818749650544,-0.268056597506589,-0.40568099472108143,-0.03602481857541062,1.0459835004673164,-0.8055524243456915,-0.3145881361586902,False,False
1,0.2,0.2,0.4,0.1,False,137.8187270335871,0.08349536682288261,0.0687022256687764,1.2153225897720714,0.06754544730538276,-0.07003465110731544,2.541220378980725,130.04089994892007,0.11482193016132403,0.06576119659245637,1.7460438086750925,-0.15640323813816576,-0.2442318077416159,-0.03602481857541062,0.6606629559222246,1.2447758277773175,1.7357401159643189,True,True
1,0.2,0.2,0.4,0.2,False,135.82634934833078,0.07955806704935209,0.06685978390598935,1.189924082931791,0.016486098704521675,-0.07003465110731544,2.372537349081947,129.56244216388865,0.11312282046332389,0.06517642146663746,1.7356402502280561,-0.18186197041750107,-0.2817588496891994,-0.03602481857541062,0.4847047332238528,0.766318042745894,1.2572823309328953,True,True
1,0.2,0.2,0.4,0.3,False,133.8101986180983,0.0755294429560911,0.06519175622880452,1.1585735271650641,-0.038601995522173534,-0.07003465110731544,2.5343966691434545,129.03998884686402,0.11126326645887086,0.06454876545534403,1.7237086669898394,-0.21019210701728397,-0.32286791562345657,-0.03602481857541062,0.6534699324427713,0.2438647257212665,0.7348290139082678,True,True
1,0.2,0.2,0.4,0.4,False,131.81290471516215,0.07149335642740895,0.06372931807797652,1.1218283606915842,-0.09646842764180034,-0.07003465110731544,2.7174321702718247,128.5148155824486,0.10938957804770966,0.06397484227622119,1.7098842944450474,-0.23902216553636582,-0.36427485281131033,-0.03602481857541062,0.8499496274133171,-0.2813085386941623,0.20965574949283905,False,True
1,0.2,0.2,0.4,0.5,False,129.83619052312827,0.06745344000842124,0.062487693159785675,1.079467597498563,-0.15675238552366738,-0.07003465110731544,2.9082511270690383,127.99057169679706,0.10751472350916624,0.06346489216253734,1.6940818749650544,-0.268056597506589,-0.40568099472108143,-0.03602481857541062,1.0459835004673164,-0.8055524243456915,-0.3145881361586902,False,False
1,0.2,0.2,0.5,0.1,False,138.26360270380187,0.08436868489835336,0.06849673785831983,1.231718291064655,0.07858169746588536,-0.07003465110731544,2.731936890430912,130.04089994892007,0.11482193016132403,0.06576119659245637,1.7460438086750925,-0.15640323813816576,-0.2442318077416159,-0.03602481857541062,0.6606629559222246,1.2447758277773175,1.7357401159643189,True,True
1,0.2,0.2,0.5,0.2,False,136.26479366935857,0.08042821158558455,0.06665246753939226,1.2066801808657825,0.027707774543335433,-0.07003465110731544,2.5632538605321336,129.56244216388865,0.11312282046332389,0.06517642146663746,1.7356402502280561,-0.18186197041750107,-0.2817588496891994,-0.03602481857541062,0.4847047332238528,0.766318042745894,1.2572823309328953,True,True
1,0.2,0.2,0.5,0.3,False,134.24213485109868,0.07639634034393006,0.06498315683586714,1.1756329495793818,-0.02722030145852652,-0.07003465110731544,2.7251131805936417,129.03998884686402,0.11126326645887086,0.06454876545534403,1.7237086669898394,-0.21019210701728397,-0.32286791562345657,-0.03602481857541062,0.6534699324427713,0.2438647257212665,0.7348290139082678,True,True
1,0.2,0.2,0.5,0.4,False,132.2383937295384,0.07235700065198802,0.06352005316671368,1.1391205933357933,-0.08495698369862091,-0.07003465110731544,2.9081486817220115,128.5148155824486,0.10938957804770966,0.06397484227622119,1.7098842944450474,-0.23902216553636582,-0.36427485281131033,-0.03602481857541062,0.8499496274133171,-0.2813085386941623,0.20965574949283905,False,True
1,0.2,0.2,0.5,0.5,False,130.2552987497122,0.06831382798277508,0.06227847778977741,1.0969090833171957,-0.1451451617829293,-0.07003465110731544,3.098967638519225,127.99057169679706,0.10751472350916624,0.06346489216253734,1.6940818749650544,-0.268056597506589,-0.40568099472108143,-0.03602481857541062,1.0459835004673164,-0.8055524243456915,-0.3145881361586902,False,False
1,0.2,0.2,0.6,0.1,False,138.7087748422326,0.08524047790786837,0.06832275697770343,1.2476147286574795,0.08963475171770355,-0.07003465110731544,2.9220441662997994,130.04089994892007,0.11482193016132403,0.06576119659245637,1.7460438086750925,-0.15640323813816576,-0.2442318077416159,-0.03602481857541062,0.6606629559222246,1.2447758277773175,1.7357401159643189,True,True
1,0.2,0.2,0.6,0.2,False,136.70353017270688,0.08129683659777887,0.06647752252268303,1.2229221774929906,0.038968582970780416,-0.07003465110731544,2.753361136401021,129.56244216388865,0.11312282046332389,0.06517642146663746,1.7356402502280561,-0.18186197041750107,-0.2817588496891994,-0.03602481857541062,0.4847047332238528,0.766318042745894,1.2572823309328953,True,True
1,0.2,0.2,0.6,0.3,False,134.67435892938482,0.07726172387819097,0.06480775587508826,1.1921678637832598,-0.015773218651223664,-0.07003465110731544,2.9152204564625293,129.03998884686402,0.11126326645887086,0.06454876545534403,1.7237086669898394,-0.21019210701728397,-0.32286791562345657,-0.03602481857541062,0.6534699324427713,0.2438647257212665,0.7348290139082678,True,True
1,0.2,0.2,0.6,0.4,False,132.6641662927294,0.07321913670395297,0.06334475032425836,1.1558832630825469,-0.07335043372928719,-0.07003465110731544,3.098255957590899,128.5148155824486,0.10938957804770966,0.06397484227622119,1.7098842944450474,-0.23902216553636582,-0.36427485281131033,-0.03602481857541062,0.8499496274133171,-0.2813085386941623,0.20965574949283905,False,True
1,0.2,0.2,0.6,0.5,False,130.67468627290998,0.06917271347086995,0.062103904656935986,1.1138222927041754,-0.13340994330725836,-0.07003465110731544,3.289074914388113,127.99057169679706,0.10751472350916624,0.06346489216253734,1.6940818749650544,-0.268056597506589,-0.40568099472108143,-0.03602481857541062,1.0459835004673164,-0.8055524243456915,-0.3145881361586902,False,False
1,0.2,0.2,0.7,0.1,False,139.15425425586338,0.08611077456342131,0.06818052386383963,1.262982002534762,0.10069134296825032,-0.07003465110731544,3.111449625847369,130.04089994892007,0.11482193016132403,0.06576119659245637,1.7460438086750925,-0.15640323813816576,-0.2442318077416159,-0.03602481857541062,0.6606629559222246,1.2447758277773175,1.7357401159643189,True,True
1,0.2,0.2,0.7,0.2,False,137.1425695091287,0.08216397069359282,0.06633520471863576,1.2386178808386228,0.050254483530760743,-0.07003465110731544,2.9427665959485907,129.56244216388865,0.11312282046332389,0.06517642146663746,1.7356402502280561,-0.18186197041750107,-0.2817588496891994,-0.03602481857541062,0.4847047332238528,0.766318042745894,1.2572823309328953,True,True
1,0.2,0.2,0.7,0.3,False,135.1068813456141,0.07812562205977547,0.06466582334816547,1.2081439315964706,-0.004275499924142029,-0.07003465110731544,3.104625916010099,129.03998884686402,0.11126326645887086,0.06454876545534403,1.7237086669898394,-0.21019210701728397,-0.32286791562345657,-0.03602481857541062,0.6534699324427713,0.2438647257212665,0.7348290139082678,True,True
1,0.2,0.2,0.7,0.4,False,133.09023274077583,0.07407979297725165,0.0632036921196107,1.1720801505876954,-0.061664150013713524,-0.07003465110731544,3.2876614171384686,128.5148155824486,0.10938957804770966,0.06397484227622119,1.7098842944450474,-0.23902216553636582,-0.36427485281131033,-0.03602481857541062,0.8499496274133171,-0.2813085386941623,0.20965574949283905,False,True
1,0.2,0.2,0.7,0.5,False,131.09436327375911,0.07003012475959736,0.06196426665536513,1.1301695080019776,-0.121562601798578,-0.07003465110731544,3.4784803739356827,127.99057169679706,0.10751472350916624,0.06346489216253734,1.6940818749650544,-0.268056597506589,-0.40568099472108143,-0.03602481857541062,1.0459835004673164,-0.8055524243456915,-0.3145881361586902,False,False
1,0.2,0.3,0.3,0.1,False,135.9180141268475,0.07974016061543132,0.06526712092631085,1.2217508522470466,0.01771407213788193,-0.06354653847745884,2.6571146890706316,130.39216057920123,0.11606700305166728,0.06403089854318177,1.8126717833483614,-0.14498783484950628,-0.22914261820251774,-0.03602481857541062,0.8311621168744288,1.596036458058478,2.0870007462454794,True,True
1,0.2,0.3,0.3,0.2,False,133.9576473352639,0.0758256086247624,0.06330837051141401,1.1977185325136686,-0.03730446827629252,-0.06354653847745884,2.4546102628226754,129.91453844150914,0.1143735490379314,0.06343630579239382,1.8029667334702377,-0.17100486293481756,-0.2680435195958803,-0.03602481857541062,0.6388335404686534,1.1184143203663837,1.609378608553385,True,True
1,0.2,0.3,0.3,0.3,False,132.01348143303028,0.07190074084131992,0.0615408159031414,1.1683423397324455,-0.09568247489759624,-0.06354653847745884,2.2812661771501963,129.4128704409188,0.11259090364474611,0.06281819548854695,1.7923294798443192,-0.1988868152415041,-0.309044587656726,-0.03602481857541062,0.6360101837482874,0.6167463197760412,1.1077106079630425,True,True
1,0.2,0.3,0.3,0.4,False,130.04585258047314,0.06788411554753915,0.059969536664018705,1.1319766555453334,-0.15846757603120756,-0.06354653847745884,2.4424302535246327,128.8875980724666,0.11072003493804838,0.062230803620898716,1.7791837562076047,-0.22845260540358794,-0.35205276737077373,-0.03602481857541062,0.8214943891158972,0.09147395132384872,0.58243823951085,True,True
1,0.2,0.3,0.3,0.5,False,128.09644299097678,0.06385947919547874,0.05862732330355186,1.0892443249512962,-0.22413109452310287,-0.06354653847745884,2.6269833384657915,128.3618347917761,0.10884293651013999,0.061707444645027976,1.7638542178542458,-0.2583387895591524,-0.395178339835232,-0.03602481857541062,1.0175282621698964,-0.4342893293666634,0.056674958820337906,False,True
1,0.2,0.3,0.4,0.1,False,136.36171260814882,0.08062027520509996,0.06501858709316176,1.2399573538807196,0.02928647073246343,-0.06354653847745884,2.8203456327040137,130.39216057920123,0.11606700305166728,0.06403089854318177,1.8126717833483614,-0.14498783484950628,-0.22914261820251774,-0.03602481857541062,0.8311621168744288,1.596036458058478,2.0870007462454794,True,True
1,0.2,0.3,0.4,0.2,False,134.39494628392183,0.07670253239645031,0.06305621309660014,1.2164151418186886,-0.02554379667363293,-0.06354653847745884,2.617841206456058,129.91453844150914,0.1143735490379314,0.06343630579239382,1.8029667334702377,-0.17100486293481756,-0.2680435195958803,-0.03602481857541062,0.6388335404686534,1.1184143203663837,1.609378608553385,True,True
1,0.2,0.3,0.4,0.3,False,132.4444337361479,0.07277446538644905,0.06128560950253742,1.187464169438275,-0.08376694909374133,-0.06354653847745884,2.4444971207835784,129.4128704409188,0.11259090364474611,0.06281819548854695,1.7923294798443192,-0.1988868152415041,-0.309044587656726,-0.03602481857541062,0.6360101837482874,0.6167463197760412,1.1077106079630425,True,True
1,0.2,0.3,0.4,0.4,False,130.47038164426334,0.06875456607300001,0.059712046965421095,1.151435423287622,-0.14643701356695682,-0.06354653847745884,2.605661197158015,128.8875980724666,0.11072003493804838,0.062230803620898716,1.7791837562076047,-0.22845260540358794,-0.35205276737077373,-0.03602481857541062,0.8214943891158972,0.09147395132384872,0.58243823951085,True,True
1,0.2,0.3,0.4,0.5,False,128.51460829143628,0.06472664917132165,0.0583684535589858,1.1089320553252349,-0.21202979285206916,-0.06354653847745884,2.7902142820991735,128.3618347917761,0.10884293651013999,0.061707444645027976,1.7638542178542458,-0.2583387895591524,-0.395178339835232,-0.03602481857541062,1.0175282621698964,-0.4342893293666634,0.056674958820337906,False,True
1,0.2,0.3,0.5,0.1,False,136.80188780902586,0.08149128131600758,0.0648037283678935,1.2575091490628154,0.04081061675683126,-0.06354653847745884,3.011062144154201,130.39216057920123,0.11606700305166728,0.06403089854318177,1.8126717833483614,-0.14498783484950628,-0.22914261820251774,-0.03602481857541062,0.8311621168744288,1.596036458058478,2.0870007462454794,True,True
1,0.2,0.3,0.5,0.2,False,134.82877276898068,0.07757038071177957,0.06283872046275402,1.2344360314872636,-0.013805229816507303,-0.06354653847745884,2.808557717906244,129.91453844150914,0.1143735490379314,0.06343630579239382,1.8029667334702377,-0.17100486293481756,-0.2680435195958803,-0.03602481857541062,0.6388335404686534,1.1184143203663837,1.609378608553385,True,True
1,0.2,0.3,0.5,0.3,False,132.87196397253027,0.07363914758464318,0.06106601326599154,1.2058941405571304,-0.07184280000034537,-0.06354653847745884,2.635213632233765,129.4128704409188,0.11259090364474611,0.06281819548854695,1.7923294798443192,-0.1988868152415041,-0.309044587656726,-0.03602481857541062,0.6360101837482874,0.6167463197760412,1.1077106079630425,True,True
1,0.2,0.3,0.5,0.4,False,130.89153964639115,0.06961600813499857,0.059491053115063065,1.170192902794183,-0.13436183018246187,-0.06354653847745884,2.7963777086082016,128.8875980724666,0.11072003493804838,0.062230803620898716,1.7791837562076047,-0.22845260540358794,-0.35205276737077373,-0.03602481857541062,0.8214943891158972,0.09147395132384872,0.58243823951085,True,True
1,0.2,0.3,0.5,0.5,False,128.9294530630246,0.06558484463475445,0.05814687273513327,1.127916972138848,-0.1998434385264062,-0.06354653847745884,2.9809307935493603,128.3618347917761,0.10884293651013999,0.061707444645027976,1.7638542178542458,-0.2583387895591524,-0.395178339835232,-0.03602481857541062,1.0175282621698964,-0.4342893293666634,0.056674958820337906,False,True
1,0.2,0.3,0.6,0.1,False,137.24235635590574,0.08236076640543111,0.06462212447486457,1.274497969150893,0.05237176589145724,-0.06354653847745884,3.201169420023088,130.39216057920123,0.11606700305166728,0.06403089854318177,1.8126717833483614,-0.14498783484950628,-0.22914261820251774,-0.03602481857541062,0.8311621168744288,1.596036458058478,2.0870007462454794,True,True
1,0.2,0.3,0.6,0.2,False,135.26288836906687,0.0784367135200228,0.06265550969516291,1.2518725631894143,-0.0020016565402175986,-0.06354653847745884,2.998664993775132,129.91453844150914,0.1143735490379314,0.06343630579239382,1.8029667334702377,-0.17100486293481756,-0.2680435195958803,-0.03602481857541062,0.6388335404686534,1.1184143203663837,1.609378608553385,True,True
1,0.2,0.3,0.6,0.3,False,133.29977912793038,0.07450231980468192,0.060881684067966624,1.223723044873555,-0.05982104408103107,-0.06354653847745884,2.825320908102653,129.4128704409188,0.11259090364474611,0.06281819548854695,1.7923294798443192,-0.1988868152415041,-0.309044587656726,-0.03602481857541062,0.6360101837482874,0.6167463197760412,1.1077106079630425,True,True
1,0.2,0.3,0.6,0.4,False,131.3129783208881,0.07047594587703054,0.05930625425659062,1.1883391854780418,-0.12215113177337505,-0.06354653847745884,2.9864849844770895,128.8875980724666,0.11072003493804838,0.062230803620898716,1.7791837562076047,-0.22845260540358794,-0.35205276737077373,-0.03602481857541062,0.8214943891158972,0.09147395132384872,0.58243823951085,True,True
1,0.2,0.3,0.6,0.5,False,129.3445742996552,0.06644154144769421,0.05796232313273993,1.1462884483690545,-0.18747921859792138,-0.06354653847745884,3.1710380694182483,128.3618347917761,0.10884293651013999,0.061707444645027976,1.7638542178542458,-0.2583387895591524,-0.395178339835232,-0.03602481857541062,1.0175282621698964,-0.4342893293666634,0.056674958820337906,False,True
