ordem_ajuste,regime,nome_regime,quantidade_meses_regime_treino,beta_encolhimento_adicional,quantidade_meses,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,quantidade_janelas_12m,proporcao_janelas_positivas,mediana_excesso_12m,media_excesso_12m,pior_excesso_12m
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,0.0,48,0.3422420049176287,0.07636038768646958,0.08510987434213854,0.8971977491060984,-0.08933046633128838,0.5833333333333334,2.19693179883929,0.04576941247581854,0.0021969317988392908,134.22420049176287,37,0.24324324324324326,0.0,3.300663046182898e-17,0.0
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,0.25,48,0.3422420049176287,0.07636038768646958,0.08510987434213854,0.8971977491060984,-0.08933046633128838,0.5833333333333334,2.19693179883929,0.04576941247581854,0.0021969317988392908,134.22420049176287,37,0.24324324324324326,0.0,3.300663046182898e-17,0.0
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,0.5,48,0.3422420049176287,0.07636038768646958,0.08510987434213856,0.8971977491060983,-0.08933046633128838,0.5833333333333334,2.1969317988392905,0.045769412475818554,0.0021969317988392908,134.22420049176287,37,0.0,0.0,0.0,0.0
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,0.75,48,0.3422420049176287,0.07636038768646958,0.08510987434213856,0.8971977491060983,-0.08933046633128838,0.5833333333333334,2.1969317988392905,0.045769412475818554,0.0021969317988392908,134.22420049176287,37,0.0,0.0,0.0,0.0
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,1.0,48,0.3422420049176287,0.07636038768646958,0.08510987434213856,0.8971977491060983,-0.08933046633128838,0.5833333333333334,2.1969317988392905,0.045769412475818554,0.0021969317988392908,134.22420049176287,37,0.0,0.0,0.0,0.0
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,0.0,48,0.3422420049176287,0.07636038768646958,0.08510987434213854,0.8971977491060984,-0.08933046633128838,0.5833333333333334,2.19693179883929,0.04576941247581854,0.0021969317988392908,134.22420049176287,37,0.24324324324324326,0.0,3.300663046182898e-17,0.0
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,0.25,48,0.3422420049176287,0.07636038768646958,0.08510987434213854,0.8971977491060984,-0.08933046633128838,0.5833333333333334,2.19693179883929,0.04576941247581854,0.0021969317988392908,134.22420049176287,37,0.24324324324324326,0.0,3.300663046182898e-17,0.0
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,0.5,48,0.3422420049176287,0.07636038768646958,0.08510987434213854,0.8971977491060984,-0.08933046633128838,0.5833333333333334,2.1969317988392905,0.045769412475818554,0.0021969317988392908,134.22420049176287,37,0.24324324324324326,0.0,3.300663046182898e-17,0.0
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,0.75,48,0.3422420049176287,0.07636038768646958,0.08510987434213854,0.8971977491060984,-0.08933046633128838,0.5833333333333334,2.196931798839291,0.04576941247581856,0.002196931798839291,134.22420049176287,37,0.24324324324324326,0.0,3.300663046182898e-17,0.0
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,1.0,48,0.3422420049176287,0.07636038768646958,0.08510987434213854,0.8971977491060984,-0.08933046633128838,0.5833333333333334,2.196931798839291,0.04576941247581856,0.002196931798839291,134.22420049176287,37,0.24324324324324326,0.0,3.300663046182898e-17,0.0
