ticker,retorno_final_pct,retorno_maximo_pct,retorno_minimo_pct
B5MB11.SA,28.543154895056034,31.35391925784028,-15.48891665090416
BOVV11.SA,54.84439036618891,71.52923185801241,-46.46422264494683
EURBRL=X,31.147656976831307,55.04979630065772,0.08244227155229655
FIND11.SA,40.38241151186044,55.28106981208143,-48.75717017208411
GC=F,171.53164972122127,248.86191553583282,-3.096093878115791
IB5M11.SA,27.528550017373576,30.50882276465423,-16.8224341269541
IMAB11.SA,48.566959017450316,48.97081200073132,-15.320481772993311
JPYBRL=X,-12.504395790247457,49.61693719791063,-15.966861565610602
MATB11.SA,72.83783989983606,101.75676088075348,-44.37837858457827
NG=F,25.683321474199804,356.1734401924963,-30.160225825765895
USDBRL=X,27.271360850416304,56.86078915400039,0.17677036308150207
ZC=F,18.77394636015335,109.00383141762413,-22.6692209450831
