regime_sinal,quantidade_meses,retorno_bruto_medio_portfolio,retorno_liquido_medio_portfolio,retorno_condicional_portfolio,volatilidade_anualizada_portfolio,meses_positivos_portfolio,melhor_mes_portfolio,pior_mes_portfolio,retorno_bruto_medio_benchmark,retorno_liquido_medio_benchmark,retorno_condicional_benchmark,volatilidade_anualizada_benchmark,meses_positivos_benchmark,melhor_mes_benchmark,pior_mes_benchmark,diferenca_retorno_liquido_medio,diferenca_retorno_condicional
EXPANSAO_DESINFLACIONARIA,34,0.0012473471469162502,0.0011971677320585827,0.03181570692040214,0.08320534222390169,0.5294117647058824,0.08682466700421876,-0.050864032842775075,0.0012473471469162502,0.0011971677320585827,0.03181570692040214,0.08320534222390169,0.5294117647058824,0.08682466700421876,-0.050864032842775075,0.0,0.0
EXPANSAO_INFLACIONARIA,30,0.010134133840056384,0.010108358977106931,0.34168233970861706,0.080626129126475,0.6666666666666666,0.04976842754776656,-0.0636215268498781,0.010134133840056384,0.010108358977106931,0.34168233970861706,0.080626129126475,0.6666666666666666,0.04976842754776656,-0.0636215268498781,0.0,0.0
ESTAGFLACAO,5,-0.0027215684653222006,-0.002744568646717149,-0.01395821348218973,0.043340641566126624,0.4,0.012748599853589004,-0.01743953418426225,-0.0027215684653222006,-0.002744568646717149,-0.01395821348218973,0.043340641566126624,0.4,0.012748599853589004,-0.01743953418426225,0.0,0.0
RECESSAO_DESINFLACIONARIA,8,0.02965616928065616,0.029633903505703094,0.261617748200361,0.06656547861240647,0.875,0.051505551784493786,-0.005470982310879058,0.029656169280656175,0.029633903505703094,0.261617748200361,0.06656547861240647,0.875,0.051505551784493786,-0.005470982310879058,0.0,0.0
