meses_confirmacao,quantidade_mudancas,reducao_absoluta_mudancas,reducao_percentual_mudancas,duracao_media_regime_meses,duracao_mediana_regime_meses,meses_diferentes_original,proporcao_meses_diferentes
1,11,0,0.0,6.416666666666667,4.5,0,0.0
2,11,0,0.0,6.416666666666667,4.0,11,0.14285714285714285
3,11,0,0.0,6.416666666666667,4.0,22,0.2857142857142857
