regime,nome_regime,meses_confirmacao,beta_adicional_selecionado,peso_base_NG=F,peso_otimizado_NG=F,alteracao_peso_NG=F,peso_base_ZC=F,peso_otimizado_ZC=F,alteracao_peso_ZC=F,peso_base_GC=F,peso_otimizado_GC=F,alteracao_peso_GC=F,peso_base_USDBRL=X,peso_otimizado_USDBRL=X,alteracao_peso_USDBRL=X,peso_base_EURBRL=X,peso_otimizado_EURBRL=X,alteracao_peso_EURBRL=X,peso_base_JPYBRL=X,peso_otimizado_JPYBRL=X,alteracao_peso_JPYBRL=X,peso_base_IMAB11.SA,peso_otimizado_IMAB11.SA,alteracao_peso_IMAB11.SA,peso_base_B5MB11.SA,peso_otimizado_B5MB11.SA,alteracao_peso_B5MB11.SA,peso_base_IB5M11.SA,peso_otimizado_IB5M11.SA,alteracao_peso_IB5M11.SA,peso_base_BOVV11.SA,peso_otimizado_BOVV11.SA,alteracao_peso_BOVV11.SA,peso_base_FIND11.SA,peso_otimizado_FIND11.SA,alteracao_peso_FIND11.SA,peso_base_MATB11.SA,peso_otimizado_MATB11.SA,alteracao_peso_MATB11.SA,soma_pesos_otimizados
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,1,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.9999999999999996
EXPANSAO_INFLACIONARIA,Expansão inflacionária,1,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.9999999999999996
ESTAGFLACAO,Estagflação,1,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.9999999999999996
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,1,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,0.9999999999999996
