ano,close_minimo,close_maximo,close_valores_unicos,adj_close_minimo,adj_close_maximo,adj_close_valores_unicos,registros
2020,65.0,81.66000366210938,190,65.0,81.66000366210938,190,248
2021,77.0,82.58999633789062,167,77.0,82.58999633789062,167,247
2022,78.83000183105469,80.45999908447266,32,78.83000183105469,80.45999908447266,32,250
2023,79.5,79.5,1,79.5,79.5,1,248
2024,79.5,79.5,1,79.5,79.5,1,251
2025,79.5,105.96595764160156,2,79.5,105.96595764160156,2,250
2026,79.5,114.3499984741211,123,79.5,114.3499984741211,123,146
