data,close,adj_close,volume
2026-06-23,112.56999969482422,112.56999969482422,40918
2026-06-24,112.7699966430664,112.7699966430664,71516
2026-06-25,112.66999816894533,112.66999816894533,27467
2026-06-26,112.8499984741211,112.8499984741211,19630
2026-06-29,112.63999938964844,112.63999938964844,42587
2026-06-30,112.7699966430664,112.7699966430664,99762
2026-07-01,112.58999633789062,112.58999633789062,122174
2026-07-02,112.12000274658205,112.12000274658205,41176
2026-07-03,112.73999786376952,112.73999786376952,28996
2026-07-06,113.19000244140624,113.19000244140624,21022
2026-07-07,113.4000015258789,113.4000015258789,52836
2026-07-08,113.37999725341795,113.37999725341795,49877
2026-07-09,113.58000183105467,113.58000183105467,31698
2026-07-10,113.98999786376952,113.98999786376952,90687
2026-07-13,113.81999969482422,113.81999969482422,81222
2026-07-14,113.93000030517578,113.93000030517578,117703
2026-07-15,114.3000030517578,114.3000030517578,59386
2026-07-16,114.3499984741211,114.3499984741211,33121
2026-07-17,113.81999969482422,113.81999969482422,25247
2026-07-20,113.75,113.75,67012
2026-07-21,113.6500015258789,113.6500015258789,145876
2026-07-22,113.13999938964844,113.13999938964844,59696
2026-07-23,113.06999969482422,113.06999969482422,19815
2026-07-24,113.5,113.5,45127
2026-07-27,113.51000213623048,113.51000213623048,37951
2026-07-28,113.4800033569336,113.4800033569336,64281
2026-07-29,112.88999938964844,112.88999938964844,56241
2026-07-30,113.23999786376952,113.23999786376952,288578
2026-07-31,113.6999969482422,113.6999969482422,331349
2026-08-04,114.04000091552734,114.04000091552734,5358
