cenario,modelo,retorno_total_liquido,retorno_anualizado,volatilidade_anualizada,retorno_volatilidade,sharpe_excesso_cdi,sortino_excesso_cdi,calmar,maximo_drawdown,meses_positivos,melhor_mes,pior_mes,turnover_total,custo_acumulado_simples,indice_final,diferenca_indice_vs_benchmark,diferenca_indice_vs_oficial,diferenca_retorno_anual_vs_benchmark,diferenca_volatilidade_vs_benchmark
WALK_FORWARD,Modelo oficial — Modelo walk-forward com CDI,31.97%,12.16%,4.85%,2.51,-0.10,-0.17,5.36,-2.27%,86.21%,5.67%,-1.80%,0.64,0.06%,131.97,3.17,0.00,1.12%,-2.67%
MODELO_FIXO_CELULA_9,Modelo fixo com CDI,31.89%,12.14%,5.25%,2.31,-0.10,-0.16,5.35,-2.27%,79.31%,6.43%,-1.80%,0.55,0.06%,131.89,3.09,-0.08,1.10%,-2.27%
MODELO_ANTERIOR_SEM_CDI,Challenger — Modelo anterior sem CDI,28.31%,10.86%,8.14%,1.33,-0.18,-0.28,2.21,-4.93%,65.52%,8.68%,-3.64%,0.57,0.06%,128.31,-0.49,-3.66,-0.18%,0.63%
BENCHMARK_5_ATIVOS,Benchmark de cinco ativos,28.80%,11.04%,7.52%,1.47,-0.18,-0.28,2.50,-4.42%,65.52%,8.10%,-3.28%,0.54,0.05%,128.80,0.00,-3.17,0.00%,0.00%
CARTEIRA_ESTATICA,Carteira estática,30.76%,11.74%,4.89%,2.40,-0.18,-0.28,5.17,-2.27%,79.31%,5.68%,-1.80%,0.39,0.04%,130.76,1.96,-1.21,0.70%,-2.62%
CDI_100,100% CDI,33.93%,12.85%,0.53%,24.28,4.62,∞,INDEFINIDO,0.00%,100.00%,1.28%,0.79%,0.00,0.00%,133.93,5.14,1.97,1.81%,-6.99%
