data,NG=F,ZC=F,GC=F,USDBRL=X,EURBRL=X,JPYBRL=X,IMAB11.SA,B5MB11.SA,IB5M11.SA,BOVV11.SA,FIND11.SA,MATB11.SA,regime_confirmacao_1m,peso_estrategia_NG=F,peso_estrategia_ZC=F,peso_estrategia_GC=F,peso_estrategia_USDBRL=X,peso_estrategia_EURBRL=X,peso_estrategia_JPYBRL=X,peso_estrategia_IMAB11.SA,peso_estrategia_B5MB11.SA,peso_estrategia_IB5M11.SA,peso_estrategia_BOVV11.SA,peso_estrategia_FIND11.SA,peso_estrategia_MATB11.SA,peso_benchmark_NG=F,peso_benchmark_ZC=F,peso_benchmark_GC=F,peso_benchmark_USDBRL=X,peso_benchmark_EURBRL=X,peso_benchmark_JPYBRL=X,peso_benchmark_IMAB11.SA,peso_benchmark_B5MB11.SA,peso_benchmark_IB5M11.SA,peso_benchmark_BOVV11.SA,peso_benchmark_FIND11.SA,peso_benchmark_MATB11.SA,retorno_bruto_estrategia,retorno_bruto_benchmark,turnover_estrategia,turnover_benchmark,custo_estrategia,custo_benchmark,retorno_liquido_estrategia,retorno_liquido_benchmark,retorno_excesso_liquido,diferenca_turnover,diferenca_custo,periodo,contribuicao_estrategia_NG=F,contribuicao_benchmark_NG=F,diferenca_contribuicao_NG=F,contribuicao_estrategia_ZC=F,contribuicao_benchmark_ZC=F,diferenca_contribuicao_ZC=F,contribuicao_estrategia_GC=F,contribuicao_benchmark_GC=F,diferenca_contribuicao_GC=F,contribuicao_estrategia_USDBRL=X,contribuicao_benchmark_USDBRL=X,diferenca_contribuicao_USDBRL=X,contribuicao_estrategia_EURBRL=X,contribuicao_benchmark_EURBRL=X,diferenca_contribuicao_EURBRL=X,contribuicao_estrategia_JPYBRL=X,contribuicao_benchmark_JPYBRL=X,diferenca_contribuicao_JPYBRL=X,contribuicao_estrategia_IMAB11.SA,contribuicao_benchmark_IMAB11.SA,diferenca_contribuicao_IMAB11.SA,contribuicao_estrategia_B5MB11.SA,contribuicao_benchmark_B5MB11.SA,diferenca_contribuicao_B5MB11.SA,contribuicao_estrategia_IB5M11.SA,contribuicao_benchmark_IB5M11.SA,diferenca_contribuicao_IB5M11.SA,contribuicao_estrategia_BOVV11.SA,contribuicao_benchmark_BOVV11.SA,diferenca_contribuicao_BOVV11.SA,contribuicao_estrategia_FIND11.SA,contribuicao_benchmark_FIND11.SA,diferenca_contribuicao_FIND11.SA,contribuicao_estrategia_MATB11.SA,contribuicao_benchmark_MATB11.SA,diferenca_contribuicao_MATB11.SA
2020-01-31,-0.1324222530151464,-0.0261813537675597,0.0383076578642589,0.0562457199465453,0.0420650004191165,0.0544411373557007,0.0028660919043843,0.025336476003539,-0.0032191607285998,-0.0407683973464987,-0.0554493307839379,-0.0300000164959873,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.005731535720348758,-0.005731535720348758,1.0,1.0,0.001,0.001,-0.0067258041846284256,-0.0067258041846284256,0.0,0.0,0.0,TREINO,-0.011035187751262197,-0.0110351877512622,3.469446951953614e-18,-0.002181779480629974,-0.002181779480629975,8.673617379884035e-19,0.003192304822021574,0.003192304822021575,-8.673617379884035e-19,0.0046871433288787736,0.004687143328878774,-8.673617379884035e-19,0.00350541670159304,0.0035054167015930414,-1.3010426069826053e-18,0.00453676144630839,0.0045367614463083916,-1.734723475976807e-18,0.0002388409920320249,0.00023884099203202498,-8.131516293641283e-20,0.0021113730002949157,0.0021113730002949166,-8.673617379884035e-19,-0.0002682633940499832,-0.0002682633940499833,1.0842021724855044e-19,-0.0033973664455415574,-0.0033973664455415583,8.673617379884035e-19,-0.004620777565328156,-0.004620777565328158,1.734723475976807e-18,-0.0025000013746656075,-0.0025000013746656084,8.673617379884035e-19
2020-02-29,-0.0852797115562489,-0.0386885245901633,-0.0118769654041066,0.0571873013974646,0.0542429645851239,0.050012811364211,4.440892098500626e-16,-0.0294401106880816,0.0078133140607463,-0.0841276366030269,-0.0538461662014483,-0.1161883574034464,EXPANSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.02084925675324797,-0.020849256753247978,0.02147002897191832,0.021470028971918326,2.147002897191832e-05,2.1470028971918326e-05,-0.02087027914807338,-0.02087027914807338,0.0,-6.938893903907228e-18,-6.776263578034403e-21,TREINO,-0.007106642629687405,-0.007106642629687408,2.6020852139652106e-18,-0.0032240437158469405,-0.003224043715846942,1.3010426069826053e-18,-0.000989747117008883,-0.0009897471170088833,2.168404344971009e-19,0.004765608449788715,0.004765608449788716,-8.673617379884035e-19,0.004520247048760323,0.004520247048760325,-1.734723475976807e-18,0.0041677342803509146,0.004167734280350916,-1.734723475976807e-18,3.700743415417187e-17,3.700743415417188e-17,-1.232595164407831e-32,-0.0024533425573401322,-0.002453342557340133,8.673617379884035e-19,0.0006511095050621915,0.0006511095050621917,-2.168404344971009e-19,-0.007010636383585572,-0.0070106363835855745,2.6020852139652106e-18,-0.004487180516787357,-0.004487180516787358,8.673617379884035e-19,-0.009682363116953863,-0.009682363116953866,3.469446951953614e-18
2020-03-31,-0.0261282833522666,-0.0702592087312405,0.0123393959013997,0.1578442893995921,0.161089495743832,0.1751430276323506,-0.0750845174933443,-0.1452014486364589,-0.1230101487353408,-0.3010599197751664,-0.3311938164621636,-0.1976670455908648,EXPANSAO_INFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.06359901500830593,-0.06359901500830595,0.024040813639708558,0.024040813639708558,2.404081363970856e-05,2.404081363970856e-05,-0.0636215268498781,-0.0636215268498781,0.0,0.0,0.0,TREINO,-0.002177356946022216,-0.0021773569460222164,4.336808689942018e-19,-0.005854934060936706,-0.005854934060936708,1.734723475976807e-18,0.0010282829917833078,0.0010282829917833082,-4.336808689942018e-19,0.013153690783299338,0.013153690783299341,-3.469446951953614e-18,0.013424124645319328,0.013424124645319332,-3.469446951953614e-18,0.014595252302695877,0.014595252302695882,-5.204170427930421e-18,-0.006257043124445356,-0.006257043124445358,1.734723475976807e-18,-0.012100120719704904,-0.012100120719704907,3.469446951953614e-18,-0.010250845727945063,-0.010250845727945067,3.469446951953614e-18,-0.025088326647930523,-0.02508832664793053,6.938893903907228e-18,-0.02759948470518029,-0.0275994847051803,1.0408340855860843e-17,-0.016472253799238726,-0.01647225379923873,3.469446951953614e-18
2020-04-30,0.1884146450939532,-0.0858400586940567,0.0636604302157408,0.0273653128073669,0.0132224425213043,0.0411768572348962,-0.007865134587025,0.0610820266016003,0.053630401321997,0.1036885831108966,0.0405629956116582,0.0990176218023806,EXPANSAO_INFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.049843010253392675,0.04984301025339269,0.07104176995762115,0.07104176995762118,7.104176995762115e-05,7.104176995762118e-05,0.04976842754776656,0.04976842754776656,0.0,-2.7755575615628914e-17,-2.710505431213761e-20,TREINO,0.015701220424496093,0.0157012204244961,-6.938893903907228e-18,-0.007153338224504722,-0.007153338224504724,2.6020852139652106e-18,0.005305035851311732,0.005305035851311733,-1.734723475976807e-18,0.002280442733947241,0.0022804427339472412,-4.336808689942018e-19,0.001101870210108691,0.0011018702101086915,-4.336808689942018e-19,0.0034314047695746816,0.003431404769574683,-1.3010426069826053e-18,-0.0006554278822520831,-0.0006554278822520833,2.168404344971009e-19,0.0050901688834666895,0.005090168883466691,-1.734723475976807e-18,0.004469200110166415,0.004469200110166416,-1.734723475976807e-18,0.00864071525924138,0.008640715259241382,-1.734723475976807e-18,0.0033802496343048488,0.00338024963430485,-1.3010426069826053e-18,0.008251468483531714,0.008251468483531716,-1.734723475976807e-18
2020-05-31,-0.0513083754709727,0.0457463884430187,0.0312908649626313,0.0128965382736307,0.0315473887353219,0.0031375372138198,0.0389297851608276,0.0142544199041538,-0.0071596307642725,0.0856541414844245,0.0393506758515871,0.1290668823373175,EXPANSAO_INFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0311172180109573,0.031117218010957307,0.02146635607935158,0.021466356079351587,2.146635607935158e-05,2.1466356079351586e-05,0.03109508368159597,0.03109508368159597,0.0,-6.938893903907228e-18,-6.776263578034403e-21,TREINO,-0.00427569795591439,-0.004275697955914391,8.673617379884035e-19,0.0038121990369182233,0.0038121990369182246,-1.3010426069826053e-18,0.002607572080219274,0.002607572080219275,-8.673617379884035e-19,0.0010747115228025579,0.0010747115228025583,-4.336808689942018e-19,0.002628949061276824,0.002628949061276825,-8.673617379884035e-19,0.00026146143448498325,0.0002614614344849833,-5.421010862427522e-20,0.003244148763402299,0.0032441487634023002,-1.3010426069826053e-18,0.0011878683253461495,0.0011878683253461499,-4.336808689942018e-19,-0.000596635897022708,-0.0005966358970227083,2.168404344971009e-19,0.007137845123702039,0.007137845123702042,-2.6020852139652106e-18,0.0032792229876322573,0.003279222987632258,-8.673617379884035e-19,0.010755573528109788,0.010755573528109791,-3.469446951953614e-18
2020-06-30,-0.0530015855029117,0.0391404451266315,0.0322989088591116,-0.0002776167073367,0.015040635311132,0.0003386357572798,0.0279330027089084,0.0270270270270274,0.0251267983879845,0.0902975516088846,0.1310932592419071,0.0421152605104246,RECESSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.031427693527420246,0.03142769352742026,0.014851657801243506,0.014851657801243506,1.4851657801243506e-05,1.4851657801243506e-05,0.03141237511626915,0.03141237511626915,0.0,0.0,0.0,TREINO,-0.004416798791909307,-0.0044167987919093085,1.734723475976807e-18,0.003261703760552624,0.0032617037605526247,-8.673617379884035e-19,0.002691575738259299,0.0026915757382593,-8.673617379884035e-19,-2.313472561139166e-05,-2.3134725611391667e-05,6.776263578034403e-21,0.0012533862759276661,0.0012533862759276666,-4.336808689942018e-19,2.8219646439983322e-05,2.8219646439983332e-05,-1.0164395367051604e-20,0.0023277502257423657,0.0023277502257423666,-8.673617379884035e-19,0.0022522522522522826,0.002252252252252283,-4.336808689942018e-19,0.002093899865665374,0.002093899865665375,-8.673617379884035e-19,0.007524795967407047,0.007524795967407049,-2.6020852139652106e-18,0.010924438270158921,0.010924438270158925,-3.469446951953614e-18,0.003509605042535382,0.003509605042535383,-8.673617379884035e-19
2020-07-31,0.0274128936519058,-0.0664697193500737,0.0947016446336452,-0.0459450835354313,0.0069972699899409,-0.0195363707301123,0.0503710935761791,0.0727368806537831,0.08078696639838,0.0824009736393767,0.0978033328803054,0.0969309827255997,RECESSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.03984923871112487,0.039849238711124876,0.014365763658281662,0.014365763658281676,1.4365763658281663e-05,1.4365763658281676e-05,0.0398343004827213,0.0398343004827213,0.0,-1.3877787807814457e-17,-1.3552527156068805e-20,TREINO,0.0022844078043254825,0.0022844078043254834,-8.673617379884035e-19,-0.005539143279172806,-0.005539143279172808,1.734723475976807e-18,0.00789180371947043,0.007891803719470432,-1.734723475976807e-18,-0.00382875696128594,-0.0038287569612859415,1.3010426069826053e-18,0.0005831058324950747,0.0005831058324950749,-2.168404344971009e-19,-0.0016280308941760244,-0.001628030894176025,6.505213034913027e-19,0.004197591131348257,0.004197591131348258,-1.734723475976807e-18,0.00606140672114859,0.0060614067211485914,-1.734723475976807e-18,0.006732247199864997,0.006732247199865,-2.6020852139652106e-18,0.00686674780328139,0.006866747803281392,-2.6020852139652106e-18,0.008150277740025448,0.00815027774002545,-1.734723475976807e-18,0.008077581893799972,0.008077581893799975,-3.469446951953614e-18
2020-08-31,0.4619233341810744,0.1028481012658228,0.0024454486643601,0.0458099135200109,0.0482480797448408,0.0370889330663726,-0.0106006607841498,-0.0305171278441224,-0.0283738519635227,-0.0351656778526355,-0.0833730372028046,0.1080332878317076,RECESSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05153056188557949,0.05153056188557951,0.02378447378721759,0.023784473787217604,2.378447378721759e-05,2.3784473787217603e-05,0.051505551784493786,0.051505551784493786,0.0,-1.3877787807814457e-17,-1.3552527156068805e-20,TREINO,0.038493611181756184,0.0384936111817562,-1.3877787807814457e-17,0.00857067510548523,0.008570675105485233,-3.469446951953614e-18,0.00020378738869667492,0.000203787388696675,-8.131516293641283e-20,0.0038174927933342403,0.0038174927933342416,-1.3010426069826053e-18,0.004020673312070065,0.004020673312070067,-1.734723475976807e-18,0.0030907444221977155,0.0030907444221977163,-8.673617379884035e-19,-0.0008833883986791497,-0.00088338839867915,2.168404344971009e-19,-0.002543093987010199,-0.0025430939870102,8.673617379884035e-19,-0.002364487663626891,-0.0023644876636268915,4.336808689942018e-19,-0.002930473154386291,-0.002930473154386292,8.673617379884035e-19,-0.006947753100233715,-0.006947753100233716,1.734723475976807e-18,0.00900277398597563,0.009002773985975633,-3.469446951953614e-18
2020-09-30,-0.0391635587642843,0.0875179340028695,-0.040709481896636,0.0446196621993484,0.0309137209869638,0.0436162260071208,-0.0246173503522019,-0.0293522412581268,-0.0370525526649014,-0.048162662017678,-0.0597713116674375,0.0069999694824223,RECESSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.0054301371618784245,-0.005430137161878424,0.04106815471381533,0.041068154713815364,4.106815471381533e-05,4.106815471381536e-05,-0.005470982310879169,-0.005470982310879169,0.0,-3.469446951953614e-17,-3.3881317890172014e-20,TREINO,-0.0032636298970236902,-0.003263629897023691,8.673617379884035e-19,0.007293161166905789,0.0072931611669057915,-2.6020852139652106e-18,-0.0033924568247196652,-0.0033924568247196665,1.3010426069826053e-18,0.003718305183279032,0.0037183051832790333,-1.3010426069826053e-18,0.0025761434155803157,0.0025761434155803166,-8.673617379884035e-19,0.0036346855005933982,0.0036346855005933995,-1.3010426069826053e-18,-0.002051445862683491,-0.0020514458626834913,4.336808689942018e-19,-0.002446020104843899,-0.0024460201048438998,8.673617379884035e-19,-0.0030877127220751157,-0.0030877127220751165,8.673617379884035e-19,-0.004013555168139832,-0.004013555168139833,8.673617379884035e-19,-0.004980942638953123,-0.004980942638953125,1.734723475976807e-18,0.0005833307902018581,0.0005833307902018583,-2.168404344971009e-19
2020-10-31,0.3272655945283924,0.0514511873350929,-0.0053509804428802,0.0261611309065188,0.0203643429464523,0.037176698975913,0.0125539305498638,-0.0034411035016052,0.0244565217391308,-0.0069429418226945,-0.0101713454945908,0.0600794949598271,RECESSAO_DESINFLACIONARIA,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.04446687755661834,0.04446687755661835,0.020177751163780663,0.02017775116378067,2.0177751163780662e-05,2.0177751163780672e-05,0.0444458025638641,0.0444458025638641,0.0,-6.938893903907228e-18,-1.0164395367051604e-20,TREINO,0.02727213287736602,0.02727213287736603,-1.0408340855860843e-17,0.004287598944591073,0.004287598944591075,-1.734723475976807e-18,-0.0004459150369066832,-0.00044591503690668335,1.6263032587282567e-19,0.002180094242209899,0.0021800942422098997,-8.673617379884035e-19,0.0016970285788710242,0.0016970285788710248,-6.505213034913027e-19,0.0030980582479927486,0.0030980582479927495,-8.673617379884035e-19,0.0010461608791553162,0.0010461608791553167,-4.336808689942018e-19,-0.00028675862513376655,-0.00028675862513376666,1.0842021724855044e-19,0.0020380434782608994,0.0020380434782609,-4.336808689942018e-19,-0.0005785784852245415,-0.0005785784852245417,2.168404344971009e-19,-0.0008476121245492331,-0.0008476121245492333,2.168404344971009e-19,0.005006624579985589,0.005006624579985591,-1.734723475976807e-18
