data,retorno_12m_walk_forward,retorno_12m_modelo_fixo,retorno_12m_benchmark,retorno_12m_cdi,excesso_walk_forward_vs_benchmark,excesso_walk_forward_vs_modelo_fixo,excesso_walk_forward_vs_cdi
2024-01-31,,,,,,,
2024-02-29,,,,,,,
2024-03-31,,,,,,,
2024-04-30,,,,,,,
2024-05-31,,,,,,,
2024-06-30,,,,,,,
2024-07-31,,,,,,,
2024-08-31,,,,,,,
2024-09-30,,,,,,,
2024-10-31,,,,,,,
2024-11-30,,,,,,,
2024-12-31,0.09385576329920298,0.09385576329920298,0.08519883622598434,0.10875983174468717,0.008656927073218634,0.0,-0.014904068445484198
2025-01-31,0.11514463965980526,0.11514463965980526,0.11790871185972707,0.10927059158334118,-0.0027640721999218076,0.0,0.005874048076464078
2025-02-28,0.13142617328679496,0.13142617328679496,0.14206280192290355,0.11130779187969098,-0.010636628636108592,0.0,0.02011838140710398
2025-03-31,0.1462795502450993,0.1462795502450993,0.16430750161914442,0.11276654012928011,-0.018027951374045115,0.0,0.0335130101158192
2025-04-30,0.14593733763107242,0.14593733763107242,0.16272287236348904,0.1146244686830149,-0.016785534732416618,0.0,0.031312868948057515
2025-05-31,0.13250106057029076,0.13250106057029076,0.13998270008720004,0.11801075165963937,-0.0074816395169092775,0.0,0.014490308910651395
2025-06-30,0.1259967218674094,0.1259967218674094,0.12801996515624858,0.12143521446630001,-0.0020232432888391827,0.0,0.004561507401109388
2025-07-31,0.1129766429101493,0.1129766429101493,0.10563831793931922,0.12553177783396996,0.00733832497083009,0.0,-0.012555134923820654
2025-08-31,0.10355419910700969,0.10355419910700969,0.08962161138839786,0.12884188998162371,0.013932587718611833,0.0,-0.02528769087461402
2025-09-30,0.09743066656575894,0.09743066656575894,0.0782082008400431,0.13314937800432314,0.019222465725715843,0.0,-0.0357187114385642
2025-10-31,0.12536852133739695,0.12536852133739695,0.1186040798755088,0.13705395468211412,0.006764441461888149,0.0,-0.011685433344717167
2025-11-30,0.13661961156073632,0.13661961156073632,0.13052961605228175,0.1399837903616008,0.006089995508454571,0.0,-0.0033641788008644813
2025-12-31,0.13624782477609032,0.13624782477609032,0.1290919053840518,0.14324226892248992,0.007155919392038523,0.0,-0.006994444146399603
2026-01-31,0.19923144799232806,0.20787146108821086,0.22508993510540343,0.14495073757409926,-0.025858487113075368,-0.008640013095882804,0.054280710418228795
2026-02-28,0.18772544205283692,0.19392904850424442,0.20341074918873492,0.1450833870702064,-0.015685307135897997,-0.006203606451407495,0.04264205498263052
2026-03-31,0.15815987126811137,0.16073357033215618,0.1507281885437295,0.1478963512305309,0.007431682724381883,-0.00257369906404481,0.010263520037580465
2026-04-30,0.15401094036522034,0.15445864893768668,0.140919750553139,0.1482845888865716,0.01309118981208135,-0.0004477085724663432,0.00572635147864875
2026-05-31,0.15369720961293076,0.15303215405477455,0.13914624964689493,0.1475427420569584,0.014550959966035837,0.0006650555581562134,0.006154467555972376
