data,B5MB11.SA,BOVV11.SA,EURBRL=X,FIND11.SA,GC=F,IB5M11.SA,IMAB11.SA,JPYBRL=X,MATB11.SA,NG=F,USDBRL=X,ZC=F
2020-01-02,101.04000091552734,119.20999908447266,4.48829984664917,130.75,1524.5,96.3000030517578,76.76000213623047,0.0369389988481998,37.0,2.121999979019165,4.016300201416016,391.5
2020-01-03,100.54000091552734,118.22000122070312,4.492000102996826,131.39999389648438,1549.199951171875,96.4000015258789,76.69999694824219,0.0370590016245842,37.22999954223633,2.130000114440918,4.023399829864502,386.5
2020-01-06,100.54000091552734,117.38999938964844,4.53380012512207,128.9199981689453,1566.199951171875,96.4000015258789,76.69999694824219,0.0375320017337799,36.93999862670898,2.134999990463257,4.057000160217285,384.75
2020-01-07,99.8499984741211,117.2699966430664,4.543399810791016,128.38999938964844,1571.800048828125,94.5,76.30000305175781,0.0374529995024204,37.08000183105469,2.1619999408721924,4.060400009155273,384.5
2020-01-08,100.0500030517578,116.8499984741211,4.532199859619141,127.16000366210938,1557.4000244140625,95.0,76.8499984741211,0.0376279987394809,37.61000061035156,2.1410000324249268,4.066199779510498,384.25
2020-01-09,100.0500030517578,116.56999969482422,4.512700080871582,125.94000244140624,1551.699951171875,95.0,76.8499984741211,0.0372299998998642,37.459999084472656,2.1659998893737797,4.06279993057251,383.25
2020-01-10,100.91000366210938,116.12000274658205,4.542799949645996,124.8000030517578,1557.5,94.9000015258789,76.93000030517578,0.0373760014772415,37.630001068115234,2.20199990272522,4.092100143432617,385.75
2020-01-13,100.87999725341795,117.8499984741211,4.512700080871582,125.0999984741211,1548.4000244140625,94.9000015258789,76.87999725341797,0.0371889993548393,39.08000183105469,2.181999921798706,4.070499897003174,389.5
2020-01-14,101.01000213623048,118.26000213623048,4.614299774169922,125.33000183105467,1542.4000244140625,95.0,76.6500015258789,0.037696000188589,39.0,2.187000036239624,4.1458001136779785,389.0
2020-01-15,101.01000213623048,117.02999877929688,4.594900131225586,124.20999908447266,1552.0999755859375,95.0,76.6500015258789,0.0375959984958171,38.75,2.119999885559082,4.13129997253418,387.5
2020-01-16,100.87000274658205,117.30999755859376,4.652599811553955,124.56999969482422,1549.0,94.66999816894533,76.5199966430664,0.0379890017211437,38.59000015258789,2.07699990272522,4.174200057983398,375.5
2020-01-17,100.83999633789062,119.0999984741211,4.657100200653076,126.5,1558.800048828125,94.83000183105467,76.7300033569336,0.037966001778841,39.209999084472656,2.003000020980835,4.183599948883057,389.25
2020-01-21,101.01000213623048,117.52999877929688,4.645299911499023,123.0,1556.4000244140625,95.5,76.70999908447266,0.0380150005221366,38.59999847412109,1.8949999809265137,4.188499927520752,387.5
2020-01-22,101.62999725341795,119.01000213623048,4.6656999588012695,125.5,1555.300048828125,95.5,76.94999694824219,0.0383130013942718,39.93999862670898,1.9049999713897705,4.210899829864502,388.75
2020-01-23,101.62000274658205,120.02999877929688,4.63730001449585,128.3000030517578,1564.5999755859375,96.18000030517578,77.08000183105469,0.0381079986691474,40.5,1.9259999990463257,4.181300163269043,393.75
2020-01-24,101.6500015258789,118.98999786376952,4.606400012969971,126.68000030517578,1571.0999755859375,95.5,76.9000015258789,0.0380560010671615,39.290000915527344,1.89300000667572,4.169099807739258,387.25
2020-01-27,101.79000091552734,114.9499969482422,4.606299877166748,124.0,1576.800048828125,95.0999984741211,77.0,0.0380650013685226,36.93999862670898,1.9019999504089355,4.1595001220703125,380.5
2020-01-28,101.9000015258789,117.08999633789062,4.632599830627441,125.43000030517578,1569.199951171875,94.81999969482422,76.9000015258789,0.038587000221014,37.20000076293945,1.934000015258789,4.206099987030029,386.5
2020-01-29,102.66999816894533,115.97000122070312,4.61929988861084,124.3000030517578,1569.800048828125,95.13999938964844,77.26000213623047,0.0384149998426437,36.7400016784668,1.8769999742507932,4.193399906158447,384.25
2020-01-30,103.08000183105467,116.0999984741211,4.655200004577637,124.27999877929688,1583.5,94.9800033569336,77.30000305175781,0.0388059988617897,36.619998931884766,1.8289999961853027,4.228899955749512,379.5
2020-01-31,103.5999984741211,114.3499984741211,4.67710018157959,123.5,1582.9000244140625,95.98999786376952,76.9800033569336,0.0389499999582767,35.88999938964844,1.840999960899353,4.242199897766113,381.25
2020-02-03,103.68000030517578,115.11000061035156,4.746799945831299,123.6500015258789,1577.199951171875,96.0,77.0,0.0395089983940124,36.40999984741211,1.819000005722046,4.282599925994873,378.75
2020-02-04,104.27999877929688,116.16999816894533,4.694900035858154,123.5999984741211,1550.4000244140625,96.4000015258789,77.1500015258789,0.0390949994325637,37.0099983215332,1.871999979019165,4.246799945831299,382.25
2020-02-05,104.47000122070312,116.63999938964844,4.696100234985352,125.3000030517578,1557.800048828125,95.56999969482422,77.4000015258789,0.0388699993491172,37.18000030517578,1.8609999418258667,4.253699779510498,380.75
2020-02-06,103.5199966430664,115.77999877929688,4.654699802398682,123.5,1565.0999755859375,96.18000030517578,77.19000244140625,0.0385399982333183,36.869998931884766,1.861999988555908,4.23360013961792,379.25
2020-02-07,104.02999877929688,114.23999786376952,4.698299884796143,123.22000122070312,1568.5999755859375,96.27999877929688,77.11000061035156,0.038926001638174,35.90999984741211,1.8580000400543213,4.280799865722656,383.5
2020-02-10,104.8000030517578,113.1500015258789,4.724999904632568,122.01000213623048,1574.699951171875,97.5999984741211,77.48999786376953,0.0393659994006156,34.97999954223633,1.7660000324249268,4.320400238037109,381.75
2020-02-11,105.41999816894533,115.97000122070312,4.714399814605713,125.20999908447266,1565.5999755859375,98.5,77.69000244140625,0.0393630005419254,36.380001068115234,1.787999987602234,4.320974826812744,379.75
2020-02-12,106.11000061035156,117.29000091552734,4.726200103759766,126.72000122070312,1567.4000244140625,97.5500030517578,77.97000122070312,0.0394069999456405,37.27000045776367,1.843999981880188,4.327530860900879,383.0
2020-02-13,106.29000091552734,116.12999725341795,4.732200145721436,124.0199966430664,1575.0999755859375,97.6500015258789,77.55000305175781,0.0396040007472038,37.0,1.825999975204468,4.354499816894531,379.5
2020-02-14,107.1999969482422,114.95999908447266,4.712699890136719,123.19000244140624,1582.699951171875,98.27999877929688,78.0,0.0396020002663135,36.70000076293945,1.837000012397766,4.346766948699951,377.75
2020-02-18,107.3499984741211,115.55999755859376,4.685800075531006,122.0999984741211,1600.0,98.04000091552734,78.16999816894531,0.0393939986824989,36.709999084472656,1.9809999465942385,4.326499938964844,383.0
2020-02-19,107.97000122070312,116.9800033569336,4.698999881744385,124.6500015258789,1607.5,98.04000091552734,77.94999694824219,0.0396229997277259,36.79999923706055,1.955000042915344,4.354800224304199,380.5
2020-02-20,108.05999755859376,115.1500015258789,4.715400218963623,123.12000274658205,1616.5999755859375,97.58000183105467,77.83000183105469,0.03923200070858,36.68000030517578,1.919999957084656,4.363999843597412,378.5
2020-02-21,107.2300033569336,114.29000091552734,4.736100196838379,121.48999786376952,1644.5999755859375,98.51000213623048,78.0,0.039207998663187,36.59999847412109,1.9049999713897705,4.392300128936768,377.0
2020-02-26,104.91000366210938,106.18000030517578,4.770299911499023,114.48999786376952,1640.0,97.52999877929688,76.97000122070312,0.0397749990224838,33.0,1.8209999799728396,4.386799812316895,370.5
2020-02-27,103.7699966430664,103.48999786376952,4.840400218963623,114.0,1640.0,96.2300033569336,77.04000091552734,0.0403160005807876,32.880001068115234,1.7519999742507937,4.449100017547607,364.5
