data,NG=F,ZC=F,GC=F,USDBRL=X,EURBRL=X,JPYBRL=X,IMAB11.SA,B5MB11.SA,IB5M11.SA,BOVV11.SA,FIND11.SA,MATB11.SA,CDI
2020-01-31,-0.1324222530151464,-0.0261813537675597,0.0383076578642589,0.0562457199465453,0.0420650004191165,0.0544411373557007,0.0028660919043843,0.025336476003539,-0.0032191607285998,-0.0407683973464987,-0.0554493307839379,-0.0300000164959873,0.0037663336752904453
2020-02-29,-0.0852797115562489,-0.0386885245901633,-0.0118769654041066,0.0571873013974646,0.0542429645851239,0.050012811364211,4.440892098500626e-16,-0.0294401106880816,0.0078133140607463,-0.0841276366030269,-0.0538461662014483,-0.1161883574034464,0.00293728631555501
2020-03-31,-0.0261282833522666,-0.0702592087312405,0.0123393959013997,0.1578442893995921,0.161089495743832,0.1751430276323506,-0.0750845174933443,-0.1452014486364589,-0.1230101487353408,-0.3010599197751664,-0.3311938164621636,-0.1976670455908648,0.003383691484662998
2020-04-30,0.1884146450939532,-0.0858400586940567,0.0636604302157408,0.0273653128073669,0.0132224425213043,0.0411768572348962,-0.007865134587025,0.0610820266016003,0.053630401321997,0.1036885831108966,0.0405629956116582,0.0990176218023806,0.0028492490278402283
2020-05-31,-0.0513083754709727,0.0457463884430187,0.0312908649626313,0.0128965382736307,0.0315473887353219,0.0031375372138198,0.0389297851608276,0.0142544199041538,-0.0071596307642725,0.0856541414844245,0.0393506758515871,0.1290668823373175,0.002358096193071146
2020-06-30,-0.0530015855029117,0.0391404451266315,0.0322989088591116,-0.0002776167073367,0.015040635311132,0.0003386357572798,0.0279330027089084,0.0270270270270274,0.0251267983879845,0.0902975516088846,0.1310932592419071,0.0421152605104246,0.00212332177367136
2020-07-31,0.0274128936519058,-0.0664697193500737,0.0947016446336452,-0.0459450835354313,0.0069972699899409,-0.0195363707301123,0.0503710935761791,0.0727368806537831,0.08078696639838,0.0824009736393767,0.0978033328803054,0.0969309827255997,0.001943464130263805
2020-08-31,0.4619233341810744,0.1028481012658228,0.0024454486643601,0.0458099135200109,0.0482480797448408,0.0370889330663726,-0.0106006607841498,-0.0305171278441224,-0.0283738519635227,-0.0351656778526355,-0.0833730372028046,0.1080332878317076,0.001598895978929482
2020-09-30,-0.0391635587642843,0.0875179340028695,-0.040709481896636,0.0446196621993484,0.0309137209869638,0.0436162260071208,-0.0246173503522019,-0.0293522412581268,-0.0370525526649014,-0.048162662017678,-0.0597713116674375,0.0069999694824223,0.0015696620595304631
2020-10-31,0.3272655945283924,0.0514511873350929,-0.0053509804428802,0.0261611309065188,0.0203643429464523,0.037176698975913,0.0125539305498638,-0.0034411035016052,0.0244565217391308,-0.0069429418226945,-0.0101713454945908,0.0600794949598271,0.0015696620595304631
2020-11-30,-0.1407275221187603,0.0533249686323715,-0.0541706998613292,-0.0753400718416592,-0.052608198485068,-0.0712721718037842,0.0021955077912345,0.0280422759624732,-0.0026525198938988,0.1611228690531638,0.1792695551278085,0.1444964416558152,0.001494860408406628
2020-12-31,-0.1596113959118407,0.1304347826086962,0.0649321687214288,-0.0250632026765348,-0.0014398998533002,-0.0199306080486962,0.0463917338261508,0.071246819338423,0.0509574565481636,0.0907763606681577,0.1212350369423691,0.1158174743425113,0.0016444692975896569
2021-01-31,0.0586292171640903,0.1527924130663862,-0.0231094400697375,0.0440404693631728,0.0328046211995005,0.0362985670684796,2.220446049250313e-16,-0.0137766930949376,-0.0049599945260498,-0.034376051307104,-0.0606521411704832,-0.00146704599575,0.001494860408406628
2021-02-28,0.0807332394474913,0.0155393053016454,-0.064526644341185,0.0165568395752833,0.0201988062535969,-0.0031267398318779,-0.0169950407054518,-0.0183044457612536,-0.019125176240559,-0.0451277541982815,-0.0737409817741164,0.101010099594774,0.001345273865295926
2021-03-31,-0.0588234838608421,0.0157515751575165,-0.0082749418204015,0.0440617784237178,0.0060690945030739,0.0064654946855386,-0.004760677209606,-0.0186457458040012,-0.0130677715283523,0.0618650202012183,0.0630096879977628,0.0558798737529293,0.00201079883279398
2021-04-30,0.1238496737971313,0.3114754098360659,0.0312171773110774,-0.0754036584174941,-0.0436910836373519,-0.0629779473980781,0.0187562665908598,0.0069999694824225,0.0101932908152553,0.0192209127535121,0.0113252855727241,0.1287519401170866,0.002077848024335082
2021-05-31,0.0187649494590842,-0.1124999999999996,0.076500847301806,-0.0184018896204722,-0.0129871575619555,-0.0267904690338767,0.002842003658301,0.0105263676277287,0.0195569014514425,0.058251653003543,0.0701706530073891,-0.0456262371739136,0.0027032626398217903
2021-06-30,0.2223710719222447,0.0963075751808146,-0.0692246786711557,-0.0540453052633409,-0.0765833067485982,-0.0601924495097703,-0.012444579727169,0.0062893020461189,0.0029588910234308,0.009662610486786,-0.0042194092827,0.0013197878672603,0.003077789683316512
2021-07-31,0.0723287485115169,-0.2402777777777772,0.0236051082026313,0.0252870636450719,0.024376611246514,0.0358273923932506,0.0063630957769329,-0.0039062648429535,-0.0043743671599811,-0.0393787585524713,-0.0381355932203383,-0.0174282727399082,0.003556161780191802
2021-08-31,0.1182932592355527,-0.0237659963436922,0.0013240783660981,0.0201755692569745,0.0121217725230882,0.0151189085040535,-0.0112819690155405,-0.0232353210449215,-0.0242158238486897,-0.0263759248055441,-0.0298678360321443,-0.0423311446253067,0.004279524773424858
2021-09-30,0.3404158778390447,0.0051498127340829,-0.0328925350809224,0.0446468222647424,0.027258337238776,0.0260109574147651,0.0048902744783503,-0.0066244710519872,-0.0071204220437246,-0.0656714049366781,-0.0850059082596315,-0.0978988469342776,0.0044199933223520995
2021-10-31,-0.075166179819214,0.0586865393572433,0.0157807499580302,0.0425908947995574,0.0500915586571215,0.0276881654786864,-0.0309457916948697,-0.0509245312050475,-0.0394431330500597,-0.0646319971186365,-0.0535980300335366,-0.0890269138874849,0.004859961025168724
2021-11-30,-0.1583118664342765,-0.0021997360316761,-0.0052720271531471,-0.0078300669197282,-0.0410586956677391,-0.0097587327581931,0.0267833389592666,0.0522729268259603,0.0423803308382841,-0.0144913104708247,-0.0289460113308702,0.0361742400570248,0.005867490939004627
2021-12-31,-0.2202758534858027,0.0511463844797175,0.0220455435972921,0.0182120517620383,0.0240735528279136,0.0079651599757581,-0.0117882472685491,-0.0036421792219248,-0.0414999193183911,0.0259031645678715,-0.0382329995263654,0.1146042873823256,0.007690830818633421
2022-01-31,0.3687166311917782,0.0503355704697989,-0.0097644131122923,-0.0596384660170639,-0.0766545998526579,-0.0615449418816104,0.0104060870947642,-0.016043884821247,0.0126373794052629,0.071381152172568,0.1723750471428888,0.0019678408131444,0.007322703246089635
2022-02-28,-0.0828888543865149,0.053514376996806,0.0509749303621172,-0.0448289718106229,-0.041550924393448,-0.0478809385942077,0.0021351188530651,0.0051599586390771,-0.0340748707287497,0.0107202893153943,-0.0171456023885556,-0.0196398850770905,0.007550409870388908
2022-03-31,0.2621924973563274,0.1353297952994692,0.0332361257205815,-0.0688180783672954,-0.0715557799921472,-0.1186941682363111,-0.0036345521017644,-0.0017453610501242,0.0723513611667512,0.0580294092823676,0.0772829184095704,0.065943186103855,0.009270538628930902
2022-04-30,0.2839418120081829,0.0928213689482468,-0.0204698867962522,0.0352432812218521,-0.0255836343331722,-0.0336635102357489,0.0,0.0,2.220446049250313e-16,-0.1020712510879942,-0.1166093656856276,-0.1088488193317498,0.00834320523721388
2022-05-31,0.1243788659503699,-0.0791322945310111,-0.0348819441434187,-0.0375470881287358,-0.0127515325857117,-0.0148352367367214,0.0,0.0,0.0069146535695263,0.0341391831648163,0.0599078175392633,0.0492091241120105,0.010345923015313565
2022-06-30,-0.3340700452377636,-0.0129396151293955,-0.0209475099629691,0.0901650076932687,0.057097094448252,0.0202215299494774,0.0,0.0,-0.0167516449914379,-0.1151856125196116,-0.1296618180574416,-0.1480737025061405,0.010153156089369508
2022-07-31,0.5171460943307724,-0.171428571428571,-0.0228368448142647,0.0003474416102522,-0.0240489942286463,0.0162098243781869,0.0,0.0,-0.0095238256706755,0.048200049082927,0.0353019564890768,-0.0198584766832443,0.010348424349291951
2022-08-31,0.1091262308297449,0.0933062880324551,-0.0284190679517341,-0.0117313511658478,-0.0280128858118688,-0.0422253998225417,0.0,0.0,0.0246795430090418,0.0653198760449045,0.0980055670200081,-0.0371113045285538,0.011693612800063312
2022-09-30,-0.2586830391731626,0.0055658627087207,-0.0294255155168547,0.0535543634290613,0.0333800866275513,0.0117258827123203,0.0,0.0,0.0170993569703761,0.0047859742597153,0.0361327821592583,0.0185416539510092,0.010719822473548524
2022-10-31,-0.0607448695604372,0.020664206642067,-0.0159408082355742,-0.0199585531127044,-0.0055439028532984,-0.0396948811860774,0.0,0.0,0.0022551879490146,0.0547317709267203,0.067389270770092,0.0605440605732423,0.010206758664957682
2022-11-30,0.0904799067725212,-0.042660882140274,0.0673023864189823,-0.0038385009252713,0.0308132615282206,0.0583381677204015,0.0,0.0,-0.0253656112579483,-0.0306748334645421,-0.1368653421633551,0.1330762146371675,0.010206758664957682
2022-12-31,-0.3421356236379949,0.026435045317221,0.0420962199312717,-0.0002657442613355,0.0278871049769762,0.034764307930915,0.0,0.0,-0.0038829126144096,-0.023382591527415,0.0172890275335677,-0.0202552957737693,0.011233146856986398
2023-01-31,-0.4112744009046827,0.0003679175864614,0.060456169277274,-0.0288410071994547,-0.0072837178518069,-0.002341556879323,0.0,0.0,0.0022123797779569,0.031953223226955,0.0096540533075544,0.0597636995246013,0.011233146856986398
2023-02-28,0.0234724155745966,-0.0739242368517831,-0.0521378468960544,0.0165789682459409,-0.0059671049328841,-0.0265319778793896,0.0,0.0,0.0115631886394922,-0.0763192314308417,-0.0514940048841799,-0.0775409761022342,0.009181412243290275
2023-03-31,-0.1933017484405361,0.0492454328832405,0.0766034084508382,-0.0205780865456206,0.0068552476647614,0.0028565961401787,0.0,0.0,0.0345006710901776,-0.0273843388488538,-0.0137562232679769,-0.0677092827847184,0.01174673194761211
2023-04-30,0.087545125771175,-0.0370931112793339,0.0107160871436962,-0.0228758616673181,-0.0114377193169301,-0.0281443543849324,0.0,0.0,0.0330486507812799,0.026116528557343,0.0734667979173844,-0.0402211331905278,0.009181412243290275
2023-05-31,-0.059751057376467,-0.0660377358490565,-0.0131651432055113,0.0117760434992926,-0.0158701294436153,-0.0317827651990388,0.0,0.0,0.0390898912447732,0.0379410957915256,0.0648680910069778,0.0160874160444584,0.011233146856986398
2023-06-30,0.2347749590632357,-0.066498316498316,-0.0217933949264519,-0.0355923116212431,-0.0235687976582247,-0.0686791938276548,0.0,0.0,0.0288227757202195,0.0902461422177605,0.108327097497209,0.0173963915618249,0.010719822473548524
2023-07-31,-0.0586133054434154,-0.0910730387736699,0.0257144474737696,-0.027246870277329,-0.0160033706534338,8.942474119444377e-05,0.0,0.0,0.0160086817150471,0.0349498357734532,0.001596793384464,0.092987516302244,0.010719822473548524
2023-08-31,0.0508731288237827,-0.0853174603174591,-0.0163918035159214,0.0349543959413158,0.0237981213194331,-0.0023554925429762,0.0,0.0,-0.0098477932334297,-0.0495233261744318,-0.0587346868776262,-0.0432413273134995,0.011374956476198017
