data,B5MB11.SA,BOVV11.SA,EURBRL=X,FIND11.SA,GC=F,IB5M11.SA,IMAB11.SA,JPYBRL=X,MATB11.SA,NG=F,USDBRL=X,ZC=F
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,-0.7020824077857757,0.0,-1.8873636550491568,0.0,0.0,0.0,0.0,-0.7789441823611964,0.0,0.0,-0.4527813712807194
2020-01-07,-0.6862964343773759,-0.8035903974177416,0.0,-2.2907112988202805,0.0,-1.9709559085108963,-0.5215044490214149,-0.21049298654486348,-0.40289474355613697,0.0,0.0,-0.5174644243208348
2020-01-08,-0.48736608246227053,-1.158858680794972,-0.24651035872461646,-3.2267811501690113,-0.9161486173001832,-1.4522837175506287,0.0,0.0,0.0,-0.9713186411464014,0.0,-0.5821474773609503
2020-01-09,-0.48736608246227053,-1.3957042030464328,-0.6756995025293255,-4.155244831578497,-1.2787948232496849,-1.4522837175506287,0.0,-1.05771992385848,-0.39883414901519254,0.0,-0.083612442141201,-0.8408796895213677
2020-01-10,0.0,-1.7763478704425073,-0.013202913456911158,-5.022824316054352,-0.9097880381659595,-1.5560165728807807,0.0,-0.669706789308977,0.0,0.0,0.0,-0.19404915912032417
2020-01-13,-0.029735811715847493,-0.3129781278645827,-0.6756995025293477,-4.794517286908196,-1.4887405323284364,-1.5560165728807807,-0.0649981171967573,-1.1666827876790187,0.0,-0.9082643873763119,-0.5278523416419656,0.0
2020-01-14,0.0,0.0,0.0,-4.619476672283218,-1.87046847568062,-1.4522837175506398,-0.3639656547330672,0.0,-0.20471296649509085,-0.6811928768494568,0.0,-0.12836970474967568
2020-01-15,0.0,-1.0400839968840003,-0.42042441743668224,-5.471838010643959,-1.2533447404378784,-1.4522837175506398,-0.3639656547330672,-0.2652846250838281,-0.8444263449150058,-3.723888319189017,-0.3497549507020081,-0.5134788189987138
2020-01-16,-0.13859953142029147,-0.8033185865685799,0.0,-5.197864930679308,-1.4505692912482049,-1.7946092630186983,-0.5329567925164702,0.0,-1.2538425166536915,-5.6766578347845815,0.0,-3.594351732991019
2020-01-17,-0.16830590510291676,0.0,0.0,-3.729067065516367,-0.827077210596372,-1.628630363042849,-0.25997263414638816,-0.06054368701641222,0.0,-9.037233902603747,0.0,-0.06418485237483784
2020-01-21,0.0,-1.318219743861171,-0.2533827627843932,-6.392689715877575,-0.9797699411922101,-0.9336115265903944,-0.2859758479532126,0.0,-1.5557271731565292,-13.941868090855037,0.0,-0.5134788189987138
