data,B5MB11.SA,BOVV11.SA,EURBRL=X,FIND11.SA,GC=F,IB5M11.SA,IMAB11.SA,JPYBRL=X,MATB11.SA,NG=F,USDBRL=X,ZC=F
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,-0.007020824077857757,0.0,-0.018873636550491568,0.0,0.0,0.0,0.0,-0.0077894418236119645,0.0,0.0,-0.004527813712807194
2020-01-07,-0.006862964343773759,-0.008035903974177416,0.0,-0.022907112988202805,0.0,-0.019709559085108963,-0.005215044490214149,-0.002104929865448635,-0.00402894743556137,0.0,0.0,-0.005174644243208348
2020-01-08,-0.004873660824622705,-0.011588586807949719,-0.0024651035872461646,-0.032267811501690113,-0.009161486173001832,-0.014522837175506287,0.0,0.0,0.0,-0.009713186411464014,0.0,-0.005821474773609503
2020-01-09,-0.004873660824622705,-0.013957042030464328,-0.006756995025293255,-0.04155244831578497,-0.012787948232496849,-0.014522837175506287,0.0,-0.0105771992385848,-0.003988341490151925,0.0,-0.00083612442141201,-0.008408796895213677
2020-01-10,0.0,-0.017763478704425073,-0.00013202913456911158,-0.05022824316054353,-0.009097880381659595,-0.015560165728807807,0.0,-0.00669706789308977,0.0,0.0,0.0,-0.0019404915912032417
2020-01-13,-0.00029735811715847493,-0.0031297812786458268,-0.006756995025293477,-0.04794517286908195,-0.014887405323284364,-0.015560165728807807,-0.000649981171967573,-0.011666827876790187,0.0,-0.009082643873763119,-0.005278523416419656,0.0
2020-01-14,0.0,0.0,0.0,-0.04619476672283218,-0.0187046847568062,-0.014522837175506398,-0.003639656547330672,0.0,-0.0020471296649509085,-0.006811928768494568,0.0,-0.0012836970474967568
2020-01-15,0.0,-0.010400839968840003,-0.004204244174366822,-0.05471838010643959,-0.012533447404378784,-0.014522837175506398,-0.003639656547330672,-0.002652846250838281,-0.008444263449150058,-0.03723888319189017,-0.0034975495070200813,-0.005134788189987138
2020-01-16,-0.0013859953142029147,-0.008033185865685799,0.0,-0.05197864930679308,-0.014505692912482049,-0.017946092630186983,-0.005329567925164702,0.0,-0.012538425166536915,-0.05676657834784582,0.0,-0.03594351732991019
2020-01-17,-0.0016830590510291676,0.0,0.0,-0.03729067065516367,-0.00827077210596372,-0.01628630363042849,-0.0025997263414638816,-0.0006054368701641222,0.0,-0.09037233902603747,0.0,-0.0006418485237483784
2020-01-21,0.0,-0.013182197438611709,-0.002533827627843932,-0.06392689715877575,-0.0097976994119221,-0.009336115265903944,-0.0028597584795321263,0.0,-0.015557271731565292,-0.13941868090855036,0.0,-0.005134788189987138
2020-01-22,0.0,-0.0007556367677885589,0.0,-0.044901021084767234,-0.010497518442184717,-0.009336115265903944,0.0,0.0,0.0,-0.13487735897166886,0.0,-0.0019255455712452463
2020-01-23,-9.834209491310641e-05,0.0,-0.006086963275863333,-0.023592016656931114,-0.004580781917875476,-0.002282170303120501,0.0,-0.0053507351986015195,0.0,-0.12534056124948667,-0.00702929725032464,0.0
