ticker,B5MB11.SA,BOVV11.SA,EURBRL=X,FIND11.SA,GC=F,IB5M11.SA,IMAB11.SA,JPYBRL=X,MATB11.SA,NG=F,USDBRL=X,ZC=F
B5MB11.SA,1.0,0.13763306980341092,-0.02953602257960724,0.1377545136709618,0.026765147500154313,0.19708370043784487,0.9220931845544684,-0.02715098112167902,0.07169461903987158,-0.0018815089291499812,-0.03066405264676508,-0.011392879288106656
BOVV11.SA,0.13763306980341092,1.0,0.024230211104049684,0.8051089091834756,0.1114510571921089,0.2546611924143463,0.13612275771067,0.031990437631530484,0.6913725780095475,0.04781901963538863,0.019520496257632084,0.08890632058491511
EURBRL=X,-0.02953602257960724,0.024230211104049684,1.0,0.0015298923454058941,0.013803491569057844,-0.02382725460795895,-0.022353268704534596,0.7739482326791912,0.027076378598104574,-0.035168956385296476,0.8048593756342649,-0.03501253994119065
FIND11.SA,0.1377545136709618,0.8051089091834756,0.0015298923454058941,1.0,0.08473196027255671,0.2774523466960669,0.1013659044889616,-0.014241371258916875,0.4171330347066514,0.011747955454487827,-0.01636114305774087,0.04413381579395531
GC=F,0.026765147500154313,0.1114510571921089,0.013803491569057844,0.08473196027255671,1.0,0.1064242990865566,0.028731390807824518,-0.004354732354968657,0.16181769577393387,0.02325929844002481,-0.03679346598633383,0.08557548823107425
IB5M11.SA,0.19708370043784487,0.2546611924143463,-0.02382725460795895,0.2774523466960669,0.1064242990865566,1.0,0.09945423077322812,-0.023205033165791356,0.10645087246559362,0.01244116205537301,-0.04370191877873524,0.043430826773644425
IMAB11.SA,0.9220931845544684,0.13612275771067,-0.022353268704534596,0.1013659044889616,0.028731390807824518,0.09945423077322812,1.0,-0.023636482588805713,0.09333934739232742,-0.00928507515225818,-0.020055425908166932,-0.004039460461417944
JPYBRL=X,-0.02715098112167902,0.031990437631530484,0.7739482326791912,-0.014241371258916875,-0.004354732354968657,-0.023205033165791356,-0.023636482588805713,1.0,0.04575130127091803,-0.0432349099808904,0.8161423159909943,-0.020437641350267027
MATB11.SA,0.07169461903987158,0.6913725780095475,0.027076378598104574,0.4171330347066514,0.16181769577393387,0.10645087246559362,0.09333934739232742,0.04575130127091803,1.0,0.05268409479893456,0.004348586564665183,0.13636481760147812
NG=F,-0.0018815089291499812,0.04781901963538863,-0.035168956385296476,0.011747955454487827,0.02325929844002481,0.01244116205537301,-0.00928507515225818,-0.0432349099808904,0.05268409479893456,1.0,-0.03384654667600983,0.05343281876153293
USDBRL=X,-0.03066405264676508,0.019520496257632084,0.8048593756342649,-0.01636114305774087,-0.03679346598633383,-0.04370191877873524,-0.020055425908166932,0.8161423159909943,0.004348586564665183,-0.03384654667600983,1.0,-0.04434344038978049
ZC=F,-0.011392879288106656,0.08890632058491511,-0.03501253994119065,0.04413381579395531,0.08557548823107425,0.043430826773644425,-0.004039460461417944,-0.020437641350267027,0.13636481760147812,0.05343281876153293,-0.04434344038978049,1.0
