data,CDI_MENSAL_PCT,IPCA_MENSAL_PCT,IPCA_12M_PCT,IPCA_VARIACAO_3M_PP,IBC_BR,IBC_BR_VARIACAO_12M_PCT,IBC_BR_DESSAZONALIZADO,IBC_BR_VARIACAO_MENSAL_PCT,IBC_BR_DESSAZONALIZADO_VARIACAO_12M_PCT,IBC_BR_MEDIA_MOVEL_3M,IBC_BR_TENDENCIA_3M_PCT
2004-01-31,1.2605733769261107,0.76,,,68.92338,,72.46389,,,,
2004-02-29,1.079637084871865,0.61,,,69.52865,,73.25925,1.0975949538452712,,,
2004-03-31,1.3744122113807933,0.47,,,78.28649,,74.05623,1.0878899251630436,,73.25979,
2004-04-30,1.1746787431638595,0.37,,,75.0577,,74.40924,0.4766783294261723,,73.90823999999999,
2004-05-31,1.2248546985275555,0.51,,,74.12622,,74.35066,-0.07872678178139081,,74.27204333333333,
2004-06-30,1.2235709087390578,0.71,,,74.80571,,74.98168,0.8487080007090642,,74.58052666666667,1.8028125205746148
2004-07-31,1.2817825606525446,0.91,,,77.93352,,75.26439,0.3770387646689244,,74.86557666666666,1.2953043756239735
2004-08-31,1.286088681307196,0.69,,,77.35959,,75.6032,0.45015976346847175,,75.28309,1.3612748771823835
2004-09-30,1.244123511111228,0.33,,,76.35209,,76.37664,1.0230254804029393,,75.74807666666668,1.5654890789633447
2004-10-31,1.2081107448278505,0.44,,,76.127,,75.83445,-0.7098898301889034,,75.93809666666668,1.4325943213866266
2004-11-30,1.2487574855976735,0.69,,,76.61355,,76.69201,1.1308316998408952,,76.30103333333334,1.3521540273298216
2004-12-31,1.4798770004630146,0.86,7.600644138060408,,75.19809,,76.10127,-0.7702758083925509,,76.20924333333333,0.6088163382630185
2005-01-31,1.3827900930848402,0.58,7.408423852780088,,72.3751,5.008053870834561,76.58051,0.6297398190595382,5.6809260446823995,76.45792999999999,0.6845488050815085
2005-02-28,1.2159170045735745,0.59,7.387072411799478,,72.71063,4.576501916835718,77.06962,0.6386873109097913,5.201213498636692,76.5838,0.3705934956756751
2005-03-31,1.5219750835253176,0.61,7.53671101175617,-0.06393312630423864,80.69393,3.0751666092067698,77.17342,0.13468342000386713,4.209220480167564,76.94118333333334,0.9604346769309435
2005-04-30,1.4080176277084577,0.87,8.072412471414282,0.6639886186341935,78.54658,4.648263935612218,77.72911,0.7200536143143754,4.461636753715004,77.32405,1.1328059757830244
2005-05-31,1.5004349466422706,0.49,8.05090766344061,0.6638352516411317,77.50428,4.557172887002725,77.66362,-0.0842541487996118,4.4558582264098145,77.52205,1.2251285519914168
2005-06-30,1.5844485652490414,-0.02,7.267696834383841,-0.2690141773723287,77.94839,4.201123149556363,77.16947,-0.6362695944381547,2.917766046319592,77.52073333333333,0.7532377003992563
2005-07-31,1.5097698344980426,0.25,6.566114435110215,-1.5062980363040666,79.10669,1.5053471214953484,77.1542,-0.019787618082645064,2.510895258700696,77.32909666666667,0.006526645547766385
2005-08-31,1.6528535842331271,0.17,6.015768030241286,-2.0351396331993232,80.50425,4.064990520244494,77.76065,0.7860233143496931,2.853649051891982,77.36144,-0.20717976369303281
2005-09-30,1.499663076072122,0.35,6.036901443583309,-1.230795390800532,77.56884,1.5936040519650252,77.55178,-0.26860629380027756,1.5386118059134368,77.48887666666667,-0.041094382492068426
2005-10-31,1.4033136017802983,0.75,6.364175830754859,-0.20193860435535615,77.83191,2.23956020859879,77.5771,0.03264915389435963,2.2979661618169445,77.62984333333333,0.3889178583878383
2005-11-30,1.376335169962828,0.55,6.216286421515571,0.20051839127428472,78.11403,1.9585047292548063,78.21667,0.8244314365966066,1.9880297830243254,77.78185,0.5434361097725215
2005-12-31,1.4668308133316543,0.36,5.68973334585865,-0.3471680977246594,77.77726,3.429834454571923,78.84386,0.8018623140054526,3.6038688973258903,78.21254333333333,0.9338974802533873
2006-01-31,1.425621753101125,0.59,5.700241372637915,-0.6639344581169437,75.8915,4.858577052052415,79.43354,0.747908587935675,3.725530164267621,78.83135666666668,1.5477466934645134
2006-02-28,1.1400687625561012,0.41,5.511096890611156,-0.7051895309044154,75.36281,3.6475822035925143,79.50207,0.08627338023712294,3.1561723023936006,79.25982333333333,1.9001519420447366
2006-03-31,1.4183429231021005,0.43,5.322328403976528,-0.36740494188212125,83.25996,3.179954179948874,79.37173,-0.1639454167671417,2.8485325647094717,79.43578,1.5639903965958046
2006-04-30,1.0753528017771519,0.21,4.63319648421221,-1.0670448884257056,78.72864,0.23178603065847625,79.8895,0.6523355355867899,2.7793834253344585,79.58776666666667,0.959529344646981
2006-05-31,1.2782064061021225,0.1,4.227116808335563,-1.2839800822755931,81.92924,5.709310505174692,80.92504,1.2962153975178081,4.1994179514166285,80.06209,1.0121984038403253
2006-06-30,1.1821721523021633,-0.21,4.029045672172504,-1.293282731804024,79.97879,2.6048004326965524,79.95344,-1.2006172625926403,3.6076054429296844,80.25599333333334,1.0325489764604123
2006-07-31,1.1669658942348615,0.19,3.9667838992016646,-0.6664125850105451,83.47792,5.525739984823019,81.47107,1.8981422187713148,5.59511990274022,80.78318333333333,1.502010568625911
2006-08-31,1.2513251089330657,0.05,3.8422354908168144,-0.3848813175187482,84.63702,5.133604747575449,81.4818,0.013170319231115002,4.785389525421935,80.96877,1.132471060897866
2006-09-30,1.0531707618861574,0.21,3.697363413400634,-0.3316822587718704,81.24734,4.742239280618343,81.68226,0.24601812920184152,5.326093095477646,81.54504333333334,1.6061728806297193
