data,NG=F,ZC=F,GC=F,USDBRL=X,EURBRL=X,JPYBRL=X,IMAB11.SA,B5MB11.SA,IB5M11.SA,BOVV11.SA,FIND11.SA,MATB11.SA,regime_macro,codigo_regime,regime_sinal,codigo_regime_sinal,peso_NG=F,peso_ZC=F,peso_GC=F,peso_USDBRL=X,peso_EURBRL=X,peso_JPYBRL=X,peso_IMAB11.SA,peso_B5MB11.SA,peso_IB5M11.SA,peso_BOVV11.SA,peso_FIND11.SA,peso_MATB11.SA,soma_pesos,contribuicao_NG=F,contribuicao_ZC=F,contribuicao_GC=F,contribuicao_USDBRL=X,contribuicao_EURBRL=X,contribuicao_JPYBRL=X,contribuicao_IMAB11.SA,contribuicao_B5MB11.SA,contribuicao_IB5M11.SA,contribuicao_BOVV11.SA,contribuicao_FIND11.SA,contribuicao_MATB11.SA,retorno_portfolio_bruto,retorno_benchmark_estatico,indice_portfolio_bruto,indice_benchmark_estatico,retorno_acumulado_portfolio_bruto,retorno_acumulado_benchmark,drawdown_portfolio_bruto,drawdown_benchmark_estatico,diferenca_indice,retorno_portfolio,indice_portfolio,retorno_carteira_estatica,indice_carteira_estatica,drawdown_portfolio,drawdown_estatica,soma_pesos_validacao,turnover_portfolio,peso_estatica_NG=F,peso_estatica_ZC=F,peso_estatica_GC=F,peso_estatica_USDBRL=X,peso_estatica_EURBRL=X,peso_estatica_JPYBRL=X,peso_estatica_IMAB11.SA,peso_estatica_B5MB11.SA,peso_estatica_IB5M11.SA,peso_estatica_BOVV11.SA,peso_estatica_FIND11.SA,peso_estatica_MATB11.SA,turnover_estatica,custo_portfolio,custo_estatica,retorno_portfolio_liquido,retorno_estatica_liquido,pico_portfolio_bruto,indice_portfolio_liquido,pico_portfolio_liquido,drawdown_portfolio_liquido,indice_estatica_bruta,pico_estatica_bruta,drawdown_estatica_bruta,indice_estatica_liquida,pico_estatica_liquida,drawdown_estatica_liquida,indice_estatica_bruto,indice_estatica_liquido,retorno_cdi,cdi_disponivel
2020-01-31,-0.1324222530151464,-0.0261813537675597,0.0383076578642589,0.0562457199465453,0.0420650004191165,0.0544411373557007,0.0028660919043843,0.025336476003539,-0.0032191607285998,-0.0407683973464987,-0.0554493307839379,-0.0300000164959873,EXPANSAO_DESINFLACIONARIA,1,EXPANSAO_DESINFLACIONARIA,1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,-0.0110351877512622,-0.0021817794806299,0.0031923048220215,0.0046871433288787,0.003505416701593,0.0045367614463083,0.000238840992032,0.0021113730002949,-0.0002682633940499,-0.0033973664455415,-0.0046207775653281,-0.0025000013746656,-0.0057315357203487,-0.0057315357203487,99.42684642796513,99.42684642796512,-0.0057315357203487,-0.0057315357203487,0.0,0.0,0.0,-0.0057315357203487,99.42684642796512,-0.0057315357203487,99.42684642796512,0.0,0.0,0.9999999999999994,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.001,0.001,-0.0067258041846283145,-0.0067258041846283145,99.42684642796513,99.32741958153717,99.32741958153717,0.0,99.42684642796513,99.42684642796513,0.0,99.32741958153717,99.32741958153717,0.0,99.42684642796513,99.32741958153717,0.0037663336752904453,True
2020-02-29,-0.0852797115562489,-0.0386885245901633,-0.0118769654041066,0.0571873013974646,0.0542429645851239,0.050012811364211,4.440892098500626e-16,-0.0294401106880816,0.0078133140607463,-0.0841276366030269,-0.0538461662014483,-0.1161883574034464,EXPANSAO_INFLACIONARIA,2,EXPANSAO_DESINFLACIONARIA,1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,-0.0071066426296874,-0.0032240437158469,-0.0009897471170088,0.0047656084497887,0.0045202470487603,0.0041677342803509,3.7007434154171876e-17,-0.0024533425573401,0.0006511095050621,-0.0070106363835855,-0.0044871805167873,-0.0096823631169538,-0.0208492567532479,-0.0208492567532479,97.35387057862273,97.35387057862272,-0.0264612942137728,-0.0264612942137728,-0.020849256753248002,-0.020849256753248,0.0,-0.0208492567532479,97.35387057862272,-0.0208492567532479,97.35387057862272,-0.020849256753248,-0.020849256753248,0.9999999999999994,0.02147002897191834,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.021470028971918347,2.147002897191834e-05,2.1470028971918346e-05,-0.020870279148073267,-0.020870279148073267,99.42684642796513,97.2544286078127,99.32741958153717,-0.020870279148073156,97.35387057862273,99.42684642796513,-0.020849256753248002,97.2544286078127,99.32741958153717,-0.020870279148073156,97.35387057862273,97.2544286078127,0.00293728631555501,True
2020-03-31,-0.0261282833522666,-0.0702592087312405,0.0123393959013997,0.1578442893995921,0.161089495743832,0.1751430276323506,-0.0750845174933443,-0.1452014486364589,-0.1230101487353408,-0.3010599197751664,-0.3311938164621636,-0.1976670455908648,EXPANSAO_INFLACIONARIA,2,EXPANSAO_INFLACIONARIA,2,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,-0.0021773569460222,-0.0058549340609367,0.0010282829917833,0.0131536907832993,0.0134241246453193,0.0145952523026958,-0.0062570431244453,-0.0121001207197049,-0.010250845727945,-0.0250883266479305,-0.0275994847051803,-0.0164722537992387,-0.0635990150083059,-0.0635990150083059,91.16226030257624,91.1622603025762,-0.0883773969742379,-0.0883773969742379,-0.08312227956839191,-0.0831222795683922,0.0,-0.0635990150083059,91.1622603025762,-0.0635990150083059,91.1622603025762,-0.0831222795683922,-0.0831222795683922,0.9999999999999994,0.024040813639708565,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.024040813639708558,2.4040813639708566e-05,2.404081363970856e-05,-0.0636215268498781,-0.0636215268498781,99.42684642796513,91.06695336687119,99.32741958153717,-0.08316400697276771,91.16226030257624,99.42684642796513,-0.08312227956839191,91.06695336687119,99.32741958153717,-0.08316400697276771,91.16226030257624,91.06695336687119,0.003383691484662998,True
2020-04-30,0.1884146450939532,-0.0858400586940567,0.0636604302157408,0.0273653128073669,0.0132224425213043,0.0411768572348962,-0.007865134587025,0.0610820266016003,0.053630401321997,0.1036885831108966,0.0405629956116582,0.0990176218023806,EXPANSAO_INFLACIONARIA,2,EXPANSAO_INFLACIONARIA,2,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,0.0157012204244961,-0.0071533382245047,0.0053050358513117,0.0022804427339472,0.0011018702101086,0.0034314047695746,-0.000655427882252,0.0050901688834666,0.0044692001101664,0.0086407152592413,0.0033802496343048,0.0082514684835317,0.0498430102533927,0.0498430102533927,95.70606177756,95.70606177755997,-0.0429393822244005,-0.0429393822244005,-0.037422333947812025,-0.0374223339478123,0.0,0.0498430102533927,95.70606177755997,0.0498430102533927,95.70606177755997,-0.0374223339478123,-0.0374223339478123,0.9999999999999994,0.07104176995762115,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07104176995762118,7.104176995762115e-05,7.104176995762118e-05,0.04976842754776656,0.04976842754776656,99.42684642796513,95.59921243750615,99.32741958153717,-0.0375345212806073,95.70606177756,99.42684642796513,-0.037422333947812025,95.59921243750615,99.32741958153717,-0.0375345212806073,95.70606177756,95.59921243750615,0.0028492490278402283,True
2020-05-31,-0.0513083754709727,0.0457463884430187,0.0312908649626313,0.0128965382736307,0.0315473887353219,0.0031375372138198,0.0389297851608276,0.0142544199041538,-0.0071596307642725,0.0856541414844245,0.0393506758515871,0.1290668823373175,RECESSAO_DESINFLACIONARIA,4,EXPANSAO_INFLACIONARIA,2,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,-0.0042756979559143,0.0038121990369182,0.0026075720802192,0.0010747115228025,0.0026289490612768,0.0002614614344849,0.0032441487634023,0.0011878683253461,-0.0005966358970227,0.007137845123702,0.0032792229876322,0.0107555735281097,0.0311172180109573,0.0311172180109573,98.68416816686248,98.68416816686243,-0.0131583183313757,-0.0131583183313757,-0.007469594860787687,-0.0074695948607879,0.0,0.0311172180109573,98.68416816686243,0.0311172180109573,98.68416816686243,-0.0074695948607879,-0.0074695948607879,0.9999999999999994,0.0214663560793516,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.021466356079351587,2.14663560793516e-05,2.1466356079351586e-05,0.03109508368159597,0.03109508368159597,99.42684642796513,98.57187794814509,99.32741958153717,-0.00760657667918041,98.68416816686248,99.42684642796513,-0.007469594860787687,98.57187794814509,99.32741958153717,-0.00760657667918041,98.68416816686248,98.57187794814509,0.002358096193071146,True
2020-06-30,-0.0530015855029117,0.0391404451266315,0.0322989088591116,-0.0002776167073367,0.015040635311132,0.0003386357572798,0.0279330027089084,0.0270270270270274,0.0251267983879845,0.0902975516088846,0.1310932592419071,0.0421152605104246,RECESSAO_DESINFLACIONARIA,4,RECESSAO_DESINFLACIONARIA,4,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,-0.0044167987919093,0.0032617037605526,0.0026915757382593,-2.313472561139377e-05,0.0012533862759276,2.821964643999012e-05,0.0023277502257423,0.0022522522522522,0.0020938998656653,0.007524795967407,0.0109244382701589,0.0035096050425353,0.0314276935274202,0.0314276935274203,101.78558396001903,101.785583960019,0.0178558396001899,0.0178558396001899,0.0,0.0,0.0,0.0314276935274202,101.785583960019,0.0314276935274203,101.785583960019,0.0,0.0,0.9999999999999994,0.014851657801243555,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.014851657801243506,1.4851657801243555e-05,1.4851657801243506e-05,0.03141237511626915,0.03141237511626915,101.78558396001903,101.66825475416732,101.66825475416732,0.0,101.78558396001903,101.78558396001903,0.0,101.66825475416732,101.66825475416732,0.0,101.78558396001903,101.66825475416732,0.00212332177367136,True
2020-07-31,0.0274128936519058,-0.0664697193500737,0.0947016446336452,-0.0459450835354313,0.0069972699899409,-0.0195363707301123,0.0503710935761791,0.0727368806537831,0.08078696639838,0.0824009736393767,0.0978033328803054,0.0969309827255997,RECESSAO_DESINFLACIONARIA,4,RECESSAO_DESINFLACIONARIA,4,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,0.0022844078043254,-0.0055391432791728,0.0078918037194704,-0.0038287569612859,0.000583105832495,-0.001628030894176,0.0041975911313482,0.0060614067211485,0.006732247199865,0.0068667478032813,0.0081502777400254,0.0080775818937999,0.0398492387111249,0.0398492387111249,105.84166199259306,105.84166199259305,0.0584166199259303,0.0584166199259303,0.0,0.0,0.0,0.0398492387111249,105.84166199259305,0.0398492387111249,105.84166199259305,0.0,0.0,0.9999999999999994,0.014365763658281627,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.014365763658281676,1.4365763658281627e-05,1.4365763658281676e-05,0.0398343004827213,0.0398343004827213,105.84166199259306,105.71813856359869,105.71813856359869,0.0,105.84166199259306,105.84166199259306,0.0,105.71813856359869,105.71813856359869,0.0,105.84166199259306,105.71813856359869,0.001943464130263805,True
2020-08-31,0.4619233341810744,0.1028481012658228,0.0024454486643601,0.0458099135200109,0.0482480797448408,0.0370889330663726,-0.0106006607841498,-0.0305171278441224,-0.0283738519635227,-0.0351656778526355,-0.0833730372028046,0.1080332878317076,RECESSAO_DESINFLACIONARIA,4,RECESSAO_DESINFLACIONARIA,4,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,0.0384936111817562,0.0085706751054852,0.0002037873886966,0.0038174927933342,0.00402067331207,0.0030907444221977,-0.0008833883986791,-0.0025430939870102,-0.0023644876636268,-0.0029304731543862,-0.0069477531002337,0.0090027739859756,0.0515305618855795,0.0515305618855795,111.29574230597497,111.29574230597494,0.1129574230597494,0.1129574230597494,0.0,0.0,0.0,0.0515305618855795,111.29574230597494,0.0515305618855795,111.29574230597494,0.0,0.0,0.9999999999999994,0.023784473787217625,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.023784473787217604,2.3784473787217624e-05,2.3784473787217603e-05,0.051505551784493786,0.051505551784493786,111.29574230597497,111.16320962394641,111.16320962394641,0.0,111.29574230597497,111.29574230597497,0.0,111.16320962394641,111.16320962394641,0.0,111.29574230597497,111.16320962394641,0.001598895978929482,True
2020-09-30,-0.0391635587642843,0.0875179340028695,-0.040709481896636,0.0446196621993484,0.0309137209869638,0.0436162260071208,-0.0246173503522019,-0.0293522412581268,-0.0370525526649014,-0.048162662017678,-0.0597713116674375,0.0069999694824223,RECESSAO_DESINFLACIONARIA,4,RECESSAO_DESINFLACIONARIA,4,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,-0.0032636298970236,0.0072931611669057,-0.0033924568247196,0.003718305183279,0.0025761434155803,0.0036346855005934,-0.0020514458626834,-0.0024460201048439,-0.0030877127220751,-0.0040135551681398,-0.0049809426389531,0.0005833307902018,-0.0054301371618784,-0.0054301371618784,110.69139115972047,110.69139115972042,0.1069139115972042,0.1069139115972042,-0.005430137161878235,-0.0054301371618783,0.0,-0.0054301371618784,110.69139115972042,-0.0054301371618784,110.69139115972042,-0.0054301371618783,-0.0054301371618783,0.9999999999999994,0.041068154713815294,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041068154713815364,4.106815471381529e-05,4.106815471381536e-05,-0.005470982310879058,-0.005470982310879058,111.29574230597497,110.55503767047325,111.16320962394641,-0.005470982310879169,110.69139115972047,111.29574230597497,-0.005430137161878235,110.55503767047325,111.16320962394641,-0.005470982310879169,110.69139115972047,110.55503767047325,0.0015696620595304631,True
2020-10-31,0.3272655945283924,0.0514511873350929,-0.0053509804428802,0.0261611309065188,0.0203643429464523,0.037176698975913,0.0125539305498638,-0.0034411035016052,0.0244565217391308,-0.0069429418226945,-0.0101713454945908,0.0600794949598271,EXPANSAO_INFLACIONARIA,2,RECESSAO_DESINFLACIONARIA,4,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,0.027272132877366,0.004287598944591,-0.0004459150369066,0.0021800942422099,0.001697028578871,0.0030980582479927,0.0010461608791553,-0.0002867586251337,0.0020380434782609,-0.0005785784852245,-0.0008476121245492,0.0050066245799855,0.0444668775566183,0.0444668775566183,115.61349169699152,115.61349169699146,0.1561349169699146,0.1561349169699146,0.0,0.0,0.0,0.0444668775566183,115.61349169699146,0.0444668775566183,115.61349169699146,0.0,0.0,0.9999999999999994,0.020177751163780643,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.02017775116378067,2.0177751163780642e-05,2.0177751163780672e-05,0.0444458025638641,0.0444458025638641,115.61349169699152,115.46874504721568,115.46874504721568,0.0,115.61349169699152,115.61349169699152,0.0,115.46874504721568,115.46874504721568,0.0,115.61349169699152,115.46874504721568,0.0015696620595304631,True
