data,CDI
2020-01-31,0.0037663336752904453
2020-02-29,0.00293728631555501
2020-03-31,0.003383691484662998
2020-04-30,0.0028492490278402283
2020-05-31,0.002358096193071146
2020-06-30,0.00212332177367136
2020-07-31,0.001943464130263805
2020-08-31,0.001598895978929482
2020-09-30,0.0015696620595304631
2020-10-31,0.0015696620595304631
2020-11-30,0.001494860408406628
2020-12-31,0.0016444692975896569
2021-01-31,0.001494860408406628
2021-02-28,0.001345273865295926
2021-03-31,0.00201079883279398
2021-04-30,0.002077848024335082
2021-05-31,0.0027032626398217903
2021-06-30,0.003077789683316512
2021-07-31,0.003556161780191802
2021-08-31,0.004279524773424858
2021-09-30,0.0044199933223520995
2021-10-31,0.004859961025168724
2021-11-30,0.005867490939004627
2021-12-31,0.007690830818633421
2022-01-31,0.007322703246089635
2022-02-28,0.007550409870388908
2022-03-31,0.009270538628930902
2022-04-30,0.00834320523721388
2022-05-31,0.010345923015313565
2022-06-30,0.010153156089369508
2022-07-31,0.010348424349291951
2022-08-31,0.011693612800063312
2022-09-30,0.010719822473548524
2022-10-31,0.010206758664957682
2022-11-30,0.010206758664957682
2022-12-31,0.011233146856986398
2023-01-31,0.011233146856986398
2023-02-28,0.009181412243290275
2023-03-31,0.01174673194761211
2023-04-30,0.009181412243290275
2023-05-31,0.011233146856986398
2023-06-30,0.010719822473548524
2023-07-31,0.010719822473548524
2023-08-31,0.011374956476198017
2023-09-30,0.009729017544111374
2023-10-31,0.009975672238483167
2023-11-30,0.009159878255821983
2023-12-31,0.008945247967375058
2024-01-31,0.009666901743658139
2024-02-29,0.008002004357681836
2024-03-31,0.008316737660555074
2024-04-30,0.008874331113757794
2024-05-31,0.008324420253383646
2024-06-30,0.007883369678362895
2024-07-31,0.009071223424248707
2024-08-31,0.008675116705918473
2024-09-30,0.00835157409379228
2024-10-31,0.009279575755079428
2024-11-30,0.007929903920274706
2024-12-31,0.0093143107189948
2025-01-31,0.010132013564148279
2025-02-28,0.009853222624513602
2025-03-31,0.009640295622482142
2025-04-30,0.010558796236773471
2025-05-31,0.011387758548166316
2025-06-30,0.010970512720405834
2025-07-31,0.01275732508747951
2025-08-31,0.011641561387977896
2025-09-30,0.012199289497186738
2025-10-31,0.01275732508747951
2025-11-30,0.010527026935209127
2025-12-31,0.012199289497186738
2026-01-31,0.011641561387977896
2026-02-28,0.009970220253081365
2026-03-31,0.012120535925043807
2026-04-30,0.010900584045334004
2026-05-31,0.010734353626207227
