data,NG=F,ZC=F,GC=F,USDBRL=X,EURBRL=X,JPYBRL=X,IMAB11.SA,B5MB11.SA,IB5M11.SA,BOVV11.SA,FIND11.SA,MATB11.SA,regime_macro,codigo_regime,regime_sinal,codigo_regime_sinal,peso_NG=F,peso_ZC=F,peso_GC=F,peso_USDBRL=X,peso_EURBRL=X,peso_JPYBRL=X,peso_IMAB11.SA,peso_B5MB11.SA,peso_IB5M11.SA,peso_BOVV11.SA,peso_FIND11.SA,peso_MATB11.SA,soma_pesos,contribuicao_NG=F,contribuicao_ZC=F,contribuicao_GC=F,contribuicao_USDBRL=X,contribuicao_EURBRL=X,contribuicao_JPYBRL=X,contribuicao_IMAB11.SA,contribuicao_B5MB11.SA,contribuicao_IB5M11.SA,contribuicao_BOVV11.SA,contribuicao_FIND11.SA,contribuicao_MATB11.SA,retorno_portfolio_bruto,retorno_benchmark_estatico,indice_portfolio_bruto,indice_benchmark_estatico,retorno_acumulado_portfolio_bruto,retorno_acumulado_benchmark,drawdown_portfolio_bruto,drawdown_benchmark_estatico,diferenca_indice,retorno_portfolio,indice_portfolio,retorno_carteira_estatica,indice_carteira_estatica,drawdown_portfolio,drawdown_estatica
2020-01-31,-0.13242225301514643,-0.0261813537675597,0.03830765786425894,0.05624571994654537,0.04206500041911654,0.054441137355700775,0.0028660919043843602,0.025336476003539055,-0.003219160728599846,-0.04076839734649873,-0.05544933078393799,-0.03000001649598738,EXPANSAO_DESINFLACIONARIA,1,EXPANSAO_DESINFLACIONARIA,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,-0.011035187751262202,-0.002181779480629975,0.003192304822021578,0.0046871433288787805,0.003505416701593045,0.004536761446308398,0.00023884099203203002,0.002111373000294921,-0.0002682633940499871,-0.003397366445541561,-0.004620777565328166,-0.002500001374665615,-0.005731535720348754,-0.005731535720348753,99.42684642796512,99.42684642796512,-0.0057315357203487904,-0.0057315357203487904,0.0,0.0,0.0,-0.005731535720348754,99.42684642796512,-0.005731535720348753,99.42684642796512,0.0,0.0
2020-02-29,-0.08527971155624892,-0.038688524590163365,-0.011876965404106654,0.05718730139746464,0.0542429645851239,0.050012811364211096,4.440892098500626e-16,-0.02944011068808161,0.007813314060746368,-0.08412763660302691,-0.05384616620144833,-0.11618835740344646,EXPANSAO_INFLACIONARIA,2,EXPANSAO_DESINFLACIONARIA,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,-0.00710664262968741,-0.003224043715846947,-0.0009897471170088878,0.0047656084497887195,0.004520247048760325,0.004167734280350924,3.700743415417188e-17,-0.002453342557340134,0.0006511095050621973,-0.007010636383585575,-0.004487180516787361,-0.009682363116953871,-0.02084925675324798,-0.020849256753247985,97.35387057862272,97.35387057862272,-0.026461294213772857,-0.026461294213772857,-0.020849256753248002,-0.020849256753248002,0.0,-0.02084925675324798,97.35387057862272,-0.020849256753247985,97.35387057862272,-0.020849256753248002,-0.020849256753248002
2020-03-31,-0.02612828335226669,-0.07025920873124059,0.012339395901399763,0.15784428939959216,0.16108949574383202,0.17514302763235068,-0.07508451749334433,-0.1452014486364589,-0.12301014873534089,-0.30105991977516644,-0.3311938164621636,-0.1976670455908648,EXPANSAO_INFLACIONARIA,2,EXPANSAO_INFLACIONARIA,2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,-0.002177356946022224,-0.005854934060936715,0.0010282829917833136,0.013153690783299346,0.013424124645319335,0.014595252302695889,-0.006257043124445361,-0.012100120719704907,-0.010250845727945074,-0.025088326647930537,-0.0275994847051803,-0.01647225379923873,-0.06359901500830598,-0.06359901500830596,91.1622603025762,91.1622603025762,-0.08837739697423797,-0.08837739697423797,-0.08312227956839224,-0.08312227956839224,0.0,-0.06359901500830598,91.1622603025762,-0.06359901500830596,91.1622603025762,-0.08312227956839224,-0.08312227956839224
2020-04-30,0.18841464509395323,-0.08584005869405675,0.06366043021574086,0.02736531280736698,0.013222442521304334,0.04117685723489628,-0.007865134587025091,0.06108202660160034,0.053630401321997034,0.10368858311089668,0.040562995611658215,0.0990176218023806,EXPANSAO_INFLACIONARIA,2,EXPANSAO_INFLACIONARIA,2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0157012204244961,-0.0071533382245047294,0.005305035851311738,0.002280442733947248,0.0011018702101086944,0.00343140476957469,-0.0006554278822520909,0.005090168883466695,0.004469200110166419,0.008640715259241389,0.003380249634304851,0.008251468483531716,0.04984301025339273,0.049843010253392724,95.70606177755995,95.70606177755995,-0.042939382224400524,-0.042939382224400524,-0.03742233394781236,-0.03742233394781236,0.0,0.04984301025339273,95.70606177755995,0.049843010253392724,95.70606177755995,-0.03742233394781236,-0.03742233394781236
2020-05-31,-0.05130837547097278,0.045746388443018704,0.03129086496263134,0.012896538273630798,0.031547388735321924,0.0031375372138198188,0.03892978516082768,0.014254419904153881,-0.0071596307642725066,0.08565414148442452,0.039350675851587136,0.12906688233731756,RECESSAO_DESINFLACIONARIA,4,EXPANSAO_INFLACIONARIA,2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,-0.004275697955914398,0.003812199036918225,0.002607572080219278,0.0010747115228025663,0.0026289490612768267,0.0002614614344849849,0.0032441487634023063,0.0011878683253461566,-0.0005966358970227088,0.007137845123702043,0.003279222987632261,0.010755573528109796,0.031117218010957338,0.031117218010957338,98.68416816686243,98.68416816686243,-0.013158318331375707,-0.013158318331375707,-0.007469594860787909,-0.007469594860787909,0.0,0.031117218010957338,98.68416816686243,0.031117218010957338,98.68416816686243,-0.007469594860787909,-0.007469594860787909
2020-06-30,-0.053001585502911785,0.03914044512663151,0.032298908859111686,-0.0002776167073367253,0.015040635311132089,0.0003386357572798815,0.027933002708908417,0.027027027027027417,0.025126798387984595,0.09029755160888464,0.13109325924190718,0.04211526051042469,RECESSAO_DESINFLACIONARIA,4,RECESSAO_DESINFLACIONARIA,4,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,-0.0044167987919093155,0.0032617037605526256,0.002691575738259307,-2.313472561139377e-05,0.001253386275927674,2.8219646439990122e-05,0.002327750225742368,0.0022522522522522848,0.002093899865665383,0.007524795967407053,0.010924438270158932,0.003509605042535391,0.031427693527420295,0.0314276935274203,101.785583960019,101.785583960019,0.017855839600189993,0.017855839600189993,0.0,0.0,0.0,0.031427693527420295,101.785583960019,0.0314276935274203,101.785583960019,0.0,0.0
2020-07-31,0.0274128936519058,-0.06646971935007373,0.09470164463364528,-0.045945083535431364,0.006997269989940991,-0.019536370730112385,0.05037109357617919,0.07273688065378314,0.08078696639838001,0.0824009736393767,0.0978033328803054,0.09693098272559975,RECESSAO_DESINFLACIONARIA,4,RECESSAO_DESINFLACIONARIA,4,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0022844078043254834,-0.005539143279172811,0.00789180371947044,-0.0038287569612859467,0.0005831058324950825,-0.001628030894176032,0.004197591131348266,0.006061406721148595,0.006732247199865001,0.006866747803281392,0.00815027774002545,0.008077581893799979,0.0398492387111249,0.0398492387111249,105.84166199259303,105.84166199259303,0.05841661992593039,0.05841661992593039,0.0,0.0,0.0,0.0398492387111249,105.84166199259303,0.0398492387111249,105.84166199259303,0.0,0.0
2020-08-31,0.46192333418107445,0.10284810126582289,0.002445448664360139,0.04580991352001096,0.0482480797448408,0.03708893306637262,-0.010600660784149896,-0.030517127844122416,-0.02837385196352271,-0.03516567785263558,-0.08337303720280465,0.10803328783170763,RECESSAO_DESINFLACIONARIA,4,RECESSAO_DESINFLACIONARIA,4,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.038493611181756204,0.00857067510548524,0.00020378738869667826,0.0038174927933342464,0.004020673312070067,0.003090744422197718,-0.000883388398679158,-0.002543093987010201,-0.0023644876636268923,-0.0029304731543862983,-0.00694775310023372,0.009002773985975635,0.051530561885579515,0.05153056188557952,111.29574230597494,111.29574230597494,0.11295742305974943,0.11295742305974943,0.0,0.0,0.0,0.051530561885579515,111.29574230597494,0.05153056188557952,111.29574230597494,0.0,0.0
2020-09-30,-0.039163558764284345,0.08751793400286956,-0.040709481896636035,0.04461966219934843,0.030913720986963877,0.043616226007120895,-0.024617350352201917,-0.029352241258126854,-0.037052552664901484,-0.04816266201767805,-0.05977131166743754,0.006999969482422319,RECESSAO_DESINFLACIONARIA,4,RECESSAO_DESINFLACIONARIA,4,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,-0.0032636298970236954,0.007293161166905796,-0.0033924568247196696,0.003718305183279036,0.002576143415580323,0.003634685500593408,-0.002051445862683493,-0.0024460201048439045,-0.0030877127220751235,-0.004013555168139837,-0.004980942638953129,0.0005833307902018599,-0.00543013716187843,-0.005430137161878429,110.69139115972042,110.69139115972042,0.1069139115972042,0.1069139115972042,-0.005430137161878346,-0.005430137161878346,0.0,-0.00543013716187843,110.69139115972042,-0.005430137161878429,110.69139115972042,-0.005430137161878346,-0.005430137161878346
2020-10-31,0.32726559452839243,0.05145118733509291,-0.005350980442880293,0.026161130906518837,0.020364342946452396,0.037176698975913025,0.012553930549863868,-0.0034411035016052027,0.02445652173913082,-0.006942941822694504,-0.010171345494590867,0.06007949495982712,EXPANSAO_INFLACIONARIA,2,RECESSAO_DESINFLACIONARIA,4,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.027272132877366035,0.004287598944591076,-0.0004459150369066911,0.002180094242209903,0.0016970285788710329,0.003098058247992752,0.0010461608791553223,-0.0002867586251337669,0.0020380434782609016,-0.0005785784852245419,-0.0008476121245492388,0.005006624579985593,0.04446687755661837,0.04446687755661838,115.61349169699146,115.61349169699146,0.15613491696991466,0.15613491696991466,0.0,0.0,0.0,0.04446687755661837,115.61349169699146,0.04446687755661838,115.61349169699146,0.0,0.0
2020-11-30,-0.14072752211876038,0.05332496863237157,-0.054170699861329275,-0.07534007184165925,-0.052608198485068036,-0.0712721718037842,0.0021955077912345633,0.028042275962473218,-0.002652519893898808,0.16112286905316386,0.1792695551278085,0.1444964416558152,EXPANSAO_INFLACIONARIA,2,EXPANSAO_INFLACIONARIA,2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,-0.011727293509896698,0.004443747386030964,-0.004514224988444106,-0.006278339320138271,-0.004384016540422336,-0.0059393476503153495,0.00018295898260288027,0.002336856330206101,-0.00022104332449156733,0.013426905754430321,0.014939129593984041,0.0120413701379846,0.014306702851530583,0.014306702851530581,117.26753956832823,117.26753956832823,0.17267539568328227,0.17267539568328227,0.0,0.0,0.0,0.014306702851530583,117.26753956832823,0.014306702851530581,117.26753956832823,0.0,0.0
