data,IPCA_VARIACAO_3M_PP,IBC_BR_TENDENCIA_3M_PCT
2004-06-30,,1.8028125205746148
2004-07-31,,1.2953043756239735
2004-08-31,,1.3612748771823835
2004-09-30,,1.5654890789633447
2004-10-31,,1.4325943213866266
2004-11-30,,1.3521540273298216
2004-12-31,,0.6088163382630185
2005-01-31,,0.6845488050815085
2005-02-28,,0.3705934956756751
2005-03-31,-0.06393312630423864,0.9604346769309435
2005-04-30,0.6639886186341935,1.1328059757830244
2005-05-31,0.6638352516411317,1.2251285519914168
2005-06-30,-0.2690141773723287,0.7532377003992563
2005-07-31,-1.5062980363040666,0.006526645547766385
2005-08-31,-2.0351396331993232,-0.20717976369303281
2005-09-30,-1.230795390800532,-0.041094382492068426
2005-10-31,-0.20193860435535615,0.3889178583878383
2005-11-30,0.20051839127428472,0.5434361097725215
2005-12-31,-0.3471680977246594,0.9338974802533873
2006-01-31,-0.6639344581169437,1.5477466934645134
2006-02-28,-0.7051895309044154,1.9001519420447366
2006-03-31,-0.36740494188212125,1.5639903965958046
2006-04-30,-1.0670448884257056,0.959529344646981
2006-05-31,-1.2839800822755931,1.0121984038403253
2006-06-30,-1.293282731804024,1.0325489764604123
2006-07-31,-0.6664125850105451,1.502010568625911
2006-08-31,-0.3848813175187482,1.132471060897866
2006-09-30,-0.3316822587718704,1.6061728806297193
2006-10-31,-0.7017072613209274,1.3844217990089058
2006-11-30,-0.8236393938917175,1.8357901036000213
2006-12-31,-0.5555884450962223,2.1346075684223864
2007-01-31,-0.2771068812796873,2.2298394059958815
2007-02-28,0.0001438926477081992,1.933130869147659
2007-03-31,-0.18458157237268846,0.6821938601472066
2007-04-30,0.010320213882497598,0.47042100813068366
2007-05-31,0.16476169114736372,0.6234209140952629
2007-06-30,0.7329714356407724,1.8039674093395242
2007-07-31,0.7436216246540006,2.242897027810442
2007-08-31,0.9939081939771333,2.2042894630840193
2007-09-30,0.45605731439273267,1.829427934187966
2007-10-31,0.3731694498171789,1.7289304286376206
2007-11-30,0.010326495480694753,1.8056503415903036
2007-12-31,0.3111082872725879,1.8371693237288156
2008-01-31,0.44624911989725735,1.47517300889759
2008-02-29,0.4256454325497483,1.1864646512550703
2008-03-31,0.2707018825744756,0.3255528220834858
2008-04-30,0.4801027464191199,0.20987868874384752
2008-05-31,0.9622666129784685,0.45186817425657555
2008-06-30,1.3319080651035486,1.801689037261367
2008-07-31,1.3253448869478879,2.2684748547548317
2008-08-31,0.5899779165860375,2.107085790659724
2008-09-30,0.19046584862720817,1.0965747541752169
2008-10-31,0.04252734393050961,-0.15596069671749424
2008-11-30,0.2224775137540158,-2.0009514297103626
2008-12-31,-0.34809281201757525,-4.427268891203118
2009-01-31,-0.570191832094169,-5.618042458675654
2009-02-28,-0.48579671771447064,-4.907925467393026
2009-03-31,-0.2951162214780645,-2.192325954837071
2009-04-30,-0.3054367883362996,0.24114128441807825
2009-05-31,-0.7036913912834342,1.6637980605752611
2009-06-30,-0.8053997434945392,1.9370572740075254
2009-07-31,-1.0342019704020489,1.976061078265623
2009-08-31,-0.8346111866454731,2.134670779075032
2009-09-30,-0.4586115745119468,2.3739279302124494
2009-10-31,-0.332877439819268,2.823041742756627
2009-11-30,-0.145510967646012,2.569497096879725
2009-12-31,-0.031157548350946307,2.4656694295809523
2010-01-31,0.4257282688393538,2.388047843953034
2010-02-28,0.613078290245328,3.1189029268451796
2010-03-31,0.8543349904116315,3.49210953129655
2010-04-30,0.6682355183753153,3.310688441134979
2010-05-31,0.3870817654737513,2.245003402519896
2010-06-30,-0.3251380924451652,0.8766820325624147
2010-07-31,-0.6598931511273998,-0.059490417406349305
2010-08-31,-0.732874292810437,0.023529409302658344
2010-09-30,-0.13655109285894973,0.9192008312510325
2010-10-31,0.5947442895195998,1.4802773020601512
2010-11-30,1.149649353679738,1.7741102014352972
2010-12-31,1.204394212468718,1.0342675623914888
2011-01-31,0.7977528408592338,1.0214768149833908
2011-02-28,0.3787707419997677,0.5990574595401421
2011-03-31,0.38988869305578433,1.1788541425180155
2011-04-30,0.5171851364862867,0.8943026530976672
2011-05-31,0.5385722996865905,0.7751204528914091
2011-06-30,0.41364385832116657,0.4314036403768151
2011-07-31,0.36230378025134957,0.5322083609499595
2011-08-31,0.672420795695583,0.5836130991436539
2011-09-30,0.597987510686715,0.36049407250673404
2011-10-31,0.09709701372528912,0.02397941383978086
2011-11-30,-0.5843182804239122,-0.017049089550380536
2011-12-31,-0.8074793687010473,-0.16852585066232662
2012-01-31,-0.7518330743630841,-0.616167258479039
2012-02-29,-0.7917687365940118,-1.1201622688713497
2012-03-31,-1.2631163416501057,-1.115777601121759
2012-04-30,-1.1136916228677407,-0.25079135321695034
