segmento,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
Commodities,80,1.3815748091838662,0.1390155002377833,0.24020099769438452,0.26424655806335606,-0.41070413306075604,0.525,0.1890722947037525,-0.12265239011004277
Moedas,80,0.14299024978102892,0.020249472384348044,0.12387882097147349,-0.5254703321963458,-0.2719632875473239,0.55,0.1646922709252583,-0.0863560088652513
Renda Fixa,80,0.36444566342220774,0.04771566369173219,0.11420848231773918,-0.3662072910156312,-0.12081603769092142,0.575,0.23180610007144598,-0.11443203828838137
Renda Variável,80,0.6261726078344334,0.07565994339881144,0.22088900864595884,0.018375889112645972,-0.33792381859971643,0.5875,0.16162962194559585,-0.2766402606093983
