data,Commodities,Moedas,Renda Fixa,Renda Variável
2020-01-31,-0.0400986496394824,0.05091728590712089,0.008327802393107856,-0.042072581542141364
2020-02-29,-0.04528173385017298,0.053814359115599876,-0.0072089322091116,-0.08472072006930724
2020-03-31,-0.028016032060702505,0.1646922709252583,-0.11443203828838137,-0.2766402606093983
2020-04-30,0.055411672205212446,0.027254870854522533,0.03561576444552409,0.08108973350831183
2020-05-31,0.008576292644892422,0.015860488074257512,0.015341524766903017,0.0846905665577764
2020-06-30,0.006145922827610469,0.005033884787025082,0.026695609374640144,0.08783535712040551
2020-07-31,0.018548272978492448,-0.019494728091867586,0.06796498020944745,0.09237842974842729
2020-08-31,0.1890722947037525,0.043715642110408126,-0.023163880197265008,-0.003501809074577533
2020-09-30,0.0025482977806497256,0.039716536397811066,-0.030340714758410086,-0.03364466806756442
2020-10-31,0.12445526714020168,0.027900724276294753,0.01118978292912983,0.01432173588084725
2020-11-30,-0.04719108444923936,-0.06640681404350383,0.009195087953269657,0.16162962194559585
2020-12-31,0.01191851847276145,-0.015477903526177136,0.056198669904245824,0.10927629065101274
2021-01-31,0.06277073005357965,0.037714552543717694,-0.006245562540329115,-0.03216507949111247
2021-02-28,0.010581966802650592,0.0112096353323341,-0.01814155423575488,-0.005952878792541323
2021-03-31,-0.01711561684124237,0.018865455870776815,-0.012158064847319886,0.06025152731730351
2021-04-30,0.15551408698142488,-0.06069089648430811,0.011983175629512566,0.053099379481107656
2021-05-31,-0.00574473441303643,-0.019393172072101523,0.010975090912490751,0.027598689612339505
2021-06-30,0.08315132281063453,-0.0636070205072365,-0.0010654622192064107,0.0022543296904488086
2021-07-31,-0.04811464035454297,0.028497022428278857,-0.0006391787420005901,-0.031647541504239284
2021-08-31,0.03195044708598623,0.015805416761372076,-0.019577704636383936,-0.032858301820998435
2021-09-30,0.1042243851640684,0.03263870563942787,-0.002951539539120529,-0.08285872004352908
2021-10-31,-0.00023296350131348417,0.04012353964512183,-0.04043781864999237,-0.0690856470132194
2021-11-30,-0.055261209873033255,-0.019549165115220164,0.04047886554117038,-0.0024210272482233877
2021-12-31,-0.049027975136264335,0.016750254855236735,-0.01897678193628838,0.03409148414127724
2022-01-31,0.13642926284976162,-0.06594600258377743,0.002333193892926707,0.08190801337620046
2022-02-28,0.007200150990802771,-0.04475361159942626,-0.0089265977455358,-0.008688399383417292
2022-03-31,0.14358613945879273,-0.0863560088652513,0.022323816004954183,0.0670851712652644
2022-04-30,0.11876443138672584,-0.00800128778235635,7.401486830834377e-17,-0.10917647870179055
2022-05-31,0.0034548757586467063,-0.021711285817056353,0.0023048845231754544,0.04775204160536339
2022-06-30,-0.12265239011004277,0.05582787736366609,-0.005583881663812666,-0.13097371102773125
2022-07-31,0.10762689269597887,-0.0024972427467357208,-0.0031746085568918523,0.021214509629586525
2022-08-31,0.05800448363682198,-0.027323212266752828,0.008226514336347282,0.042071379512119624
2022-09-30,-0.09418089732709889,0.032886777589644346,0.005699785656792041,0.01982013678999432
2022-10-31,-0.01867382371798147,-0.021732445717360105,0.0007517293163382307,0.060888367423351575
2022-11-30,0.03837380368374318,0.028437642774450267,-0.008455203752649446,-0.011487986996909894
2022-12-31,-0.09120145279650067,0.020795222882185233,-0.0012943042048032167,-0.008782953255872231
2023-01-31,-0.11681677134698239,-0.012822093976861551,0.0007374599259856544,0.03379032535303694
2023-02-28,-0.034196556057747,-0.005306704855444266,0.0038543962131640797,-0.0684514041390853
2023-03-31,-0.022484302368819115,-0.0036220809135601626,0.011500223696725875,-0.03628328163384975
2023-04-30,0.020389367211845772,-0.02081931178972692,0.011016216927093314,0.019787397761399855
2023-05-31,-0.046317978810344974,-0.011958950381120529,0.013029963748257748,0.03963220094765396
2023-06-30,0.04882774921282259,-0.042613434369040894,0.00960759190673984,0.07198987709226483
2023-07-31,-0.04132396558110526,-0.014386938729856155,0.005336227238349034,0.04317804848672043
2023-08-31,-0.016945378336532608,0.01879900823925758,-0.0032825977444765897,-0.05049978012185256
2023-09-30,0.01528106226366662,0.012657739358752362,-0.0072633998371430435,0.0008022710007001462
2023-10-31,0.0996441677833592,0.00439616511978369,-0.003789639612956678,-0.036211196916190756
2023-11-30,-0.07502857003365045,-0.0135911283332076,0.011125653594433368,0.13073241752139841
2023-12-31,-0.01426710593631253,0.0020179224561360787,0.013661445849774431,0.06656252973909631
2024-01-31,-0.08194805379680414,0.0035188574270923847,-0.003997906259631145,-0.06296071251987201
2024-02-29,-0.06270264278107877,-0.003628982332211095,0.00046914154435095945,0.012380973951568638
2024-03-31,0.03164016510655343,0.0021975077056213266,-0.0014933079270377236,0.008468066294397189
2024-04-30,0.05234711659494765,0.011510818523100949,-0.009000279827489596,-0.04093627155726739
2024-05-31,0.10948412932461508,0.0191605825919412,0.003627473819317236,-0.0337785654348726
2024-06-30,-0.03410859179276823,0.04510199621447897,-0.005890975745730387,0.01828569112217811
2024-07-31,-0.07042658349521091,0.041762347598024364,0.007579902172814161,0.011772488584311791
2024-08-31,0.020006924160653677,0.02795973285168703,0.0038694022578080003,0.06886136887623384
2024-09-30,0.18499159273486612,-0.026842588286709008,-0.004825372573028212,-0.01385864345538009
2024-10-31,-0.022695965751758956,0.026611397278054134,-0.0064785733371807526,-0.017561702202532687
2024-11-30,0.08082272388404017,0.039170423975150546,-0.0013396736935655795,-0.03236675609575257
2024-12-31,0.07345855887381143,0.009703067701355206,-0.012869891933004288,-0.03508871946003463
2025-01-31,-0.027215032639457903,-0.043875638150817776,0.0014626826812872047,0.05043286422447002
2025-02-28,0.06967946611005338,0.0032505431602355785,0.0003799118166923539,-0.03485210281562956
2025-03-31,0.06114056541397428,0.0005829472083384765,0.008411586314715466,0.05551844667104433
2025-04-30,-0.03743584068935787,0.009474983727954115,0.009037353300175077,0.026380448417494057
2025-05-31,-0.0060835380691721674,0.004175037525413668,0.008228221813121772,0.004451079515115437
2025-06-30,-0.016214883977770673,-0.024571625264305896,0.004864907371452842,0.012474987572453763
