regime,nome_regime,meses,frequencia,retorno_estrategia,volatilidade_estrategia,drawdown_estrategia,retorno_benchmark,volatilidade_benchmark,drawdown_benchmark,retorno_cdi,volatilidade_cdi,drawdown_cdi,excesso_vs_benchmark
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,34,0.44155844155844154,0.06087546356252416,0.07470611342510826,-0.0802650046127873,0.06087546356252416,0.07470611342510826,-0.0802650046127873,0.3922043676112503,0.005743994351632513,0.0,0.0
EXPANSAO_INFLACIONARIA,Expansão inflacionária,30,0.38961038961038963,0.27464970274346445,0.09335534222400874,-0.0636215268498781,0.27464970274346445,0.09335534222400874,-0.0636215268498781,0.23157386081703324,0.01348784236874729,0.0,0.0
ESTAGFLACAO,Estagflação,5,0.06493506493506493,0.006878144982608081,0.03289961440619403,-0.014180174645428867,0.006878144982608081,0.03289961440619403,-0.014180174645428867,0.01816621360224069,0.002576414027101912,0.0,0.0
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,8,0.1038961038961039,0.26486093451697634,0.05718704899862895,-0.005470982310878947,0.26486093451697634,0.05718704899862895,-0.005470982310878947,0.04587947772723533,0.017917136198143332,0.0,0.0
