regime,nome_regime,meses,frequencia,retorno_estrategia,volatilidade_estrategia,drawdown_estrategia,retorno_benchmark,volatilidade_benchmark,drawdown_benchmark,retorno_cdi,volatilidade_cdi,drawdown_cdi,excesso_vs_benchmark
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,0.4375,0.011995236178977908,0.05560386305193489,-0.0802650046127873,0.011995236178977908,0.05560386305193489,-0.0802650046127873,0.22607791811346734,0.006067889247179654,0.0,0.0
EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,0.3541666666666667,0.13907211679724218,0.1144464859650863,-0.0636215268498781,0.13907211679724218,0.1144464859650863,-0.0636215268498781,0.0816233104848576,0.012277840113429174,0.0,0.0
ESTAGFLACAO,Estagflação,5,0.10416666666666667,0.006878144982608081,0.03289961440619403,-0.014180174645428867,0.006878144982608081,0.03289961440619403,-0.014180174645428867,0.01816621360224069,0.002576414027101912,0.0,0.0
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,5,0.10416666666666667,0.15644297533040663,0.0738930218568956,-0.005470982310878947,0.15644297533040663,0.0738930218568956,-0.005470982310878947,0.009630093328033329,0.0011742926917386297,0.0,0.0
