periodo,meses,retorno_estrategia,retorno_benchmark,retorno_cdi,excesso_vs_benchmark,excesso_vs_cdi
2020,12,0.21853717059406175,0.21853717059406175,0.027578158163063637,0.0,0.1909590124309981
2021,12,0.04290558582122439,0.04290558582122439,0.04423619738147111,0.0,-0.0013306115602467194
2022,12,0.05533300804905217,0.05533300804905217,0.12390989066133318,0.0,-0.06857688261228101
2023,12,0.0008235792167197165,0.0008235792167197165,0.13039434525537663,0.0,-0.12957076603865691
2024,12,0.08307294211576965,0.08307294211576965,0.10875983174468717,0.0,-0.02568688962891752
2025,12,0.12776979135474864,0.12776979135474864,0.14324226892248992,0.0,-0.015472477567741283
2026,8,0.05042719891341063,0.05042719891341063,0.0566056848875105,0.0,-0.006178485974099868
