data,retorno_estrategia_12m,retorno_benchmark_12m,retorno_cdi_12m,excesso_vs_benchmark,excesso_vs_cdi
2020-12-31,0.21853717059406175,0.21853717059406175,0.027578158163063637,0.0,0.1909590124309981
2021-01-31,0.24578970428298197,0.24578970428298197,0.0252527999222123,0.0,0.22053690436076967
2021-02-28,0.2715856068548832,0.2715856068548832,0.023625364942568394,0.0,0.2479602419123148
2021-03-31,0.3748769514605559,0.3748769514605559,0.022224776360431076,0.0,0.3526521751001248
2021-04-30,0.36203244034400206,0.36203244034400206,0.02143847152043965,0.0,0.3405939688235624
2021-05-31,0.3253470500269424,0.3253470500269424,0.02179020837888168,0.0,0.30355684164806074
2021-06-30,0.29161807107847526,0.29161807107847526,0.022763407927377743,0.0,0.2688546631510975
2021-07-31,0.2259883611053619,0.2259883611053619,0.024409616724027083,0.0,0.20157874438133483
2021-08-31,0.16454413153716474,0.16454413153716474,0.027151294981634155,0.0,0.13739283655553058
2021-09-30,0.18587835820255783,0.18587835820255783,0.030074428098219697,0.0,0.15580393010433813
2021-10-31,0.11561288213905163,0.11561288213905163,0.03345836927943768,0.0,0.08215451285961395
2021-11-30,0.08977194643448216,0.08977194643448216,0.037970555808054085,0.0,0.05180139062642808
2021-12-31,0.04290558582122439,0.04290558582122439,0.04423619738147111,0.0,-0.0013306115602467194
2022-01-31,0.0666978301268184,0.0666978301268184,0.050312758215021125,0.0,0.016385071911797278
2022-02-28,0.05257022134129774,0.05257022134129774,0.05682133590815863,0.0,-0.004251114566860892
2022-03-31,0.07773168906087147,0.07773168906087147,0.06447818742975486,0.0,0.013253501631116604
2022-04-30,0.03669262819680785,0.03669262819680785,0.0711336943873373,0.0,-0.034441066190529446
2022-05-31,0.041437741738344025,0.041437741738344025,0.07929793534272833,0.0,-0.03786019360438431
2022-06-30,-0.016611989868297594,-0.016611989868297594,0.08691093249248838,0.0,-0.10352292236078597
2022-07-31,0.026974764923375583,0.026974764923375583,0.09426735630201244,0.0,-0.06729259137863686
2022-08-31,0.048975001699038456,0.048975001699038456,0.1023457789962623,0.0,-0.05337077729722384
2022-09-30,0.026482667054125386,0.026482667054125386,0.10925980910258093,0.0,-0.08277714204845554
