periodo,ticker,segmento,retorno,meses
2020,GC=F,Commodities,0.24040669071827292,12
2020,NG=F,Commodities,0.14137603924716569,12
2020,ZC=F,Commodities,0.2120051085568404,12
2020,EURBRL=X,Moedas,0.4215181978034508,12
2020,JPYBRL=X,Moedas,0.361839871307605,12
2020,USDBRL=X,Moedas,0.2968652199888189,12
2020,B5MB11.SA,Renda Fixa,0.041666657228088155,12
2020,IB5M11.SA,Renda Fixa,0.025856674816838954,12
2020,IMAB11.SA,Renda Fixa,0.05784255717101461,12
2020,BOVV11.SA,Renda Variável,0.002935982525038794,12
2020,FIND11.SA,Renda Variável,-0.09460805159909524,12
2020,MATB11.SA,Renda Variável,0.4737837507918141,12
2021,GC=F,Commodities,-0.04140668896251587,12
2021,NG=F,Commodities,0.4702725886352157,12
2021,ZC=F,Commodities,0.25605900948367255,12
2021,EURBRL=X,Moedas,0.0147801434786492,12
2021,JPYBRL=X,Moedas,-0.013895284280995734,12
2021,USDBRL=X,Moedas,0.09486236025878103,12
2021,B5MB11.SA,Renda Fixa,-0.0643230084851879,12
2021,IB5M11.SA,Renda Fixa,-0.07885414357054066,12
2021,IMAB11.SA,Renda Fixa,-0.029556576190684525,12
2021,BOVV11.SA,Renda Variável,-0.11885245378587594,12
2021,FIND11.SA,Renda Variável,-0.24776140295790317,12
2021,MATB11.SA,Renda Variável,0.1182835303012808,12
2022,GC=F,Commodities,0.003751337237991148,12
2022,NG=F,Commodities,0.28025831959297043,12
2022,ZC=F,Commodities,0.14010067114094582,12
2022,EURBRL=X,Moedas,-0.13695268032997931,12
2022,JPYBRL=X,Moedas,-0.2079587059455994,12
2022,USDBRL=X,Moedas,-0.07643751219225625,12
2022,B5MB11.SA,Renda Fixa,-0.01269293214247158,12
2022,IB5M11.SA,Renda Fixa,0.04307690295544986,12
2022,IMAB11.SA,Renda Fixa,0.008883209659046765,12
2022,BOVV11.SA,Renda Variável,0.054579972314031,12
2022,FIND11.SA,Renda Variável,0.11667601385269011,12
2022,MATB11.SA,Renda Variável,-0.056083932348608756,12
2023,GC=F,Commodities,0.1398185778201495,12
2023,NG=F,Commodities,-0.4391314074927516,12
2023,ZC=F,Commodities,-0.302060338484176,12
2023,EURBRL=X,Moedas,-0.04123270059408002,12
2023,JPYBRL=X,Moedas,-0.1315856168711882,12
2023,USDBRL=X,Moedas,-0.08367510828154257,12
2023,B5MB11.SA,Renda Fixa,0.0,12
2023,IB5M11.SA,Renda Fixa,0.2121786744433194,12
2023,IMAB11.SA,Renda Fixa,0.0,12
2023,BOVV11.SA,Renda Variável,0.22952302411898984,12
2023,FIND11.SA,Renda Variável,0.34302091485216124,12
2023,MATB11.SA,Renda Variável,0.07539958389580903,12
2024,GC=F,Commodities,0.256618072410856,12
2024,NG=F,Commodities,0.5393039613196944,12
2024,ZC=F,Commodities,-0.046389035318916694,12
2024,EURBRL=X,Moedas,0.19998510050749796,12
2024,JPYBRL=X,Moedas,0.15041033875029575,12
2024,USDBRL=X,Moedas,0.283375810747196,12
2024,B5MB11.SA,Renda Fixa,0.0,12
2024,IB5M11.SA,Renda Fixa,-0.08891009859729038,12
2024,IMAB11.SA,Renda Fixa,0.0,12
2024,BOVV11.SA,Renda Variável,-0.10021963272118195,12
2024,FIND11.SA,Renda Variável,-0.14152003814296732,12
2024,MATB11.SA,Renda Variável,-0.11906304628280795,12
2025,GC=F,Commodities,0.67687346375776,12
2025,NG=F,Commodities,0.009146284029091678,12
2025,ZC=F,Commodities,-0.025981205085677472,12
2025,EURBRL=X,Moedas,0.018664130576603544,12
2025,JPYBRL=X,Moedas,-0.09079792028360756,12
2025,USDBRL=X,Moedas,-0.10084439835461867,12
2025,B5MB11.SA,Renda Fixa,0.0,12
2025,IB5M11.SA,Renda Fixa,0.1357435417245625,12
2025,IMAB11.SA,Renda Fixa,0.0,12
2025,BOVV11.SA,Renda Variável,0.34879174875823726,12
2025,FIND11.SA,Renda Variável,0.46253807626800025,12
2025,MATB11.SA,Renda Variável,0.11516601383785252,12
2026,GC=F,Commodities,-0.05276769238762036,8
2026,NG=F,Commodities,-0.32854981534864425,8
2026,ZC=F,Commodities,0.05561861520999245,8
2026,EURBRL=X,Moedas,-0.10116192134385626,8
2026,JPYBRL=X,Moedas,-0.09437349457328292,8
2026,USDBRL=X,Moedas,-0.08214971698950524,8
2026,B5MB11.SA,Renda Fixa,0.33580171139170156,8
2026,IB5M11.SA,Renda Fixa,0.031496724986532776,8
2026,IMAB11.SA,Renda Fixa,0.4344654203211049,8
2026,BOVV11.SA,Renda Variável,0.11346361260163973,8
2026,FIND11.SA,Renda Variável,0.09464462708239108,8
2026,MATB11.SA,Renda Variável,0.051636232835669205,8
