data,regime,ticker,segmento,peso,retorno_ativo,contribuicao
2024-01-31,EXPANSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,-0.012295675394546235,-0.0010246396162121858
2024-02-29,EXPANSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,-0.0013180781588523205,-0.00010983984657102666
2024-03-31,EXPANSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.083932128498863,0.006994344041571914
2024-04-30,EXPANSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.033372419617131,0.002781034968094249
2024-05-31,EXPANSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.01374705478855165,0.0011455878990459703
2024-06-30,EXPANSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.0020664036462711977,0.00017220030385593307
2024-07-31,EXPANSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.04244535416963213,0.0035371128474693428
2024-08-31,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.027735441511694825,0.0023112867926412344
2024-09-30,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.05706153101368172,0.004755127584473475
2024-10-31,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.03876937422169302,0.0032307811851410837
2024-11-30,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,-0.029689970922987752,-0.0024741642435823115
2024-12-31,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,-0.01915690716738727,-0.0015964089306156053
2025-01-31,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.07919876236886347,0.006599896864071954
2025-02-28,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.008640017361110752,0.0007200014467592291
2025-03-31,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.10081782116372584,0.00840148509697715
2025-04-30,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.05834505838446136,0.004862088198705111
2025-05-31,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,-0.004871436507185356,-0.00040595304226544616
2025-06-30,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.0016722916973179736,0.0001393576414431644
2025-07-31,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,-0.0003642396817153948,-3.035330680961622e-05
2025-08-31,EXPANSAO_INFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.05480991214510755,0.004567492678758961
2025-09-30,RECESSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.10567985226599852,0.008806654355499873
2025-10-31,RECESSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.03681522092952938,0.0030679350774607803
2025-11-30,RECESSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.0592887992593516,0.004940733271612631
2025-12-31,EXPANSAO_DESINFLACIONARIA,GC=F,Commodities,0.0833333333333333,0.03598613185342314,0.002998844321118594
2024-01-31,EXPANSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.17872508061895565,-0.014893756718246299
2024-02-29,EXPANSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.11428566725075362,-0.009523805604229465
2024-03-31,EXPANSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.05215053877150666,-0.004345878230958887
2024-04-30,EXPANSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.12932503876499624,0.010777086563749682
2024-05-31,EXPANSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.29934697141054856,0.024945580950879037
2024-06-30,EXPANSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.005411742544050968,0.0004509785453375805
2024-07-31,EXPANSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.217224160665335,-0.01810201338877791
2024-08-31,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.044695520388945864,0.0037246266990788204
2024-09-30,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.37423599851366696,0.031186333209472235
2024-10-31,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.07389670643871227,-0.006158058869892687
2024-11-30,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.24233464896585621,0.02019455408048801
2024-12-31,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.17038364761860825,0.014198637301550682
2025-01-31,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.22662606039779642,-0.018885505033149695
2025-02-28,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.25952701167444325,0.021627250972870264
2025-03-31,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.07433485633508763,0.0061945713612573
2025-04-30,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.19252245470075868,-0.016043537891729884
2025-05-31,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.036380051834178584,0.0030316709861815476
2025-06-30,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.0026109842972974473,0.0002175820247747872
2025-07-31,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.1012731869133312,-0.008439432242777597
2025-08-31,EXPANSAO_INFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.03509335783942635,-0.0029244464866188618
2025-09-30,RECESSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.10210210090762217,0.008508508408968512
2025-10-31,RECESSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.24856194544942567,0.020713495454118797
2025-11-30,RECESSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,0.1760426332186913,0.014670219434890936
2025-12-31,EXPANSAO_DESINFLACIONARIA,NG=F,Commodities,0.0833333333333333,-0.1810309357206783,-0.015085911310056519
2024-01-31,EXPANSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.05482340537691055,-0.004568617114742544
2024-02-29,EXPANSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.07250418293363037,-0.006042015244469195
2024-03-31,EXPANSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.06313890559230395,0.005261575466025327
2024-04-30,EXPANSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.005656108597284271,-0.00047134238310702237
2024-05-31,EXPANSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.015358361774745033,0.0012798634812287522
2024-06-30,EXPANSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.10980392156862684,-0.009150326797385566
2024-07-31,EXPANSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.03650094398992987,-0.0030417453324941544
2024-08-31,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.012410189418679662,-0.001034182451556638
2024-09-30,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.12367724867724972,0.010306437389770806
2024-10-31,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.032960565038257617,-0.002746713753188134
2024-11-30,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.029823493609252072,0.0024852911341043385
2024-12-31,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.06914893617021334,0.005762411347517776
2025-01-31,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.06578220011055924,0.005481850009213268
2025-02-28,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.05912863070539387,-0.004927385892116154
2025-03-31,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.008269018743109369,0.0006890848952591138
2025-04-30,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.02186987424822373,0.0018224895206853102
2025-05-31,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.04975922953450973,-0.004146602461209142
2025-06-30,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.05292792792792744,-0.0044106606606606185
2025-07-31,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,-0.06302021403091573,-0.005251684502576309
2025-08-31,EXPANSAO_INFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.01015228426396031,0.0008460236886633588
2025-09-30,RECESSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.04396984924623171,0.0036641541038526407
2025-10-31,RECESSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.038507821901323736,0.0032089851584436433
2025-11-30,RECESSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.009269988412514474,0.0007724990343762058
2025-12-31,EXPANSAO_DESINFLACIONARIA,ZC=F,Commodities,0.0833333333333333,0.011481056257176325,0.0009567546880980268
2024-01-31,EXPANSAO_DESINFLACIONARIA,EURBRL=X,Moedas,0.0833333333333333,0.0005600215464109937,4.666846220091612e-05
2024-02-29,EXPANSAO_DESINFLACIONARIA,EURBRL=X,Moedas,0.0833333333333333,0.0038429671859119274,0.0003202472654926605
2024-03-31,EXPANSAO_DESINFLACIONARIA,EURBRL=X,Moedas,0.0833333333333333,0.001598170987016756,0.0001331809155847296
