ticker,segmento,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
GC=F,Commodities,24,1.1071894997041918,0.45161616817400874,0.13018922808060446,2.0673870184195726,-0.048278110073601055,0.75,0.10567985226599852,-0.029689970922987752
NG=F,Commodities,24,0.5533828725570307,0.24634781363671943,0.61310349515137,0.45118644069984215,-0.2723962103542993,0.5833333333333334,0.37423599851366696,-0.22662606039779642
FIND11.SA,Renda Variável,24,0.2555596319290112,0.12051757323524881,0.20728981691915235,0.07404682683821531,-0.16332188172506157,0.5833333333333334,0.1315441825424961,-0.081403584302006
EURBRL=X,Moedas,24,0.2223817791133489,0.10561375674932205,0.08036599888659846,-0.18659235464861204,-0.05670095713813328,0.625,0.05500970063538224,-0.05094557842353353
BOVV11.SA,Renda Variável,24,0.21361633508032596,0.10164256230427382,0.1277450353922599,-0.1124411844519573,-0.11384278034284834,0.5833333333333334,0.06659492547846035,-0.04795023981766289
USDBRL=X,Moedas,24,0.1539545492495238,0.07422276518863802,0.10164957084135569,-0.41126548948015307,-0.14078818211842836,0.625,0.06057206418046479,-0.05153624607652585
JPYBRL=X,Moedas,24,0.04595547251900811,0.02271964512226332,0.10708398207785662,-0.8367885407976962,-0.1389419625657331,0.375,0.07486186230544711,-0.03754950281543856
IB5M11.SA,Renda Fixa,24,0.034764471448595735,0.017233734914742005,0.06371009337100184,-1.5970373695171978,-0.07914612435591473,0.5833333333333334,0.03437230494115351,-0.038609675799012866
IMAB11.SA,Renda Fixa,24,0.0,0.0,0.0,-21.815256429145123,0.0,0.0,0.0,0.0
B5MB11.SA,Renda Fixa,24,0.0,0.0,0.0,-21.815256429145123,0.0,0.0,0.0,0.0
MATB11.SA,Renda Variável,24,-0.01760904888073822,-0.008843629330234415,0.15010818681458335,-0.787667621293061,-0.1694257173096645,0.5,0.08725194066669184,-0.09450730443637467
ZC=F,Commodities,24,-0.07116499736424653,-0.036239136177571574,0.19029420208515158,-0.7285749170628392,-0.18257261410788184,0.5416666666666666,0.12367724867724972,-0.10980392156862684
