regime,nome_regime,ticker,segmento,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,GC=F,Commodities,34,0.6325439232604348,0.1888547006927377,0.16070439863127955,0.42935226814034366,-0.12809482841028363,0.5882352941176471,0.1095908076875789,-0.11144248204640961
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,NG=F,Commodities,34,-0.7806094678884191,-0.4145515452427735,0.6459722622342166,-0.6544186328272443,-0.872732604730182,0.47058823529411764,0.29934697141054856,-0.4112744009046827
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,ZC=F,Commodities,34,-0.31690700395019755,-0.12585975114712522,0.1948421252773136,-1.1930132125275317,-0.4855740406786987,0.5,0.1353297952994692,-0.10980392156862684
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,EURBRL=X,Moedas,34,-0.0001831067178355017,-6.462972926224442e-05,0.09638597538750707,-1.1601689321841786,-0.14395637492727564,0.5294117647058824,0.05500970063538224,-0.07155577999214724
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,JPYBRL=X,Moedas,34,-0.2235612045444374,-0.0854355509625575,0.13280045141201735,-1.4784055685240522,-0.29180960526954136,0.4411764705882353,0.07486186230544711,-0.11869416823631118
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,USDBRL=X,Moedas,34,-0.0326912577275148,-0.01166236336331139,0.11708274945239942,-1.0312890520184352,-0.18275548363252558,0.5294117647058824,0.057361529677457,-0.06881807836729548
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,B5MB11.SA,Renda Fixa,34,0.38616177751650005,0.12215273298193963,0.18316457915096093,0.06617167879004872,-0.011715771605552261,0.14705882352941177,0.30731251899403755,-0.011715771605552261
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,IB5M11.SA,Renda Fixa,34,0.2602482831530841,0.085063361456853,0.07956002496793622,-0.41067562432834753,-0.048322594094981186,0.5882352941176471,0.07235136116675123,-0.03407487072874971
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,IMAB11.SA,Renda Fixa,34,0.43451914914425127,0.13581636955328036,0.22539215372601382,0.13604885554949786,-0.0036345521017644433,0.17647058823529413,0.37962264534812373,-0.0036345521017644433
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,BOVV11.SA,Renda Variável,34,0.22591155939172003,0.07453575955062197,0.1794726129163994,-0.16719414785763725,-0.13631856557838207,0.5588235294117647,0.1263478154721469,-0.1020712510879942
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,FIND11.SA,Renda Variável,34,0.1236689219519429,0.0420111489277033,0.23312020672415826,-0.2155210074556459,-0.17068434287906842,0.5588235294117647,0.16270358830810006,-0.1368653421633551
EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,MATB11.SA,Renda Variável,34,0.20263564936489264,0.06729042715421185,0.21545238251336332,-0.13840681271978908,-0.17459018894883271,0.5882352941176471,0.13307621463716757,-0.10884881933174984
EXPANSAO_INFLACIONARIA,Expansão inflacionária,GC=F,Commodities,30,0.35562831390879746,0.1294220241996551,0.13799617833784836,0.35092490520674535,-0.11165044128837787,0.5,0.10081782116372584,-0.06452664434118505
EXPANSAO_INFLACIONARIA,Expansão inflacionária,NG=F,Commodities,30,0.6826119682452536,0.23138423587534174,0.7048035560926471,0.5000743927969522,-0.5165509249822607,0.5333333333333333,0.5171460943307724,-0.3340700452377636
EXPANSAO_INFLACIONARIA,Expansão inflacionária,ZC=F,Commodities,30,0.7299214462142587,0.24511811918842796,0.3080742867967573,0.5774914729557198,-0.18257261410788184,0.6,0.3114754098360659,-0.17142857142857104
EXPANSAO_INFLACIONARIA,Expansão inflacionária,EURBRL=X,Moedas,30,0.20610022329845523,0.07783767298230448,0.15261349562742585,0.015313286189032497,-0.09325041443897186,0.5666666666666667,0.16108949574383202,-0.07665459985265799
EXPANSAO_INFLACIONARIA,Expansão inflacionária,JPYBRL=X,Moedas,30,0.1313672117452851,0.050609770378662766,0.1636217898107226,-0.13090833219171344,-0.1523405699772522,0.4666666666666667,0.17514302763235068,-0.0712721718037842
EXPANSAO_INFLACIONARIA,Expansão inflacionária,USDBRL=X,Moedas,30,0.22735341211115645,0.0853950927304783,0.17178361904752346,0.07131221934004729,-0.1260473950141343,0.5666666666666667,0.15784428939959216,-0.07540365841749419
EXPANSAO_INFLACIONARIA,Expansão inflacionária,B5MB11.SA,Renda Fixa,30,-0.09496343380152594,-0.039125981313138825,0.12516690984942833,-0.9219531908492594,-0.1452014486364589,0.16666666666666666,0.07124681933842303,-0.1452014486364589
EXPANSAO_INFLACIONARIA,Expansão inflacionária,IB5M11.SA,Renda Fixa,30,-0.03508520383869207,-0.014184626880202056,0.11666664555623481,-0.7796331881854018,-0.12350176649196054,0.5333333333333333,0.053630401321997034,-0.12301014873534089
EXPANSAO_INFLACIONARIA,Expansão inflacionária,IMAB11.SA,Renda Fixa,30,-0.03514053953448337,-0.014207240988037717,0.06613147392904836,-1.4242526854628792,-0.08235910224488241,0.26666666666666666,0.046391733826150805,-0.07508451749334433
EXPANSAO_INFLACIONARIA,Expansão inflacionária,BOVV11.SA,Renda Variável,30,-0.008871459333939846,-0.0035580730131453686,0.2892066818962741,-0.1475636599147738,-0.30105991977516644,0.5333333333333333,0.16112286905316386,-0.30105991977516644
EXPANSAO_INFLACIONARIA,Expansão inflacionária,FIND11.SA,Renda Variável,30,0.024122710240615186,0.0095801400084905,0.3550380676386664,-0.023187816317347138,-0.3311938164621636,0.5,0.1792695551278085,-0.3311938164621636
