episodio,regime,nome_regime,inicio,fim,meses,retorno_estrategia,retorno_benchmark,retorno_cdi,excesso_vs_benchmark,melhor_ativo,retorno_melhor_ativo,pior_ativo,retorno_pior_ativo
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,2024-01-31,2024-07-31,7,-0.00910632665592137,-0.00910632665592137,0.06171010289180123,0.0,GC=F,0.17001789587712302,NG=F,-0.20375437011384867
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,2024-08-31,2025-08-31,13,0.11902458496432122,0.11902458496432122,0.13863472511974395,0.0,NG=F,0.4720039093152286,MATB11.SA,-0.046631188885699726
3,RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,2025-09-30,2025-11-30,3,0.09375123676599229,0.09375123676599229,0.03590362910015221,0.0,NG=F,0.6182849311263081,JPYBRL=X,-0.06972265969504854
4,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,2025-12-31,2025-12-31,1,0.007147137651054791,0.007147137651054791,0.012199289497186738,0.0,MATB11.SA,0.08725194066669184,NG=F,-0.1810309357206783
