serie,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
Estratégia,77,0.7221657497546345,0.08840593415193077,0.08330980563739519,-0.06787963834824576,-0.0831640069727676,0.6103896103896104,0.0868246670042187,-0.0636215268498781
Benchmark estático,77,0.7221657497546345,0.08840593415193077,0.08330980563739519,-0.06787963834824576,-0.0831640069727676,0.6103896103896104,0.0868246670042187,-0.0636215268498781
CDI,77,0.8258444574703105,0.0983673173220776,0.012558479072786581,7.506475911401353,0.0,1.0,0.0127573250874795,0.0013452738652959
