origem,arquivo,caminho,extensao,modificacao_utc,tamanho_bytes,status_atualizacao
graficos,05_retornos_liquidos_anuais.png,outputs/graficos/05_retornos_liquidos_anuais.png,.png,2026-08-05 00:06:56.191447+00:00,42503,Atual ou posterior às bases centrais
graficos,05_turnover_mensal.png,outputs/graficos/05_turnover_mensal.png,.png,2026-08-05 00:06:54.755093+00:00,63613,Atual ou posterior às bases centrais
graficos,05_vantagem_liquida_por_custo.png,outputs/graficos/05_vantagem_liquida_por_custo.png,.png,2026-08-05 00:06:55.987801+00:00,53400,Atual ou posterior às bases centrais
graficos,05_volatilidade_movel_12m.png,outputs/graficos/05_volatilidade_movel_12m.png,.png,2026-08-05 00:06:56.737875+00:00,110868,Atual ou posterior às bases centrais
graficos,06_02_mudancas_regime_por_confirmacao.png,outputs/graficos/06_02_mudancas_regime_por_confirmacao.png,.png,2026-08-05 00:07:53.882444+00:00,80706,Atual ou posterior às bases centrais
graficos,06_02_series_regimes_suavizados.png,outputs/graficos/06_02_series_regimes_suavizados.png,.png,2026-08-05 00:07:54.909217+00:00,155885,Atual ou posterior às bases centrais
graficos,06_03_desempenho_liquido_regimes_suavizados.png,outputs/graficos/06_03_desempenho_liquido_regimes_suavizados.png,.png,2026-08-05 00:07:56.844985+00:00,211688,Atual ou posterior às bases centrais
graficos,06_03_diferenca_liquida_vs_benchmark.png,outputs/graficos/06_03_diferenca_liquida_vs_benchmark.png,.png,2026-08-05 00:07:58.798142+00:00,134460,Atual ou posterior às bases centrais
graficos,06_03_turnover_regimes_suavizados.png,outputs/graficos/06_03_turnover_regimes_suavizados.png,.png,2026-08-05 00:07:57.995264+00:00,368294,Atual ou posterior às bases centrais
graficos,06_04_desempenho_fora_amostra.png,outputs/graficos/06_04_desempenho_fora_amostra.png,.png,2026-08-05 00:07:59.745801+00:00,194639,Atual ou posterior às bases centrais
graficos,06_04_diferenca_fora_amostra.png,outputs/graficos/06_04_diferenca_fora_amostra.png,.png,2026-08-05 00:08:00.506178+00:00,124997,Atual ou posterior às bases centrais
graficos,06_05_desempenho_teste_pesos_otimizados.png,outputs/graficos/06_05_desempenho_teste_pesos_otimizados.png,.png,2026-08-05 00:08:03.871926+00:00,195863,Atual ou posterior às bases centrais
graficos,06_05_diferenca_teste_pesos_otimizados.png,outputs/graficos/06_05_diferenca_teste_pesos_otimizados.png,.png,2026-08-05 00:08:04.331409+00:00,124997,Atual ou posterior às bases centrais
graficos,06_05_retorno_volatilidade_treino.png,outputs/graficos/06_05_retorno_volatilidade_treino.png,.png,2026-08-05 00:08:03.328991+00:00,157017,Atual ou posterior às bases centrais
graficos,06_06_contribuicao_ativos_teste.png,outputs/graficos/06_06_contribuicao_ativos_teste.png,.png,2026-08-05 00:08:06.279632+00:00,213065,Atual ou posterior às bases centrais
graficos,06_06_excesso_retorno_por_regime.png,outputs/graficos/06_06_excesso_retorno_por_regime.png,.png,2026-08-05 00:08:05.586385+00:00,167720,Atual ou posterior às bases centrais
graficos,06_06_turnover_por_regime.png,outputs/graficos/06_06_turnover_por_regime.png,.png,2026-08-05 00:08:06.773776+00:00,148755,Atual ou posterior às bases centrais
graficos,06_07_comparacao_pesos_por_regime.png,outputs/graficos/06_07_comparacao_pesos_por_regime.png,.png,2026-08-05 00:08:12.494326+00:00,638032,Atual ou posterior às bases centrais
graficos,06_07_desempenho_periodo_avaliacao.png,outputs/graficos/06_07_desempenho_periodo_avaliacao.png,.png,2026-08-05 00:08:10.831053+00:00,200460,Atual ou posterior às bases centrais
graficos,06_07_diferenca_vs_benchmark_avaliacao.png,outputs/graficos/06_07_diferenca_vs_benchmark_avaliacao.png,.png,2026-08-05 00:08:11.262910+00:00,124551,Atual ou posterior às bases centrais
graficos,06_08_cdi_acumulado.png,outputs/graficos/06_08_cdi_acumulado.png,.png,2026-08-05 00:08:12.786564+00:00,52455,Atual ou posterior às bases centrais
graficos,06_09_desempenho_avaliacao_cdi.png,outputs/graficos/06_09_desempenho_avaliacao_cdi.png,.png,2026-08-05 00:08:23.083692+00:00,288574,Atual ou posterior às bases centrais
graficos,06_09_diferenca_vs_benchmark_5_ativos.png,outputs/graficos/06_09_diferenca_vs_benchmark_5_ativos.png,.png,2026-08-05 00:08:23.615837+00:00,236660,Atual ou posterior às bases centrais
graficos,06_09_excesso_rolling_12m_treino.png,outputs/graficos/06_09_excesso_rolling_12m_treino.png,.png,2026-08-05 00:08:24.733412+00:00,213755,Atual ou posterior às bases centrais
graficos,06_09_pesos_cdi_por_regime.png,outputs/graficos/06_09_pesos_cdi_por_regime.png,.png,2026-08-05 00:08:24.118814+00:00,153151,Atual ou posterior às bases centrais
graficos,06_10_desempenho_comparadores_avaliacao.png,outputs/graficos/06_10_desempenho_comparadores_avaliacao.png,.png,2026-08-05 00:08:28.507977+00:00,358369,Atual ou posterior às bases centrais
graficos,06_10_diferenca_modelo_vs_referencias.png,outputs/graficos/06_10_diferenca_modelo_vs_referencias.png,.png,2026-08-05 00:08:29.372469+00:00,328303,Atual ou posterior às bases centrais
graficos,06_10_distribuicao_sensibilidade_vs_benchmark.png,outputs/graficos/06_10_distribuicao_sensibilidade_vs_benchmark.png,.png,2026-08-05 00:08:29.793738+00:00,104667,Atual ou posterior às bases centrais
graficos,06_10_risco_retorno_avaliacao.png,outputs/graficos/06_10_risco_retorno_avaliacao.png,.png,2026-08-05 00:08:28.892311+00:00,151770,Atual ou posterior às bases centrais
graficos,06_10_rolling_12m_avaliacao.png,outputs/graficos/06_10_rolling_12m_avaliacao.png,.png,2026-08-05 00:08:30.349034+00:00,310568,Atual ou posterior às bases centrais
