serie,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
Estratégia,48,0.3422420049176298,0.0763603876864698,0.08510987434213833,-0.004974061958167837,-0.0831640069727676,0.5833333333333334,0.0515055517844937,-0.0636215268498781
Benchmark estático,48,0.3422420049176298,0.0763603876864698,0.08510987434213833,-0.004974061958167837,-0.0831640069727676,0.5833333333333334,0.0515055517844937,-0.0636215268498781
CDI,48,0.3632486535715045,0.08054726731822703,0.013306880207078283,5.84692864045443,0.0,1.0,0.0117467319476121,0.0013452738652959
