segmento,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
Commodities,7,-0.1023799016850957,-0.16902633642247722,0.16546950311259534,-1.8607334513661211,-0.14431825647676422,0.2857142857142857,0.04901162740598967,-0.06975108337709157
Moedas,7,-0.10213505706370707,-0.1686377292869985,0.0926075339529499,-3.398779824095525,-0.05471458672230678,0.42857142857142855,0.013509205858661518,-0.05719280663300863
Renda Fixa,7,0.26110006340526803,0.48837891859138405,0.3024121937026123,1.0061576243538126,-0.01951828504924258,0.5714285714285714,0.23180610007144598,-0.017527491550637264
Renda Variável,7,0.07989063185910417,0.14083403477453138,0.21940483674928463,0.07967296599450609,-0.1192417155026162,0.5714285714285714,0.12375852424073715,-0.049905359671322515
